"Evaluate/step_episode","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - _step","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - _step__MIN","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - _step__MAX","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - Evaluate/EpProgress","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - Evaluate/EpProgress__MIN","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - Evaluate/EpProgress__MAX","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - _step","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - _step__MIN","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - _step__MAX","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - Evaluate/EpProgress","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - Evaluate/EpProgress__MIN","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - Evaluate/EpProgress__MAX","4070_penalty_ppo_dis_2025-07-31_13-37-58 - _step","4070_penalty_ppo_dis_2025-07-31_13-37-58 - _step__MIN","4070_penalty_ppo_dis_2025-07-31_13-37-58 - _step__MAX","4070_penalty_ppo_dis_2025-07-31_13-37-58 - Evaluate/EpProgress","4070_penalty_ppo_dis_2025-07-31_13-37-58 - Evaluate/EpProgress__MIN","4070_penalty_ppo_dis_2025-07-31_13-37-58 - Evaluate/EpProgress__MAX","4090_ppo_dis_2025-07-30_13-18-07 - _step","4090_ppo_dis_2025-07-30_13-18-07 - _step__MIN","4090_ppo_dis_2025-07-30_13-18-07 - _step__MAX","4090_ppo_dis_2025-07-30_13-18-07 - Evaluate/EpProgress","4090_ppo_dis_2025-07-30_13-18-07 - Evaluate/EpProgress__MIN","4090_ppo_dis_2025-07-30_13-18-07 - Evaluate/EpProgress__MAX","penalty_4070_rl_filter_2025-07-29_22-22-18 - _step","penalty_4070_rl_filter_2025-07-29_22-22-18 - _step__MIN","penalty_4070_rl_filter_2025-07-29_22-22-18 - _step__MAX","penalty_4070_rl_filter_2025-07-29_22-22-18 - Evaluate/EpProgress","penalty_4070_rl_filter_2025-07-29_22-22-18 - Evaluate/EpProgress__MIN","penalty_4070_rl_filter_2025-07-29_22-22-18 - Evaluate/EpProgress__MAX","4090_dqn_2025-07-29_13-21-06 - _step","4090_dqn_2025-07-29_13-21-06 - _step__MIN","4090_dqn_2025-07-29_13-21-06 - _step__MAX","4090_dqn_2025-07-29_13-21-06 - Evaluate/EpProgress","4090_dqn_2025-07-29_13-21-06 - Evaluate/EpProgress__MIN","4090_dqn_2025-07-29_13-21-06 - Evaluate/EpProgress__MAX","penalty_4070_dqn_2025-07-27_11-39-32 - _step","penalty_4070_dqn_2025-07-27_11-39-32 - _step__MIN","penalty_4070_dqn_2025-07-27_11-39-32 - _step__MAX","penalty_4070_dqn_2025-07-27_11-39-32 - Evaluate/EpProgress","penalty_4070_dqn_2025-07-27_11-39-32 - Evaluate/EpProgress__MIN","penalty_4070_dqn_2025-07-27_11-39-32 - Evaluate/EpProgress__MAX","4070_rl_filter_2025-07-20_12-17-12 - _step","4070_rl_filter_2025-07-20_12-17-12 - _step__MIN","4070_rl_filter_2025-07-20_12-17-12 - _step__MAX","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpProgress","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpProgress__MIN","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpProgress__MAX"
"268","17068","17068","17068","1","1","1","16841","16841","16841","1","1","1","16773","16773","16773","1","1","1","16810","16810","16810","1","1","1","32063","32063","32063","1","1","1","32281","32281","32281","1","1","1","32105","32105","32105","1","1","1","32074","32074","32074","1","1","1"
"269","17072","17072","17072","1","1","1","16845","16845","16845","1","1","1","16777","16777","16777","1","1","1","16814","16814","16814","1","1","1","32067","32067","32067","1","1","1","32285","32285","32285","1","1","1","32109","32109","32109","1","1","1","32078","32078","32078","1","1","1"
"270","17597","17597","17597","1","1","1","17365","17365","17365","1","1","1","17297","17297","17297","1","1","1","17334","17334","17334","1","1","1","33103","33103","33103","1","1","1","33322","33322","33322","1","1","1","33145","33145","33145","1","1","1","33120","33120","33120","0.6","0.6","0.6"
"271","17601","17601","17601","0.8","0.8","0.8","17369","17369","17369","1","1","1","17301","17301","17301","1","1","1","17338","17338","17338","1","1","1","33107","33107","33107","1","1","1","33326","33326","33326","1","1","1","33149","33149","33149","1","1","1","33124","33124","33124","1","1","1"
"272","17605","17605","17605","0.8","0.8","0.8","17373","17373","17373","1","1","1","17305","17305","17305","1","1","1","17342","17342","17342","1","1","1","33111","33111","33111","1","1","1","33330","33330","33330","1","1","1","33153","33153","33153","1","1","1","33128","33128","33128","1","1","1"
"273","17609","17609","17609","1","1","1","17377","17377","17377","1","1","1","17309","17309","17309","1","1","1","17346","17346","17346","1","1","1","33115","33115","33115","1","1","1","33334","33334","33334","1","1","1","33157","33157","33157","1","1","1","33132","33132","33132","1","1","1"
"274","17613","17613","17613","1","1","1","17381","17381","17381","1","1","1","17313","17313","17313","1","1","1","17350","17350","17350","1","1","1","33119","33119","33119","1","1","1","33338","33338","33338","1","1","1","33161","33161","33161","1","1","1","33136","33136","33136","0.9","0.9","0.9"
"275","17617","17617","17617","1","1","1","17385","17385","17385","1","1","1","17317","17317","17317","1","1","1","17354","17354","17354","1","1","1","33123","33123","33123","1","1","1","33342","33342","33342","1","1","1","33165","33165","33165","1","1","1","33140","33140","33140","1","1","1"
"276","17621","17621","17621","1","1","1","17389","17389","17389","1","1","1","17321","17321","17321","1","1","1","17358","17358","17358","1","1","1","33127","33127","33127","1","1","1","33346","33346","33346","1","1","1","33169","33169","33169","1","1","1","33144","33144","33144","1","1","1"
"277","17625","17625","17625","1","1","1","17393","17393","17393","1","1","1","17325","17325","17325","1","1","1","17362","17362","17362","1","1","1","33131","33131","33131","1","1","1","33350","33350","33350","1","1","1","33173","33173","33173","1","1","1","33148","33148","33148","1","1","1"
"278","17629","17629","17629","1","1","1","17397","17397","17397","1","1","1","17329","17329","17329","1","1","1","17366","17366","17366","1","1","1","33135","33135","33135","1","1","1","33354","33354","33354","1","1","1","33177","33177","33177","1","1","1","33152","33152","33152","1","1","1"
"279","18159","18159","18159","1","1","1","17918","17918","17918","1","1","1","17850","17850","17850","1","1","1","17887","17887","17887","1","1","1","34171","34171","34171","1","1","1","34390","34390","34390","1","1","1","34218","34218","34218","1","1","1","34188","34188","34188","1","1","1"
"280","18163","18163","18163","1","1","1","17922","17922","17922","1","1","1","17854","17854","17854","1","1","1","17891","17891","17891","1","1","1","34175","34175","34175","1","1","1","34394","34394","34394","1","1","1","34222","34222","34222","1","1","1","34192","34192","34192","1","1","1"
"281","18167","18167","18167","1","1","1","17926","17926","17926","1","1","1","17858","17858","17858","1","1","1","17895","17895","17895","1","1","1","34179","34179","34179","1","1","1","34398","34398","34398","1","1","1","34226","34226","34226","1","1","1","34196","34196","34196","1","1","1"
"282","18171","18171","18171","1","1","1","17930","17930","17930","1","1","1","17862","17862","17862","1","1","1","17899","17899","17899","1","1","1","34183","34183","34183","1","1","1","34402","34402","34402","1","1","1","34230","34230","34230","1","1","1","34200","34200","34200","1","1","1"
"283","18175","18175","18175","1","1","1","17934","17934","17934","1","1","1","17866","17866","17866","1","1","1","17903","17903","17903","1","1","1","34187","34187","34187","1","1","1","34406","34406","34406","1","1","1","34234","34234","34234","1","1","1","34204","34204","34204","1","1","1"
"284","18179","18179","18179","1","1","1","17938","17938","17938","1","1","1","17870","17870","17870","1","1","1","17907","17907","17907","1","1","1","34191","34191","34191","1","1","1","34410","34410","34410","1","1","1","34238","34238","34238","1","1","1","34208","34208","34208","1","1","1"
"285","18183","18183","18183","1","1","1","17942","17942","17942","1","1","1","17874","17874","17874","1","1","1","17911","17911","17911","1","1","1","34195","34195","34195","1","1","1","34414","34414","34414","1","1","1","34242","34242","34242","1","1","1","34212","34212","34212","1","1","1"
"286","18187","18187","18187","1","1","1","17946","17946","17946","1","1","1","17878","17878","17878","1","1","1","17915","17915","17915","1","1","1","34199","34199","34199","1","1","1","34418","34418","34418","1","1","1","34246","34246","34246","1","1","1","34216","34216","34216","1","1","1"
"287","18191","18191","18191","1","1","1","17950","17950","17950","1","1","1","17882","17882","17882","1","1","1","17919","17919","17919","1","1","1","34203","34203","34203","1","1","1","34422","34422","34422","1","1","1","34250","34250","34250","1","1","1","34220","34220","34220","1","1","1"
"288","18716","18716","18716","1","1","1","18470","18470","18470","1","1","1","18402","18402","18402","1","1","1","18439","18439","18439","1","1","1","35239","35239","35239","1","1","1","35459","35459","35459","1","1","1","35286","35286","35286","1","1","1","35256","35256","35256","1","1","1"
"289","18720","18720","18720","1","1","1","18474","18474","18474","1","1","1","18406","18406","18406","1","1","1","18443","18443","18443","1","1","1","35243","35243","35243","1","1","1","35463","35463","35463","1","1","1","35290","35290","35290","1","1","1","35260","35260","35260","1","1","1"
"290","18724","18724","18724","1","1","1","18478","18478","18478","1","1","1","18410","18410","18410","1","1","1","18447","18447","18447","1","1","1","35247","35247","35247","1","1","1","35467","35467","35467","1","1","1","35294","35294","35294","1","1","1","35264","35264","35264","1","1","1"
"291","18728","18728","18728","1","1","1","18482","18482","18482","1","1","1","18414","18414","18414","1","1","1","18451","18451","18451","1","1","1","35251","35251","35251","1","1","1","35471","35471","35471","1","1","1","35298","35298","35298","1","1","1","35268","35268","35268","1","1","1"
"292","18732","18732","18732","1","1","1","18486","18486","18486","1","1","1","18418","18418","18418","1","1","1","18455","18455","18455","1","1","1","35255","35255","35255","1","1","1","35475","35475","35475","1","1","1","35302","35302","35302","1","1","1","35272","35272","35272","1","1","1"
"293","18736","18736","18736","1","1","1","18490","18490","18490","1","1","1","18422","18422","18422","1","1","1","18459","18459","18459","1","1","1","35259","35259","35259","1","1","1","35479","35479","35479","0.9","0.9","0.9","35306","35306","35306","1","1","1","35276","35276","35276","1","1","1"
"294","18740","18740","18740","1","1","1","18494","18494","18494","1","1","1","18426","18426","18426","1","1","1","18463","18463","18463","1","1","1","35263","35263","35263","1","1","1","35483","35483","35483","1","1","1","35310","35310","35310","1","1","1","35280","35280","35280","1","1","1"
"295","18744","18744","18744","1","1","1","18498","18498","18498","1","1","1","18430","18430","18430","1","1","1","18467","18467","18467","1","1","1","35267","35267","35267","1","1","1","35487","35487","35487","1","1","1","35314","35314","35314","1","1","1","35284","35284","35284","1","1","1"
"296","18748","18748","18748","1","1","1","18502","18502","18502","1","1","1","18434","18434","18434","1","1","1","18471","18471","18471","1","1","1","35271","35271","35271","1","1","1","35491","35491","35491","1","1","1","35318","35318","35318","1","1","1","35288","35288","35288","1","1","1"
"297","19269","19269","19269","1","1","1","19023","19023","19023","1","1","1","18955","18955","18955","1","1","1","18992","18992","18992","1","1","1","36307","36307","36307","1","1","1","36527","36527","36527","1","1","1","36354","36354","36354","1","1","1","36325","36325","36325","1","1","1"
"298","19273","19273","19273","0.8","0.8","0.8","19027","19027","19027","1","1","1","18959","18959","18959","1","1","1","18996","18996","18996","1","1","1","36311","36311","36311","1","1","1","36531","36531","36531","1","1","1","36358","36358","36358","1","1","1","36329","36329","36329","1","1","1"
"299","19277","19277","19277","0.8","0.8","0.8","19031","19031","19031","1","1","1","18963","18963","18963","1","1","1","19000","19000","19000","1","1","1","36315","36315","36315","1","1","1","36535","36535","36535","1","1","1","36362","36362","36362","1","1","1","36333","36333","36333","1","1","1"
"300","19281","19281","19281","1","1","1","19035","19035","19035","1","1","1","18967","18967","18967","1","1","1","19004","19004","19004","1","1","1","36319","36319","36319","1","1","1","36539","36539","36539","1","1","1","36366","36366","36366","1","1","1","36337","36337","36337","1","1","1"
"301","19285","19285","19285","1","1","1","19039","19039","19039","1","1","1","18971","18971","18971","1","1","1","19008","19008","19008","1","1","1","36323","36323","36323","1","1","1","36543","36543","36543","1","1","1","36370","36370","36370","1","1","1","36341","36341","36341","1","1","1"
"302","19289","19289","19289","1","1","1","19043","19043","19043","1","1","1","18975","18975","18975","1","1","1","19012","19012","19012","1","1","1","36327","36327","36327","1","1","1","36547","36547","36547","1","1","1","36374","36374","36374","1","1","1","36345","36345","36345","1","1","1"
"303","19293","19293","19293","1","1","1","19047","19047","19047","1","1","1","18979","18979","18979","1","1","1","19016","19016","19016","1","1","1","36331","36331","36331","1","1","1","36551","36551","36551","1","1","1","36378","36378","36378","1","1","1","36349","36349","36349","1","1","1"
"304","19297","19297","19297","1","1","1","19051","19051","19051","1","1","1","18983","18983","18983","1","1","1","19020","19020","19020","1","1","1","36335","36335","36335","1","1","1","36555","36555","36555","1","1","1","36382","36382","36382","1","1","1","36353","36353","36353","1","1","1"
"305","19301","19301","19301","1","1","1","19055","19055","19055","1","1","1","18987","18987","18987","1","1","1","19024","19024","19024","1","1","1","36339","36339","36339","1","1","1","36559","36559","36559","1","1","1","36386","36386","36386","1","1","1","36357","36357","36357","1","1","1"
"306","19820","19820","19820","1","1","1","19576","19576","19576","1","1","1","19507","19507","19507","1","1","1","19544","19544","19544","1","1","1","37376","37376","37376","1","1","1","37595","37595","37595","1","1","1","37422","37422","37422","1","1","1","37393","37393","37393","1","1","1"
"307","19824","19824","19824","1","1","1","19580","19580","19580","1","1","1","19511","19511","19511","1","1","1","19548","19548","19548","1","1","1","37380","37380","37380","1","1","1","37599","37599","37599","1","1","1","37426","37426","37426","1","1","1","37397","37397","37397","1","1","1"
"308","19828","19828","19828","1","1","1","19584","19584","19584","1","1","1","19515","19515","19515","1","1","1","19552","19552","19552","1","1","1","37384","37384","37384","1","1","1","37603","37603","37603","1","1","1","37430","37430","37430","1","1","1","37401","37401","37401","1","1","1"
"309","19832","19832","19832","1","1","1","19588","19588","19588","1","1","1","19519","19519","19519","1","1","1","19556","19556","19556","1","1","1","37388","37388","37388","1","1","1","37607","37607","37607","1","1","1","37434","37434","37434","1","1","1","37405","37405","37405","1","1","1"
"310","19836","19836","19836","1","1","1","19592","19592","19592","1","1","1","19523","19523","19523","1","1","1","19560","19560","19560","1","1","1","37392","37392","37392","1","1","1","37611","37611","37611","1","1","1","37438","37438","37438","1","1","1","37409","37409","37409","1","1","1"
"311","19840","19840","19840","1","1","1","19596","19596","19596","1","1","1","19527","19527","19527","1","1","1","19564","19564","19564","1","1","1","37396","37396","37396","1","1","1","37615","37615","37615","1","1","1","37442","37442","37442","1","1","1","37413","37413","37413","1","1","1"
"312","19844","19844","19844","1","1","1","19600","19600","19600","1","1","1","19531","19531","19531","1","1","1","19568","19568","19568","1","1","1","37400","37400","37400","1","1","1","37619","37619","37619","1","1","1","37446","37446","37446","1","1","1","37417","37417","37417","1","1","1"
"313","19848","19848","19848","1","1","1","19604","19604","19604","1","1","1","19535","19535","19535","1","1","1","19572","19572","19572","1","1","1","37404","37404","37404","1","1","1","37623","37623","37623","1","1","1","37450","37450","37450","1","1","1","37421","37421","37421","1","1","1"
"314","19852","19852","19852","1","1","1","19608","19608","19608","1","1","1","19539","19539","19539","1","1","1","19576","19576","19576","1","1","1","37408","37408","37408","1","1","1","37627","37627","37627","1","1","1","37454","37454","37454","1","1","1","37425","37425","37425","1","1","1"
"315","20378","20378","20378","1","1","1","20129","20129","20129","1","1","1","20060","20060","20060","1","1","1","20097","20097","20097","1","1","1","38444","38444","38444","1","1","1","38663","38663","38663","1","1","1","38495","38495","38495","1","1","1","38461","38461","38461","1","1","1"
"316","20382","20382","20382","1","1","1","20133","20133","20133","1","1","1","20064","20064","20064","1","1","1","20101","20101","20101","1","1","1","38448","38448","38448","1","1","1","38667","38667","38667","1","1","1","38499","38499","38499","1","1","1","38465","38465","38465","1","1","1"
"317","20386","20386","20386","1","1","1","20137","20137","20137","1","1","1","20068","20068","20068","1","1","1","20105","20105","20105","1","1","1","38452","38452","38452","1","1","1","38671","38671","38671","1","1","1","38503","38503","38503","1","1","1","38469","38469","38469","1","1","1"
"318","20390","20390","20390","1","1","1","20141","20141","20141","1","1","1","20072","20072","20072","1","1","1","20109","20109","20109","1","1","1","38456","38456","38456","1","1","1","38675","38675","38675","1","1","1","38507","38507","38507","1","1","1","38473","38473","38473","1","1","1"
"319","20394","20394","20394","1","1","1","20145","20145","20145","1","1","1","20076","20076","20076","1","1","1","20113","20113","20113","1","1","1","38460","38460","38460","1","1","1","38679","38679","38679","1","1","1","38511","38511","38511","1","1","1","38477","38477","38477","1","1","1"
"320","20398","20398","20398","1","1","1","20149","20149","20149","1","1","1","20080","20080","20080","1","1","1","20117","20117","20117","1","1","1","38464","38464","38464","1","1","1","38683","38683","38683","1","1","1","38515","38515","38515","1","1","1","38481","38481","38481","1","1","1"
"321","20402","20402","20402","1","1","1","20153","20153","20153","1","1","1","20084","20084","20084","1","1","1","20121","20121","20121","1","1","1","38468","38468","38468","1","1","1","38687","38687","38687","1","1","1","38519","38519","38519","1","1","1","38485","38485","38485","1","1","1"
"322","20406","20406","20406","1","1","1","20157","20157","20157","1","1","1","20088","20088","20088","1","1","1","20125","20125","20125","1","1","1","38472","38472","38472","1","1","1","38691","38691","38691","1","1","1","38523","38523","38523","1","1","1","38489","38489","38489","1","1","1"
"323","20410","20410","20410","1","1","1","20161","20161","20161","1","1","1","20092","20092","20092","1","1","1","20129","20129","20129","1","1","1","38476","38476","38476","1","1","1","38695","38695","38695","1","1","1","38527","38527","38527","1","1","1","38493","38493","38493","1","1","1"
"324","20930","20930","20930","1","1","1","20690","20690","20690","1","1","1","20612","20612","20612","1","1","1","20649","20649","20649","1","1","1","39512","39512","39512","1","1","1","39732","39732","39732","1","1","1","39563","39563","39563","1","1","1","39529","39529","39529","1","1","1"
"325","20934","20934","20934","1","1","1","20694","20694","20694","1","1","1","20616","20616","20616","1","1","1","20653","20653","20653","1","1","1","39516","39516","39516","1","1","1","39736","39736","39736","1","1","1","39567","39567","39567","1","1","1","39533","39533","39533","1","1","1"
"326","20938","20938","20938","1","1","1","20698","20698","20698","1","1","1","20620","20620","20620","1","1","1","20657","20657","20657","1","1","1","39520","39520","39520","1","1","1","39740","39740","39740","1","1","1","39571","39571","39571","1","1","1","39537","39537","39537","1","1","1"
"327","20942","20942","20942","1","1","1","20702","20702","20702","1","1","1","20624","20624","20624","1","1","1","20661","20661","20661","1","1","1","39524","39524","39524","1","1","1","39744","39744","39744","1","1","1","39575","39575","39575","1","1","1","39541","39541","39541","1","1","1"
"328","20946","20946","20946","1","1","1","20706","20706","20706","1","1","1","20628","20628","20628","1","1","1","20665","20665","20665","1","1","1","39528","39528","39528","1","1","1","39748","39748","39748","1","1","1","39579","39579","39579","1","1","1","39545","39545","39545","1","1","1"
"329","20950","20950","20950","1","1","1","20710","20710","20710","1","1","1","20632","20632","20632","1","1","1","20669","20669","20669","1","1","1","39532","39532","39532","1","1","1","39752","39752","39752","1","1","1","39583","39583","39583","1","1","1","39549","39549","39549","1","1","1"
"330","20954","20954","20954","1","1","1","20714","20714","20714","1","1","1","20636","20636","20636","1","1","1","20673","20673","20673","1","1","1","39536","39536","39536","1","1","1","39756","39756","39756","1","1","1","39587","39587","39587","1","1","1","39553","39553","39553","1","1","1"
"331","20958","20958","20958","1","1","1","20718","20718","20718","1","1","1","20640","20640","20640","1","1","1","20677","20677","20677","1","1","1","39540","39540","39540","1","1","1","39760","39760","39760","1","1","1","39591","39591","39591","1","1","1","39557","39557","39557","1","1","1"
"332","20962","20962","20962","1","1","1","20722","20722","20722","1","1","1","20644","20644","20644","1","1","1","20681","20681","20681","1","1","1","39544","39544","39544","1","1","1","39764","39764","39764","1","1","1","39595","39595","39595","1","1","1","39561","39561","39561","1","1","1"
"333","21483","21483","21483","1","1","1","21243","21243","21243","1","1","1","21165","21165","21165","1","1","1","21202","21202","21202","1","1","1","40580","40580","40580","1","1","1","40800","40800","40800","1","1","1","40631","40631","40631","1","1","1","40598","40598","40598","1","1","1"
"334","21487","21487","21487","1","1","1","21247","21247","21247","1","1","1","21169","21169","21169","1","1","1","21206","21206","21206","1","1","1","40584","40584","40584","1","1","1","40804","40804","40804","1","1","1","40635","40635","40635","1","1","1","40602","40602","40602","1","1","1"
"335","21491","21491","21491","1","1","1","21251","21251","21251","1","1","1","21173","21173","21173","1","1","1","21210","21210","21210","1","1","1","40588","40588","40588","1","1","1","40808","40808","40808","1","1","1","40639","40639","40639","1","1","1","40606","40606","40606","1","1","1"
"336","21495","21495","21495","1","1","1","21255","21255","21255","1","1","1","21177","21177","21177","1","1","1","21214","21214","21214","1","1","1","40592","40592","40592","1","1","1","40812","40812","40812","1","1","1","40643","40643","40643","1","1","1","40610","40610","40610","1","1","1"
"337","21499","21499","21499","1","1","1","21259","21259","21259","1","1","1","21181","21181","21181","1","1","1","21218","21218","21218","1","1","1","40596","40596","40596","1","1","1","40816","40816","40816","1","1","1","40647","40647","40647","1","1","1","40614","40614","40614","1","1","1"
"338","21503","21503","21503","1","1","1","21263","21263","21263","1","1","1","21185","21185","21185","1","1","1","21222","21222","21222","1","1","1","40600","40600","40600","1","1","1","40820","40820","40820","1","1","1","40651","40651","40651","1","1","1","40618","40618","40618","1","1","1"
"339","21507","21507","21507","1","1","1","21267","21267","21267","1","1","1","21189","21189","21189","1","1","1","21226","21226","21226","1","1","1","40604","40604","40604","1","1","1","40824","40824","40824","1","1","1","40655","40655","40655","1","1","1","40622","40622","40622","1","1","1"
"340","21511","21511","21511","1","1","1","21271","21271","21271","1","1","1","21193","21193","21193","1","1","1","21230","21230","21230","1","1","1","40608","40608","40608","1","1","1","40828","40828","40828","1","1","1","40659","40659","40659","1","1","1","40626","40626","40626","1","1","1"
"341","21515","21515","21515","1","1","1","21275","21275","21275","1","1","1","21197","21197","21197","1","1","1","21234","21234","21234","1","1","1","40612","40612","40612","1","1","1","40832","40832","40832","1","1","1","40663","40663","40663","1","1","1","40630","40630","40630","1","1","1"
"342","22040","22040","22040","1","1","1","21795","21795","21795","1","1","1","21717","21717","21717","1","1","1","21754","21754","21754","1","1","1","41648","41648","41648","1","1","1","41869","41869","41869","1","1","1","41704","41704","41704","1","1","1","41666","41666","41666","1","1","1"
"343","22044","22044","22044","1","1","1","21799","21799","21799","1","1","1","21721","21721","21721","1","1","1","21758","21758","21758","1","1","1","41652","41652","41652","1","1","1","41873","41873","41873","1","1","1","41708","41708","41708","1","1","1","41670","41670","41670","1","1","1"
"344","22048","22048","22048","1","1","1","21803","21803","21803","1","1","1","21725","21725","21725","1","1","1","21762","21762","21762","1","1","1","41656","41656","41656","1","1","1","41877","41877","41877","1","1","1","41712","41712","41712","1","1","1","41674","41674","41674","1","1","1"
"345","22052","22052","22052","1","1","1","21807","21807","21807","1","1","1","21729","21729","21729","1","1","1","21766","21766","21766","1","1","1","41660","41660","41660","1","1","1","41881","41881","41881","1","1","1","41716","41716","41716","1","1","1","41678","41678","41678","1","1","1"
"346","22056","22056","22056","1","1","1","21811","21811","21811","1","1","1","21733","21733","21733","1","1","1","21770","21770","21770","1","1","1","41664","41664","41664","1","1","1","41885","41885","41885","1","1","1","41720","41720","41720","1","1","1","41682","41682","41682","1","1","1"
"347","22060","22060","22060","1","1","1","21815","21815","21815","1","1","1","21737","21737","21737","1","1","1","21774","21774","21774","1","1","1","41668","41668","41668","1","1","1","41889","41889","41889","1","1","1","41724","41724","41724","1","1","1","41686","41686","41686","1","1","1"
"348","22064","22064","22064","1","1","1","21819","21819","21819","1","1","1","21741","21741","21741","1","1","1","21778","21778","21778","1","1","1","41672","41672","41672","1","1","1","41893","41893","41893","1","1","1","41728","41728","41728","1","1","1","41690","41690","41690","1","1","1"
"349","22068","22068","22068","1","1","1","21823","21823","21823","1","1","1","21745","21745","21745","1","1","1","21782","21782","21782","1","1","1","41676","41676","41676","1","1","1","41897","41897","41897","1","1","1","41732","41732","41732","1","1","1","41694","41694","41694","1","1","1"
"350","22072","22072","22072","1","1","1","21827","21827","21827","1","1","1","21749","21749","21749","1","1","1","21786","21786","21786","1","1","1","41680","41680","41680","1","1","1","41901","41901","41901","1","1","1","41736","41736","41736","1","1","1","41698","41698","41698","1","1","1"
"351","22593","22593","22593","1","1","1","22348","22348","22348","1","1","1","22270","22270","22270","1","1","1","22307","22307","22307","1","1","1","42716","42716","42716","1","1","1","42937","42937","42937","1","1","1","42772","42772","42772","1","1","1","42744","42744","42744","1","1","1"
"352","22597","22597","22597","1","1","1","22352","22352","22352","1","1","1","22274","22274","22274","1","1","1","22311","22311","22311","1","1","1","42720","42720","42720","1","1","1","42941","42941","42941","1","1","1","42776","42776","42776","1","1","1","42748","42748","42748","1","1","1"
"353","22601","22601","22601","1","1","1","22356","22356","22356","1","1","1","22278","22278","22278","1","1","1","22315","22315","22315","1","1","1","42724","42724","42724","1","1","1","42945","42945","42945","1","1","1","42780","42780","42780","1","1","1","42752","42752","42752","1","1","1"
"354","22605","22605","22605","1","1","1","22360","22360","22360","1","1","1","22282","22282","22282","1","1","1","22319","22319","22319","1","1","1","42728","42728","42728","1","1","1","42949","42949","42949","1","1","1","42784","42784","42784","1","1","1","42756","42756","42756","1","1","1"
"355","22609","22609","22609","1","1","1","22364","22364","22364","1","1","1","22286","22286","22286","1","1","1","22323","22323","22323","1","1","1","42732","42732","42732","1","1","1","42953","42953","42953","1","1","1","42788","42788","42788","1","1","1","42760","42760","42760","1","1","1"
"356","22613","22613","22613","1","1","1","22368","22368","22368","1","1","1","22290","22290","22290","1","1","1","22327","22327","22327","1","1","1","42736","42736","42736","1","1","1","42957","42957","42957","1","1","1","42792","42792","42792","1","1","1","42764","42764","42764","1","1","1"
"357","22617","22617","22617","1","1","1","22372","22372","22372","1","1","1","22294","22294","22294","1","1","1","22331","22331","22331","1","1","1","42740","42740","42740","1","1","1","42961","42961","42961","1","1","1","42796","42796","42796","1","1","1","42768","42768","42768","1","1","1"
"358","22621","22621","22621","1","1","1","22376","22376","22376","1","1","1","22298","22298","22298","1","1","1","22335","22335","22335","1","1","1","42744","42744","42744","1","1","1","42965","42965","42965","1","1","1","42800","42800","42800","1","1","1","42772","42772","42772","1","1","1"
"359","22625","22625","22625","1","1","1","22380","22380","22380","1","1","1","22302","22302","22302","1","1","1","22339","22339","22339","1","1","1","42748","42748","42748","1","1","1","42969","42969","42969","1","1","1","42804","42804","42804","1","1","1","42776","42776","42776","1","1","1"
"360","23145","23145","23145","1","1","1","22901","22901","22901","1","1","1","22822","22822","22822","1","1","1","22859","22859","22859","1","1","1","43784","43784","43784","1","1","1","44011","44011","44011","1","1","1","43840","43840","43840","1","1","1","43818","43818","43818","1","1","1"
"361","23149","23149","23149","1","1","1","22905","22905","22905","1","1","1","22826","22826","22826","1","1","1","22863","22863","22863","1","1","1","43788","43788","43788","1","1","1","44015","44015","44015","1","1","1","43844","43844","43844","1","1","1","43822","43822","43822","1","1","1"
"362","23153","23153","23153","1","1","1","22909","22909","22909","1","1","1","22830","22830","22830","1","1","1","22867","22867","22867","1","1","1","43792","43792","43792","1","1","1","44019","44019","44019","1","1","1","43848","43848","43848","1","1","1","43826","43826","43826","1","1","1"
"363","23157","23157","23157","1","1","1","22913","22913","22913","1","1","1","22834","22834","22834","1","1","1","22871","22871","22871","1","1","1","43796","43796","43796","1","1","1","44023","44023","44023","1","1","1","43852","43852","43852","1","1","1","43830","43830","43830","1","1","1"
"364","23161","23161","23161","1","1","1","22917","22917","22917","1","1","1","22838","22838","22838","1","1","1","22875","22875","22875","1","1","1","43800","43800","43800","1","1","1","44027","44027","44027","1","1","1","43856","43856","43856","1","1","1","43834","43834","43834","1","1","1"
"365","23165","23165","23165","1","1","1","22921","22921","22921","1","1","1","22842","22842","22842","1","1","1","22879","22879","22879","1","1","1","43804","43804","43804","1","1","1","44031","44031","44031","1","1","1","43860","43860","43860","1","1","1","43838","43838","43838","1","1","1"
