"Evaluate/step_episode","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - _step","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - _step__MIN","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - _step__MAX","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - Evaluate/EpOverCost","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - Evaluate/EpOverCost__MIN","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - Evaluate/EpOverCost__MAX","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - _step","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - _step__MIN","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - _step__MAX","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - Evaluate/EpOverCost","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - Evaluate/EpOverCost__MIN","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - Evaluate/EpOverCost__MAX","4070_penalty_ppo_dis_2025-07-31_13-37-58 - _step","4070_penalty_ppo_dis_2025-07-31_13-37-58 - _step__MIN","4070_penalty_ppo_dis_2025-07-31_13-37-58 - _step__MAX","4070_penalty_ppo_dis_2025-07-31_13-37-58 - Evaluate/EpOverCost","4070_penalty_ppo_dis_2025-07-31_13-37-58 - Evaluate/EpOverCost__MIN","4070_penalty_ppo_dis_2025-07-31_13-37-58 - Evaluate/EpOverCost__MAX","4090_ppo_dis_2025-07-30_13-18-07 - _step","4090_ppo_dis_2025-07-30_13-18-07 - _step__MIN","4090_ppo_dis_2025-07-30_13-18-07 - _step__MAX","4090_ppo_dis_2025-07-30_13-18-07 - Evaluate/EpOverCost","4090_ppo_dis_2025-07-30_13-18-07 - Evaluate/EpOverCost__MIN","4090_ppo_dis_2025-07-30_13-18-07 - Evaluate/EpOverCost__MAX","penalty_4070_rl_filter_2025-07-29_22-22-18 - _step","penalty_4070_rl_filter_2025-07-29_22-22-18 - _step__MIN","penalty_4070_rl_filter_2025-07-29_22-22-18 - _step__MAX","penalty_4070_rl_filter_2025-07-29_22-22-18 - Evaluate/EpOverCost","penalty_4070_rl_filter_2025-07-29_22-22-18 - Evaluate/EpOverCost__MIN","penalty_4070_rl_filter_2025-07-29_22-22-18 - Evaluate/EpOverCost__MAX","4090_dqn_2025-07-29_13-21-06 - _step","4090_dqn_2025-07-29_13-21-06 - _step__MIN","4090_dqn_2025-07-29_13-21-06 - _step__MAX","4090_dqn_2025-07-29_13-21-06 - Evaluate/EpOverCost","4090_dqn_2025-07-29_13-21-06 - Evaluate/EpOverCost__MIN","4090_dqn_2025-07-29_13-21-06 - Evaluate/EpOverCost__MAX","penalty_4070_dqn_2025-07-27_11-39-32 - _step","penalty_4070_dqn_2025-07-27_11-39-32 - _step__MIN","penalty_4070_dqn_2025-07-27_11-39-32 - _step__MAX","penalty_4070_dqn_2025-07-27_11-39-32 - Evaluate/EpOverCost","penalty_4070_dqn_2025-07-27_11-39-32 - Evaluate/EpOverCost__MIN","penalty_4070_dqn_2025-07-27_11-39-32 - Evaluate/EpOverCost__MAX","4070_rl_filter_2025-07-20_12-17-12 - _step","4070_rl_filter_2025-07-20_12-17-12 - _step__MIN","4070_rl_filter_2025-07-20_12-17-12 - _step__MAX","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpOverCost","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpOverCost__MIN","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpOverCost__MAX"
"339","21507","21507","21507","0","0","0","21267","21267","21267","0","0","0","21189","21189","21189","0","0","0","21226","21226","21226","0","0","0","40604","40604","40604","0","0","0","40824","40824","40824","0","0","0","40655","40655","40655","0","0","0","40622","40622","40622","0","0","0"
"340","21511","21511","21511","0","0","0","21271","21271","21271","0","0","0","21193","21193","21193","0","0","0","21230","21230","21230","0","0","0","40608","40608","40608","0","0","0","40828","40828","40828","0","0","0","40659","40659","40659","0","0","0","40626","40626","40626","0","0","0"
"341","21515","21515","21515","0","0","0","21275","21275","21275","0","0","0","21197","21197","21197","0","0","0","21234","21234","21234","0","0","0","40612","40612","40612","0","0","0","40832","40832","40832","0","0","0","40663","40663","40663","0","0","0","40630","40630","40630","0","0","0"
"342","22040","22040","22040","2","2","2","21795","21795","21795","0","0","0","21717","21717","21717","2","2","2","21754","21754","21754","0","0","0","41648","41648","41648","3","3","3","41869","41869","41869","0","0","0","41704","41704","41704","3","3","3","41666","41666","41666","0","0","0"
"343","22044","22044","22044","7","7","7","21799","21799","21799","0","0","0","21721","21721","21721","1","1","1","21758","21758","21758","0","0","0","41652","41652","41652","0","0","0","41873","41873","41873","0","0","0","41708","41708","41708","9","9","9","41670","41670","41670","0","0","0"
"344","22048","22048","22048","11","11","11","21803","21803","21803","0","0","0","21725","21725","21725","2","2","2","21762","21762","21762","0","0","0","41656","41656","41656","0","0","0","41877","41877","41877","0","0","0","41712","41712","41712","5","5","5","41674","41674","41674","0","0","0"
"345","22052","22052","22052","0","0","0","21807","21807","21807","0","0","0","21729","21729","21729","0","0","0","21766","21766","21766","0","0","0","41660","41660","41660","0","0","0","41881","41881","41881","0","0","0","41716","41716","41716","0","0","0","41678","41678","41678","0","0","0"
"346","22056","22056","22056","0","0","0","21811","21811","21811","0","0","0","21733","21733","21733","0","0","0","21770","21770","21770","0","0","0","41664","41664","41664","0","0","0","41885","41885","41885","0","0","0","41720","41720","41720","0","0","0","41682","41682","41682","0","0","0"
"347","22060","22060","22060","0","0","0","21815","21815","21815","0","0","0","21737","21737","21737","0","0","0","21774","21774","21774","0","0","0","41668","41668","41668","0","0","0","41889","41889","41889","0","0","0","41724","41724","41724","0","0","0","41686","41686","41686","0","0","0"
"348","22064","22064","22064","0","0","0","21819","21819","21819","0","0","0","21741","21741","21741","0","0","0","21778","21778","21778","0","0","0","41672","41672","41672","0","0","0","41893","41893","41893","0","0","0","41728","41728","41728","0","0","0","41690","41690","41690","0","0","0"
"349","22068","22068","22068","0","0","0","21823","21823","21823","0","0","0","21745","21745","21745","0","0","0","21782","21782","21782","0","0","0","41676","41676","41676","0","0","0","41897","41897","41897","0","0","0","41732","41732","41732","0","0","0","41694","41694","41694","0","0","0"
"350","22072","22072","22072","0","0","0","21827","21827","21827","0","0","0","21749","21749","21749","0","0","0","21786","21786","21786","0","0","0","41680","41680","41680","0","0","0","41901","41901","41901","0","0","0","41736","41736","41736","0","0","0","41698","41698","41698","0","0","0"
"351","22593","22593","22593","0","0","0","22348","22348","22348","0","0","0","22270","22270","22270","0","0","0","22307","22307","22307","0","0","0","42716","42716","42716","3","3","3","42937","42937","42937","0","0","0","42772","42772","42772","2","2","2","42744","42744","42744","0","0","0"
"352","22597","22597","22597","7","7","7","22352","22352","22352","0","0","0","22274","22274","22274","0","0","0","22311","22311","22311","0","0","0","42720","42720","42720","0","0","0","42941","42941","42941","0","0","0","42776","42776","42776","9","9","9","42748","42748","42748","0","0","0"
"353","22601","22601","22601","7","7","7","22356","22356","22356","0","0","0","22278","22278","22278","0","0","0","22315","22315","22315","0","0","0","42724","42724","42724","3","3","3","42945","42945","42945","0","0","0","42780","42780","42780","7","7","7","42752","42752","42752","0","0","0"
"354","22605","22605","22605","1","1","1","22360","22360","22360","0","0","0","22282","22282","22282","0","0","0","22319","22319","22319","0","0","0","42728","42728","42728","0","0","0","42949","42949","42949","0","0","0","42784","42784","42784","0","0","0","42756","42756","42756","0","0","0"
"355","22609","22609","22609","0","0","0","22364","22364","22364","0","0","0","22286","22286","22286","0","0","0","22323","22323","22323","0","0","0","42732","42732","42732","0","0","0","42953","42953","42953","0","0","0","42788","42788","42788","0","0","0","42760","42760","42760","0","0","0"
"356","22613","22613","22613","0","0","0","22368","22368","22368","0","0","0","22290","22290","22290","0","0","0","22327","22327","22327","0","0","0","42736","42736","42736","0","0","0","42957","42957","42957","0","0","0","42792","42792","42792","0","0","0","42764","42764","42764","0","0","0"
"357","22617","22617","22617","0","0","0","22372","22372","22372","0","0","0","22294","22294","22294","0","0","0","22331","22331","22331","0","0","0","42740","42740","42740","0","0","0","42961","42961","42961","0","0","0","42796","42796","42796","0","0","0","42768","42768","42768","0","0","0"
"358","22621","22621","22621","0","0","0","22376","22376","22376","0","0","0","22298","22298","22298","0","0","0","22335","22335","22335","0","0","0","42744","42744","42744","0","0","0","42965","42965","42965","0","0","0","42800","42800","42800","0","0","0","42772","42772","42772","0","0","0"
"359","22625","22625","22625","0","0","0","22380","22380","22380","0","0","0","22302","22302","22302","0","0","0","22339","22339","22339","0","0","0","42748","42748","42748","0","0","0","42969","42969","42969","0","0","0","42804","42804","42804","0","0","0","42776","42776","42776","0","0","0"
"360","23145","23145","23145","2","2","2","22901","22901","22901","0","0","0","22822","22822","22822","2","2","2","22859","22859","22859","0","0","0","43784","43784","43784","0","0","0","44011","44011","44011","0","0","0","43840","43840","43840","3","3","3","43818","43818","43818","0","0","0"
"361","23149","23149","23149","7","7","7","22905","22905","22905","0","0","0","22826","22826","22826","1","1","1","22863","22863","22863","0","0","0","43788","43788","43788","6","6","6","44015","44015","44015","0","0","0","43844","43844","43844","3","3","3","43822","43822","43822","0","0","0"
"362","23153","23153","23153","9","9","9","22909","22909","22909","0","0","0","22830","22830","22830","0","0","0","22867","22867","22867","0","0","0","43792","43792","43792","4","4","4","44019","44019","44019","0","0","0","43848","43848","43848","0","0","0","43826","43826","43826","0","0","0"
"363","23157","23157","23157","0","0","0","22913","22913","22913","0","0","0","22834","22834","22834","0","0","0","22871","22871","22871","0","0","0","43796","43796","43796","0","0","0","44023","44023","44023","0","0","0","43852","43852","43852","0","0","0","43830","43830","43830","0","0","0"
"364","23161","23161","23161","0","0","0","22917","22917","22917","0","0","0","22838","22838","22838","0","0","0","22875","22875","22875","0","0","0","43800","43800","43800","0","0","0","44027","44027","44027","0","0","0","43856","43856","43856","0","0","0","43834","43834","43834","0","0","0"
"365","23165","23165","23165","0","0","0","22921","22921","22921","0","0","0","22842","22842","22842","0","0","0","22879","22879","22879","0","0","0","43804","43804","43804","0","0","0","44031","44031","44031","0","0","0","43860","43860","43860","0","0","0","43838","43838","43838","0","0","0"
"366","23169","23169","23169","0","0","0","22925","22925","22925","0","0","0","22846","22846","22846","0","0","0","22883","22883","22883","0","0","0","43808","43808","43808","0","0","0","44035","44035","44035","0","0","0","43864","43864","43864","0","0","0","43842","43842","43842","0","0","0"
"367","23173","23173","23173","0","0","0","22929","22929","22929","0","0","0","22850","22850","22850","0","0","0","22887","22887","22887","0","0","0","43812","43812","43812","0","0","0","44039","44039","44039","0","0","0","43868","43868","43868","0","0","0","43846","43846","43846","0","0","0"
"368","23177","23177","23177","0","0","0","22933","22933","22933","0","0","0","22854","22854","22854","0","0","0","22891","22891","22891","0","0","0","43816","43816","43816","0","0","0","44043","44043","44043","0","0","0","43872","43872","43872","0","0","0","43850","43850","43850","0","0","0"
"369","23698","23698","23698","0","0","0","23453","23453","23453","0","0","0","23375","23375","23375","0","0","0","23412","23412","23412","0","0","0","44852","44852","44852","0","0","0","45080","45080","45080","0","0","0","44908","44908","44908","0","0","0","44886","44886","44886","0","0","0"
"370","23702","23702","23702","9","9","9","23457","23457","23457","0","0","0","23379","23379","23379","3","3","3","23416","23416","23416","0","0","0","44856","44856","44856","1","1","1","45084","45084","45084","0","0","0","44912","44912","44912","0","0","0","44890","44890","44890","0","0","0"
"371","23706","23706","23706","6","6","6","23461","23461","23461","0","0","0","23383","23383","23383","2","2","2","23420","23420","23420","0","0","0","44860","44860","44860","5","5","5","45088","45088","45088","0","0","0","44916","44916","44916","0","0","0","44894","44894","44894","0","0","0"
"372","23710","23710","23710","0","0","0","23465","23465","23465","0","0","0","23387","23387","23387","0","0","0","23424","23424","23424","0","0","0","44864","44864","44864","0","0","0","45092","45092","45092","0","0","0","44920","44920","44920","0","0","0","44898","44898","44898","0","0","0"
"373","23714","23714","23714","0","0","0","23469","23469","23469","0","0","0","23391","23391","23391","0","0","0","23428","23428","23428","0","0","0","44868","44868","44868","0","0","0","45096","45096","45096","0","0","0","44924","44924","44924","0","0","0","44902","44902","44902","0","0","0"
"374","23718","23718","23718","0","0","0","23473","23473","23473","0","0","0","23395","23395","23395","0","0","0","23432","23432","23432","0","0","0","44872","44872","44872","0","0","0","45100","45100","45100","0","0","0","44928","44928","44928","0","0","0","44906","44906","44906","0","0","0"
"375","23722","23722","23722","0","0","0","23477","23477","23477","0","0","0","23399","23399","23399","0","0","0","23436","23436","23436","0","0","0","44876","44876","44876","0","0","0","45104","45104","45104","0","0","0","44932","44932","44932","0","0","0","44910","44910","44910","0","0","0"
"376","23726","23726","23726","0","0","0","23481","23481","23481","0","0","0","23403","23403","23403","0","0","0","23440","23440","23440","0","0","0","44880","44880","44880","0","0","0","45108","45108","45108","0","0","0","44936","44936","44936","0","0","0","44914","44914","44914","0","0","0"
"377","23730","23730","23730","0","0","0","23485","23485","23485","0","0","0","23407","23407","23407","0","0","0","23444","23444","23444","0","0","0","44884","44884","44884","0","0","0","45112","45112","45112","0","0","0","44940","44940","44940","0","0","0","44918","44918","44918","0","0","0"
"378","24250","24250","24250","0","0","0","24006","24006","24006","0","0","0","23927","23927","23927","2","2","2","23964","23964","23964","0","0","0","45920","45920","45920","1","1","1","46153","46153","46153","0","0","0","45976","45976","45976","2","2","2","45954","45954","45954","0","0","0"
"379","24254","24254","24254","11","11","11","24010","24010","24010","0","0","0","23931","23931","23931","1","1","1","23968","23968","23968","0","0","0","45924","45924","45924","0","0","0","46157","46157","46157","0","0","0","45980","45980","45980","3","3","3","45958","45958","45958","0","0","0"
"380","24258","24258","24258","7","7","7","24014","24014","24014","0","0","0","23935","23935","23935","0","0","0","23972","23972","23972","0","0","0","45928","45928","45928","4","4","4","46161","46161","46161","0","0","0","45984","45984","45984","4","4","4","45962","45962","45962","0","0","0"
"381","24262","24262","24262","1","1","1","24018","24018","24018","0","0","0","23939","23939","23939","0","0","0","23976","23976","23976","0","0","0","45932","45932","45932","0","0","0","46165","46165","46165","0","0","0","45988","45988","45988","0","0","0","45966","45966","45966","0","0","0"
"382","24266","24266","24266","0","0","0","24022","24022","24022","0","0","0","23943","23943","23943","0","0","0","23980","23980","23980","0","0","0","45936","45936","45936","0","0","0","46169","46169","46169","0","0","0","45992","45992","45992","0","0","0","45970","45970","45970","0","0","0"
"383","24270","24270","24270","0","0","0","24026","24026","24026","0","0","0","23947","23947","23947","0","0","0","23984","23984","23984","0","0","0","45940","45940","45940","0","0","0","46173","46173","46173","0","0","0","45996","45996","45996","0","0","0","45974","45974","45974","0","0","0"
"384","24274","24274","24274","0","0","0","24030","24030","24030","0","0","0","23951","23951","23951","0","0","0","23988","23988","23988","0","0","0","45944","45944","45944","0","0","0","46177","46177","46177","0","0","0","46000","46000","46000","0","0","0","45978","45978","45978","0","0","0"
"385","24278","24278","24278","0","0","0","24034","24034","24034","0","0","0","23955","23955","23955","0","0","0","23992","23992","23992","0","0","0","45948","45948","45948","0","0","0","46181","46181","46181","0","0","0","46004","46004","46004","0","0","0","45982","45982","45982","0","0","0"
"386","24282","24282","24282","0","0","0","24038","24038","24038","0","0","0","23959","23959","23959","0","0","0","23996","23996","23996","0","0","0","45952","45952","45952","0","0","0","46185","46185","46185","0","0","0","46008","46008","46008","0","0","0","45986","45986","45986","0","0","0"
"387","24803","24803","24803","3","3","3","24558","24558","24558","0","0","0","24480","24480","24480","0","0","0","24517","24517","24517","0","0","0","46988","46988","46988","0","0","0","47221","47221","47221","0","0","0","47049","47049","47049","2","2","2","47033","47033","47033","0","0","0"
"388","24807","24807","24807","0","0","0","24562","24562","24562","0","0","0","24484","24484","24484","2","2","2","24521","24521","24521","0","0","0","46992","46992","46992","0","0","0","47225","47225","47225","0","0","0","47053","47053","47053","0","0","0","47037","47037","47037","0","0","0"
"389","24811","24811","24811","4","4","4","24566","24566","24566","0","0","0","24488","24488","24488","1","1","1","24525","24525","24525","0","0","0","46996","46996","46996","10","10","10","47229","47229","47229","0","0","0","47057","47057","47057","0","0","0","47041","47041","47041","0","0","0"
"390","24815","24815","24815","0","0","0","24570","24570","24570","0","0","0","24492","24492","24492","0","0","0","24529","24529","24529","0","0","0","47000","47000","47000","0","0","0","47233","47233","47233","0","0","0","47061","47061","47061","0","0","0","47045","47045","47045","0","0","0"
"391","24819","24819","24819","0","0","0","24574","24574","24574","0","0","0","24496","24496","24496","0","0","0","24533","24533","24533","0","0","0","47004","47004","47004","0","0","0","47237","47237","47237","0","0","0","47065","47065","47065","0","0","0","47049","47049","47049","0","0","0"
"392","24823","24823","24823","0","0","0","24578","24578","24578","0","0","0","24500","24500","24500","0","0","0","24537","24537","24537","0","0","0","47008","47008","47008","0","0","0","47241","47241","47241","0","0","0","47069","47069","47069","0","0","0","47053","47053","47053","0","0","0"
"393","24827","24827","24827","0","0","0","24582","24582","24582","0","0","0","24504","24504","24504","0","0","0","24541","24541","24541","0","0","0","47012","47012","47012","0","0","0","47245","47245","47245","0","0","0","47073","47073","47073","0","0","0","47057","47057","47057","0","0","0"
"394","24831","24831","24831","0","0","0","24586","24586","24586","0","0","0","24508","24508","24508","0","0","0","24545","24545","24545","0","0","0","47016","47016","47016","0","0","0","47249","47249","47249","0","0","0","47077","47077","47077","0","0","0","47061","47061","47061","0","0","0"
"395","24835","24835","24835","0","0","0","24590","24590","24590","0","0","0","24512","24512","24512","0","0","0","24549","24549","24549","0","0","0","47020","47020","47020","0","0","0","47253","47253","47253","0","0","0","47081","47081","47081","0","0","0","47065","47065","47065","0","0","0"
"396","25355","25355","25355","0","0","0","25111","25111","25111","0","0","0","25032","25032","25032","0","0","0","25069","25069","25069","0","0","0","48061","48061","48061","1","1","1","48289","48289","48289","0","0","0","48117","48117","48117","2","2","2","48101","48101","48101","0","0","0"
"397","25359","25359","25359","6","6","6","25115","25115","25115","0","0","0","25036","25036","25036","0","0","0","25073","25073","25073","0","0","0","48065","48065","48065","5","5","5","48293","48293","48293","0","0","0","48121","48121","48121","0","0","0","48105","48105","48105","0","0","0"
"398","25363","25363","25363","5","5","5","25119","25119","25119","0","0","0","25040","25040","25040","0","0","0","25077","25077","25077","0","0","0","48069","48069","48069","12","12","12","48297","48297","48297","0","0","0","48125","48125","48125","0","0","0","48109","48109","48109","0","0","0"
"399","25367","25367","25367","0","0","0","25123","25123","25123","0","0","0","25044","25044","25044","0","0","0","25081","25081","25081","0","0","0","48073","48073","48073","0","0","0","48301","48301","48301","0","0","0","48129","48129","48129","0","0","0","48113","48113","48113","0","0","0"
"400","25371","25371","25371","0","0","0","25127","25127","25127","0","0","0","25048","25048","25048","0","0","0","25085","25085","25085","0","0","0","48077","48077","48077","0","0","0","48305","48305","48305","0","0","0","48133","48133","48133","0","0","0","48117","48117","48117","0","0","0"
"401","25375","25375","25375","0","0","0","25131","25131","25131","0","0","0","25052","25052","25052","0","0","0","25089","25089","25089","0","0","0","48081","48081","48081","0","0","0","48309","48309","48309","0","0","0","48137","48137","48137","0","0","0","48121","48121","48121","0","0","0"
"402","25379","25379","25379","0","0","0","25135","25135","25135","0","0","0","25056","25056","25056","0","0","0","25093","25093","25093","0","0","0","48085","48085","48085","0","0","0","48313","48313","48313","0","0","0","48141","48141","48141","0","0","0","48125","48125","48125","0","0","0"
"403","25383","25383","25383","0","0","0","25139","25139","25139","0","0","0","25060","25060","25060","0","0","0","25097","25097","25097","0","0","0","48089","48089","48089","0","0","0","48317","48317","48317","0","0","0","48145","48145","48145","0","0","0","48129","48129","48129","0","0","0"
"404","25387","25387","25387","0","0","0","25143","25143","25143","0","0","0","25064","25064","25064","0","0","0","25101","25101","25101","0","0","0","48093","48093","48093","0","0","0","48321","48321","48321","0","0","0","48149","48149","48149","0","0","0","48133","48133","48133","0","0","0"
"405","25908","25908","25908","0","0","0","25663","25663","25663","0","0","0","25585","25585","25585","0","0","0","25622","25622","25622","0","0","0","49134","49134","49134","1","1","1","49362","49362","49362","0","0","0","49185","49185","49185","0","0","0","49168","49168","49168","0","0","0"
"406","25912","25912","25912","8","8","8","25667","25667","25667","0","0","0","25589","25589","25589","0","0","0","25626","25626","25626","0","0","0","49138","49138","49138","2","2","2","49366","49366","49366","0","0","0","49189","49189","49189","0","0","0","49172","49172","49172","0","0","0"
"407","25916","25916","25916","9","9","9","25671","25671","25671","0","0","0","25593","25593","25593","2","2","2","25630","25630","25630","0","0","0","49142","49142","49142","5","5","5","49370","49370","49370","0","0","0","49193","49193","49193","2","2","2","49176","49176","49176","0","0","0"
"408","25920","25920","25920","1","1","1","25675","25675","25675","0","0","0","25597","25597","25597","0","0","0","25634","25634","25634","0","0","0","49146","49146","49146","0","0","0","49374","49374","49374","0","0","0","49197","49197","49197","0","0","0","49180","49180","49180","0","0","0"
"409","25924","25924","25924","0","0","0","25679","25679","25679","0","0","0","25601","25601","25601","0","0","0","25638","25638","25638","0","0","0","49150","49150","49150","0","0","0","49378","49378","49378","0","0","0","49201","49201","49201","0","0","0","49184","49184","49184","0","0","0"
"410","25928","25928","25928","0","0","0","25683","25683","25683","0","0","0","25605","25605","25605","0","0","0","25642","25642","25642","0","0","0","49154","49154","49154","0","0","0","49382","49382","49382","0","0","0","49205","49205","49205","0","0","0","49188","49188","49188","0","0","0"
"411","25932","25932","25932","0","0","0","25687","25687","25687","0","0","0","25609","25609","25609","0","0","0","25646","25646","25646","0","0","0","49158","49158","49158","0","0","0","49386","49386","49386","0","0","0","49209","49209","49209","0","0","0","49192","49192","49192","0","0","0"
"412","25936","25936","25936","0","0","0","25691","25691","25691","0","0","0","25613","25613","25613","0","0","0","25650","25650","25650","0","0","0","49162","49162","49162","0","0","0","49390","49390","49390","0","0","0","49213","49213","49213","0","0","0","49196","49196","49196","0","0","0"
"413","25940","25940","25940","0","0","0","25695","25695","25695","0","0","0","25617","25617","25617","0","0","0","25654","25654","25654","0","0","0","49166","49166","49166","0","0","0","49394","49394","49394","0","0","0","49217","49217","49217","0","0","0","49200","49200","49200","0","0","0"
"414","26460","26460","26460","2","2","2","26216","26216","26216","0","0","0","26137","26137","26137","2","2","2","26174","26174","26174","0","0","0","50202","50202","50202","2","2","2","50431","50431","50431","0","0","0","50258","50258","50258","1","1","1","50237","50237","50237","0","0","0"
"415","26464","26464","26464","9","9","9","26220","26220","26220","0","0","0","26141","26141","26141","0","0","0","26178","26178","26178","0","0","0","50206","50206","50206","3","3","3","50435","50435","50435","0","0","0","50262","50262","50262","0","0","0","50241","50241","50241","0","0","0"
"416","26468","26468","26468","0","0","0","26224","26224","26224","0","0","0","26145","26145","26145","2","2","2","26182","26182","26182","0","0","0","50210","50210","50210","6","6","6","50439","50439","50439","0","0","0","50266","50266","50266","0","0","0","50245","50245","50245","0","0","0"
"417","26472","26472","26472","0","0","0","26228","26228","26228","0","0","0","26149","26149","26149","0","0","0","26186","26186","26186","0","0","0","50214","50214","50214","0","0","0","50443","50443","50443","0","0","0","50270","50270","50270","0","0","0","50249","50249","50249","0","0","0"
"418","26476","26476","26476","0","0","0","26232","26232","26232","0","0","0","26153","26153","26153","0","0","0","26190","26190","26190","0","0","0","50218","50218","50218","0","0","0","50447","50447","50447","0","0","0","50274","50274","50274","0","0","0","50253","50253","50253","0","0","0"
"419","26480","26480","26480","0","0","0","26236","26236","26236","0","0","0","26157","26157","26157","0","0","0","26194","26194","26194","0","0","0","50222","50222","50222","0","0","0","50451","50451","50451","0","0","0","50278","50278","50278","0","0","0","50257","50257","50257","0","0","0"
"420","26484","26484","26484","0","0","0","26240","26240","26240","0","0","0","26161","26161","26161","0","0","0","26198","26198","26198","0","0","0","50226","50226","50226","0","0","0","50455","50455","50455","0","0","0","50282","50282","50282","0","0","0","50261","50261","50261","0","0","0"
"421","26488","26488","26488","0","0","0","26244","26244","26244","0","0","0","26165","26165","26165","0","0","0","26202","26202","26202","0","0","0","50230","50230","50230","0","0","0","50459","50459","50459","0","0","0","50286","50286","50286","0","0","0","50265","50265","50265","0","0","0"
"422","26492","26492","26492","0","0","0","26248","26248","26248","0","0","0","26169","26169","26169","0","0","0","26206","26206","26206","0","0","0","50234","50234","50234","0","0","0","50463","50463","50463","0","0","0","50290","50290","50290","0","0","0","50269","50269","50269","0","0","0"
"423","27013","27013","27013","2","2","2","26768","26768","26768","0","0","0","26690","26690","26690","1","1","1","26727","26727","26727","0","0","0","51270","51270","51270","5","5","5","51499","51499","51499","0","0","0","51326","51326","51326","0","0","0","51305","51305","51305","0","0","0"
"424","27017","27017","27017","0","0","0","26772","26772","26772","0","0","0","26694","26694","26694","2","2","2","26731","26731","26731","0","0","0","51274","51274","51274","1","1","1","51503","51503","51503","0","0","0","51330","51330","51330","0","0","0","51309","51309","51309","0","0","0"
"425","27021","27021","27021","0","0","0","26776","26776","26776","0","0","0","26698","26698","26698","0","0","0","26735","26735","26735","0","0","0","51278","51278","51278","4","4","4","51507","51507","51507","0","0","0","51334","51334","51334","0","0","0","51313","51313","51313","0","0","0"
"426","27025","27025","27025","0","0","0","26780","26780","26780","0","0","0","26702","26702","26702","0","0","0","26739","26739","26739","0","0","0","51282","51282","51282","0","0","0","51511","51511","51511","0","0","0","51338","51338","51338","0","0","0","51317","51317","51317","0","0","0"
"427","27029","27029","27029","0","0","0","26784","26784","26784","0","0","0","26706","26706","26706","0","0","0","26743","26743","26743","0","0","0","51286","51286","51286","0","0","0","51515","51515","51515","0","0","0","51342","51342","51342","0","0","0","51321","51321","51321","0","0","0"
"428","27033","27033","27033","0","0","0","26788","26788","26788","0","0","0","26710","26710","26710","0","0","0","26747","26747","26747","0","0","0","51290","51290","51290","0","0","0","51519","51519","51519","0","0","0","51346","51346","51346","0","0","0","51325","51325","51325","0","0","0"
"429","27037","27037","27037","0","0","0","26792","26792","26792","0","0","0","26714","26714","26714","0","0","0","26751","26751","26751","0","0","0","51294","51294","51294","0","0","0","51523","51523","51523","0","0","0","51350","51350","51350","0","0","0","51329","51329","51329","0","0","0"
"430","27041","27041","27041","0","0","0","26796","26796","26796","0","0","0","26718","26718","26718","0","0","0","26755","26755","26755","0","0","0","51298","51298","51298","0","0","0","51527","51527","51527","0","0","0","51354","51354","51354","0","0","0","51333","51333","51333","0","0","0"
"431","27045","27045","27045","0","0","0","26800","26800","26800","0","0","0","26722","26722","26722","0","0","0","26759","26759","26759","0","0","0","51302","51302","51302","0","0","0","51531","51531","51531","0","0","0","51358","51358","51358","0","0","0","51337","51337","51337","0","0","0"
"432","27565","27565","27565","1","1","1","27326","27326","27326","0","0","0","27242","27242","27242","2","2","2","27279","27279","27279","0","0","0","52348","52348","52348","5","5","5","52567","52567","52567","0","0","0","52394","52394","52394","3","3","3","52374","52374","52374","0","0","0"
"433","27569","27569","27569","0","0","0","27330","27330","27330","0","0","0","27246","27246","27246","0","0","0","27283","27283","27283","0","0","0","52352","52352","52352","10","10","10","52571","52571","52571","0","0","0","52398","52398","52398","8","8","8","52378","52378","52378","0","0","0"
"434","27573","27573","27573","10","10","10","27334","27334","27334","0","0","0","27250","27250","27250","0","0","0","27287","27287","27287","0","0","0","52356","52356","52356","9","9","9","52575","52575","52575","0","0","0","52402","52402","52402","9","9","9","52382","52382","52382","0","0","0"
"435","27577","27577","27577","0","0","0","27338","27338","27338","0","0","0","27254","27254","27254","0","0","0","27291","27291","27291","0","0","0","52360","52360","52360","0","0","0","52579","52579","52579","0","0","0","52406","52406","52406","0","0","0","52386","52386","52386","0","0","0"
"436","27581","27581","27581","0","0","0","27342","27342","27342","0","0","0","27258","27258","27258","0","0","0","27295","27295","27295","0","0","0","52364","52364","52364","0","0","0","52583","52583","52583","0","0","0","52410","52410","52410","0","0","0","52390","52390","52390","0","0","0"
