"Evaluate/step_episode","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step__MIN","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step__MAX","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterFatigueCoeAccu_kf","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterFatigueCoeAccu_kf__MIN","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterFatigueCoeAccu_kf__MAX","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step__MIN","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step__MAX","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterFatigueCoeAccu_kf","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterFatigueCoeAccu_kf__MIN","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterFatigueCoeAccu_kf__MAX","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step__MIN","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step__MAX","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterFatigueCoeAccu_kf","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterFatigueCoeAccu_kf__MIN","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterFatigueCoeAccu_kf__MAX","5_test_dqn_49600_2025-07-27_11-39-32 - _step","5_test_dqn_49600_2025-07-27_11-39-32 - _step__MIN","5_test_dqn_49600_2025-07-27_11-39-32 - _step__MAX","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterFatigueCoeAccu_kf","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterFatigueCoeAccu_kf__MIN","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterFatigueCoeAccu_kf__MAX","6_test_dqn_49600_2025-07-29_13-21-06 - _step","6_test_dqn_49600_2025-07-29_13-21-06 - _step__MIN","6_test_dqn_49600_2025-07-29_13-21-06 - _step__MAX","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterFatigueCoeAccu_kf","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterFatigueCoeAccu_kf__MIN","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterFatigueCoeAccu_kf__MAX","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step__MIN","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step__MAX","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterFatigueCoeAccu_kf","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterFatigueCoeAccu_kf__MIN","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterFatigueCoeAccu_kf__MAX","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step__MIN","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step__MAX","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterFatigueCoeAccu_kf","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterFatigueCoeAccu_kf__MIN","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterFatigueCoeAccu_kf__MAX","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step__MIN","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step__MAX","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterFatigueCoeAccu_kf","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterFatigueCoeAccu_kf__MIN","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterFatigueCoeAccu_kf__MAX"
"114","577","577","577","0.03402915969491005","0.03402915969491005","0.03402915969491005","692","692","692","0.047231245785951614","0.047231245785951614","0.047231245785951614","692","692","692","0.055310674011707306","0.055310674011707306","0.055310674011707306","692","692","692","0.05176674202084541","0.05176674202084541","0.05176674202084541","692","692","692","0.048813045024871826","0.048813045024871826","0.048813045024871826","577","577","577","0.05220944434404373","0.05220944434404373","0.05220944434404373","692","692","692","0.051497526466846466","0.051497526466846466","0.051497526466846466","692","692","692","0.04518478736281395","0.04518478736281395","0.04518478736281395"
"115","582","582","582","0.044888369739055634","0.044888369739055634","0.044888369739055634","698","698","698","0.04799973964691162","0.04799973964691162","0.04799973964691162","698","698","698","0.04746003821492195","0.04746003821492195","0.04746003821492195","698","698","698","0.026892615482211113","0.026892615482211113","0.026892615482211113","698","698","698","0.04403423145413399","0.04403423145413399","0.04403423145413399","582","582","582","0.04524237662553787","0.04524237662553787","0.04524237662553787","698","698","698","0.05177004635334015","0.05177004635334015","0.05177004635334015","698","698","698","0.04781236872076988","0.04781236872076988","0.04781236872076988"
"116","587","587","587","0.036786165088415146","0.036786165088415146","0.036786165088415146","704","704","704","0.04139687493443489","0.04139687493443489","0.04139687493443489","704","704","704","0.04114053025841713","0.04114053025841713","0.04114053025841713","704","704","704","0.037027135491371155","0.037027135491371155","0.037027135491371155","704","704","704","0.04333694279193878","0.04333694279193878","0.04333694279193878","587","587","587","0.04572311416268349","0.04572311416268349","0.04572311416268349","704","704","704","0.04536713659763336","0.04536713659763336","0.04536713659763336","704","704","704","0.05188625305891037","0.05188625305891037","0.05188625305891037"
"117","592","592","592","0.046776462346315384","0.046776462346315384","0.046776462346315384","710","710","710","0.036992304027080536","0.036992304027080536","0.036992304027080536","710","710","710","0.0532231330871582","0.0532231330871582","0.0532231330871582","710","710","710","0.04607943445444107","0.04607943445444107","0.04607943445444107","710","710","710","0.04480975493788719","0.04480975493788719","0.04480975493788719","592","592","592","0.06640005111694336","0.06640005111694336","0.06640005111694336","710","710","710","0.04487645998597145","0.04487645998597145","0.04487645998597145","710","710","710","0.05841064453125","0.05841064453125","0.05841064453125"
"118","597","597","597","0.03764256462454796","0.03764256462454796","0.03764256462454796","716","716","716","0.044585566967725754","0.044585566967725754","0.044585566967725754","716","716","716","0.0391390398144722","0.0391390398144722","0.0391390398144722","716","716","716","0.030128445476293564","0.030128445476293564","0.030128445476293564","716","716","716","0.047222401946783066","0.047222401946783066","0.047222401946783066","597","597","597","0.04243164509534836","0.04243164509534836","0.04243164509534836","716","716","716","0.042150914669036865","0.042150914669036865","0.042150914669036865","716","716","716","0.04320899024605751","0.04320899024605751","0.04320899024605751"
"119","602","602","602","0.053582627326250076","0.053582627326250076","0.053582627326250076","722","722","722","0.045884206891059875","0.045884206891059875","0.045884206891059875","722","722","722","0.04181215167045593","0.04181215167045593","0.04181215167045593","722","722","722","0.04784813150763512","0.04784813150763512","0.04784813150763512","722","722","722","0.05417284369468689","0.05417284369468689","0.05417284369468689","602","602","602","0.048018284142017365","0.048018284142017365","0.048018284142017365","722","722","722","0.060332220047712326","0.060332220047712326","0.060332220047712326","722","722","722","0.050244368612766266","0.050244368612766266","0.050244368612766266"
"120","607","607","607","0.04530269652605057","0.04530269652605057","0.04530269652605057","728","728","728","0.06312357634305954","0.06312357634305954","0.06312357634305954","728","728","728","0.054645881056785583","0.054645881056785583","0.054645881056785583","728","728","728","0.028359416872262955","0.028359416872262955","0.028359416872262955","728","728","728","0.028154905885457993","0.028154905885457993","0.028154905885457993","607","607","607","0.049438104033470154","0.049438104033470154","0.049438104033470154","728","728","728","0.05277625098824501","0.05277625098824501","0.05277625098824501","728","728","728","0.06475389003753662","0.06475389003753662","0.06475389003753662"
"121","612","612","612","0.054312366992235184","0.054312366992235184","0.054312366992235184","734","734","734","0.052710216492414474","0.052710216492414474","0.052710216492414474","734","734","734","0.03340800106525421","0.03340800106525421","0.03340800106525421","734","734","734","0.04530005529522896","0.04530005529522896","0.04530005529522896","734","734","734","0.03281211853027344","0.03281211853027344","0.03281211853027344","612","612","612","0.0408526174724102","0.0408526174724102","0.0408526174724102","734","734","734","0.046805690973997116","0.046805690973997116","0.046805690973997116","734","734","734","0.05482656508684158","0.05482656508684158","0.05482656508684158"
"122","617","617","617","0.038845013827085495","0.038845013827085495","0.038845013827085495","740","740","740","0.028753818944096565","0.028753818944096565","0.028753818944096565","740","740","740","0.049334485083818436","0.049334485083818436","0.049334485083818436","740","740","740","0.04877222329378128","0.04877222329378128","0.04877222329378128","740","740","740","0.03883565217256546","0.03883565217256546","0.03883565217256546","617","617","617","0.044434163719415665","0.044434163719415665","0.044434163719415665","740","740","740","0.04640460014343262","0.04640460014343262","0.04640460014343262","740","740","740","0.047616660594940186","0.047616660594940186","0.047616660594940186"
"123","622","622","622","0.05308831110596657","0.05308831110596657","0.05308831110596657","746","746","746","0.04569408670067787","0.04569408670067787","0.04569408670067787","746","746","746","0.05303509905934334","0.05303509905934334","0.05303509905934334","746","746","746","0.03739752992987633","0.03739752992987633","0.03739752992987633","746","746","746","0.05512654036283493","0.05512654036283493","0.05512654036283493","622","622","622","0.0576041005551815","0.0576041005551815","0.0576041005551815","746","746","746","0.030081776902079582","0.030081776902079582","0.030081776902079582","746","746","746","0.07657875865697861","0.07657875865697861","0.07657875865697861"
"124","627","627","627","0.04103513062000275","0.04103513062000275","0.04103513062000275","752","752","752","0.0403466634452343","0.0403466634452343","0.0403466634452343","752","752","752","0.04451815411448479","0.04451815411448479","0.04451815411448479","752","752","752","0.049169402569532394","0.049169402569532394","0.049169402569532394","752","752","752","0.04272444546222687","0.04272444546222687","0.04272444546222687","627","627","627","0.042212605476379395","0.042212605476379395","0.042212605476379395","752","752","752","0.03459988161921501","0.03459988161921501","0.03459988161921501","752","752","752","0.04745898023247719","0.04745898023247719","0.04745898023247719"
"125","632","632","632","0.04722793400287628","0.04722793400287628","0.04722793400287628","758","758","758","0.05336735025048256","0.05336735025048256","0.05336735025048256","758","758","758","0.04849693551659584","0.04849693551659584","0.04849693551659584","758","758","758","0.04506721347570419","0.04506721347570419","0.04506721347570419","758","758","758","0.04183458164334297","0.04183458164334297","0.04183458164334297","632","632","632","0.04931474104523659","0.04931474104523659","0.04931474104523659","758","758","758","0.04345088452100754","0.04345088452100754","0.04345088452100754","758","758","758","0.057284362614154816","0.057284362614154816","0.057284362614154816"
"126","637","637","637","0.04495522379875183","0.04495522379875183","0.04495522379875183","764","764","764","0.05559803918004036","0.05559803918004036","0.05559803918004036","764","764","764","0.05292714014649391","0.05292714014649391","0.05292714014649391","764","764","764","0.0556485578417778","0.0556485578417778","0.0556485578417778","764","764","764","0.039532292634248734","0.039532292634248734","0.039532292634248734","637","637","637","0.050380535423755646","0.050380535423755646","0.050380535423755646","764","764","764","0.054209887981414795","0.054209887981414795","0.054209887981414795","764","764","764","0.05721595510840416","0.05721595510840416","0.05721595510840416"
"127","642","642","642","0.049152571707963943","0.049152571707963943","0.049152571707963943","770","770","770","0.052687983959913254","0.052687983959913254","0.052687983959913254","770","770","770","0.04345817491412163","0.04345817491412163","0.04345817491412163","770","770","770","0.0577857680618763","0.0577857680618763","0.0577857680618763","770","770","770","0.044595908373594284","0.044595908373594284","0.044595908373594284","642","642","642","0.053022101521492004","0.053022101521492004","0.053022101521492004","770","770","770","0.04312710836529732","0.04312710836529732","0.04312710836529732","770","770","770","0.07500668615102768","0.07500668615102768","0.07500668615102768"
"128","647","647","647","0.04497966542840004","0.04497966542840004","0.04497966542840004","776","776","776","0.056629471480846405","0.056629471480846405","0.056629471480846405","776","776","776","0.03427477926015854","0.03427477926015854","0.03427477926015854","776","776","776","0.053597692400217056","0.053597692400217056","0.053597692400217056","776","776","776","0.04042714461684227","0.04042714461684227","0.04042714461684227","647","647","647","0.05981726571917534","0.05981726571917534","0.05981726571917534","776","776","776","0.043894488364458084","0.043894488364458084","0.043894488364458084","776","776","776","0.06422846019268036","0.06422846019268036","0.06422846019268036"
"129","652","652","652","0.03873563930392265","0.03873563930392265","0.03873563930392265","782","782","782","0.04646061360836029","0.04646061360836029","0.04646061360836029","782","782","782","0.06746863573789597","0.06746863573789597","0.06746863573789597","782","782","782","0.04011128470301628","0.04011128470301628","0.04011128470301628","782","782","782","0.04864418879151344","0.04864418879151344","0.04864418879151344","652","652","652","0.05412396416068077","0.05412396416068077","0.05412396416068077","782","782","782","0.05433031916618347","0.05433031916618347","0.05433031916618347","782","782","782","0.053328439593315125","0.053328439593315125","0.053328439593315125"
"130","657","657","657","0.03705107793211937","0.03705107793211937","0.03705107793211937","788","788","788","0.037371449172496796","0.037371449172496796","0.037371449172496796","788","788","788","0.03898005560040474","0.03898005560040474","0.03898005560040474","788","788","788","0.059792935848236084","0.059792935848236084","0.059792935848236084","788","788","788","0.06483711302280426","0.06483711302280426","0.06483711302280426","657","657","657","0.04142371192574501","0.04142371192574501","0.04142371192574501","788","788","788","0.04125415161252022","0.04125415161252022","0.04125415161252022","788","788","788","0.0589747317135334","0.0589747317135334","0.0589747317135334"
"131","662","662","662","0.04863869026303291","0.04863869026303291","0.04863869026303291","794","794","794","0.05847955495119095","0.05847955495119095","0.05847955495119095","794","794","794","0.054186105728149414","0.054186105728149414","0.054186105728149414","794","794","794","0.040279388427734375","0.040279388427734375","0.040279388427734375","794","794","794","0.04754386469721794","0.04754386469721794","0.04754386469721794","662","662","662","0.04815904051065445","0.04815904051065445","0.04815904051065445","794","794","794","0.03928714618086815","0.03928714618086815","0.03928714618086815","794","794","794","0.056690651923418045","0.056690651923418045","0.056690651923418045"
"132","667","667","667","0.03737925365567207","0.03737925365567207","0.03737925365567207","800","800","800","0.05606717988848686","0.05606717988848686","0.05606717988848686","800","800","800","0.030090870335698128","0.030090870335698128","0.030090870335698128","800","800","800","0.052317168563604355","0.052317168563604355","0.052317168563604355","800","800","800","0.036612410098314285","0.036612410098314285","0.036612410098314285","667","667","667","0.05737834796309471","0.05737834796309471","0.05737834796309471","800","800","800","0.05116691067814827","0.05116691067814827","0.05116691067814827","800","800","800","0.04935242235660553","0.04935242235660553","0.04935242235660553"
"133","672","672","672","0.05169589817523956","0.05169589817523956","0.05169589817523956","806","806","806","0.054852113127708435","0.054852113127708435","0.054852113127708435","806","806","806","0.04880614951252937","0.04880614951252937","0.04880614951252937","806","806","806","0.05140318349003792","0.05140318349003792","0.05140318349003792","806","806","806","0.053009919822216034","0.053009919822216034","0.053009919822216034","672","672","672","0.06248997524380684","0.06248997524380684","0.06248997524380684","806","806","806","0.053276270627975464","0.053276270627975464","0.053276270627975464","806","806","806","0.0721866562962532","0.0721866562962532","0.0721866562962532"
"134","677","677","677","0.041680268943309784","0.041680268943309784","0.041680268943309784","812","812","812","0.039854586124420166","0.039854586124420166","0.039854586124420166","812","812","812","0.05564340576529503","0.05564340576529503","0.05564340576529503","812","812","812","0.033141590654850006","0.033141590654850006","0.033141590654850006","812","812","812","0.03199021518230438","0.03199021518230438","0.03199021518230438","677","677","677","0.03463418409228325","0.03463418409228325","0.03463418409228325","812","812","812","0.05690064653754234","0.05690064653754234","0.05690064653754234","812","812","812","0.0624021552503109","0.0624021552503109","0.0624021552503109"
"135","682","682","682","0.04685027524828911","0.04685027524828911","0.04685027524828911","818","818","818","0.04787062108516693","0.04787062108516693","0.04787062108516693","818","818","818","0.036612652242183685","0.036612652242183685","0.036612652242183685","818","818","818","0.04307571426033974","0.04307571426033974","0.04307571426033974","818","818","818","0.04549967125058174","0.04549967125058174","0.04549967125058174","682","682","682","0.052660249173641205","0.052660249173641205","0.052660249173641205","818","818","818","0.03822759538888931","0.03822759538888931","0.03822759538888931","818","818","818","0.041859220713377","0.041859220713377","0.041859220713377"
"136","687","687","687","0.046198826283216476","0.046198826283216476","0.046198826283216476","824","824","824","0.028032995760440826","0.028032995760440826","0.028032995760440826","824","824","824","0.036100197583436966","0.036100197583436966","0.036100197583436966","824","824","824","0.046409573405981064","0.046409573405981064","0.046409573405981064","824","824","824","0.040375709533691406","0.040375709533691406","0.040375709533691406","687","687","687","0.04283483326435089","0.04283483326435089","0.04283483326435089","824","824","824","0.046314697712659836","0.046314697712659836","0.046314697712659836","824","824","824","0.05252416804432869","0.05252416804432869","0.05252416804432869"
"137","692","692","692","0.03864036500453949","0.03864036500453949","0.03864036500453949","830","830","830","0.040313720703125","0.040313720703125","0.040313720703125","830","830","830","0.034192923456430435","0.034192923456430435","0.034192923456430435","830","830","830","0.037696123123168945","0.037696123123168945","0.037696123123168945","830","830","830","0.04202040657401085","0.04202040657401085","0.04202040657401085","692","692","692","0.033844929188489914","0.033844929188489914","0.033844929188489914","830","830","830","0.038387905806303024","0.038387905806303024","0.038387905806303024","830","830","830","0.047511305660009384","0.047511305660009384","0.047511305660009384"
"138","697","697","697","0.05417060852050781","0.05417060852050781","0.05417060852050781","836","836","836","0.03930087387561798","0.03930087387561798","0.03930087387561798","836","836","836","0.049163129180669785","0.049163129180669785","0.049163129180669785","836","836","836","0.057194873690605164","0.057194873690605164","0.057194873690605164","836","836","836","0.06411971151828766","0.06411971151828766","0.06411971151828766","697","697","697","0.07283729314804077","0.07283729314804077","0.07283729314804077","836","836","836","0.04679630324244499","0.04679630324244499","0.04679630324244499","836","836","836","0.037717051804065704","0.037717051804065704","0.037717051804065704"
"139","702","702","702","0.038736749440431595","0.038736749440431595","0.038736749440431595","842","842","842","0.041261300444602966","0.041261300444602966","0.041261300444602966","842","842","842","0.05560796707868576","0.05560796707868576","0.05560796707868576","842","842","842","0.039446935057640076","0.039446935057640076","0.039446935057640076","842","842","842","0.04142465442419052","0.04142465442419052","0.04142465442419052","702","702","702","0.04637064412236214","0.04637064412236214","0.04637064412236214","842","842","842","0.04171869158744812","0.04171869158744812","0.04171869158744812","842","842","842","0.06347085535526276","0.06347085535526276","0.06347085535526276"
"140","707","707","707","0.036618784070014954","0.036618784070014954","0.036618784070014954","848","848","848","0.0400836281478405","0.0400836281478405","0.0400836281478405","848","848","848","0.03918830677866936","0.03918830677866936","0.03918830677866936","848","848","848","0.05116800591349602","0.05116800591349602","0.05116800591349602","848","848","848","0.04053967073559761","0.04053967073559761","0.04053967073559761","707","707","707","0.0525067113339901","0.0525067113339901","0.0525067113339901","848","848","848","0.03885580599308014","0.03885580599308014","0.03885580599308014","848","848","848","0.04911000281572342","0.04911000281572342","0.04911000281572342"
"141","712","712","712","0.03835735842585564","0.03835735842585564","0.03835735842585564","854","854","854","0.04597385227680206","0.04597385227680206","0.04597385227680206","854","854","854","0.04440716654062271","0.04440716654062271","0.04440716654062271","854","854","854","0.04546075314283371","0.04546075314283371","0.04546075314283371","854","854","854","0.05279764160513878","0.05279764160513878","0.05279764160513878","712","712","712","0.049380283802747726","0.049380283802747726","0.049380283802747726","854","854","854","0.03419094905257225","0.03419094905257225","0.03419094905257225","854","854","854","0.04226461425423622","0.04226461425423622","0.04226461425423622"
"142","717","717","717","0.05173107981681824","0.05173107981681824","0.05173107981681824","860","860","860","0.03796683996915817","0.03796683996915817","0.03796683996915817","860","860","860","0.04098856449127197","0.04098856449127197","0.04098856449127197","860","860","860","0.03513108193874359","0.03513108193874359","0.03513108193874359","860","860","860","0.03421701118350029","0.03421701118350029","0.03421701118350029","717","717","717","0.0548565536737442","0.0548565536737442","0.0548565536737442","860","860","860","0.032855235040187836","0.032855235040187836","0.032855235040187836","860","860","860","0.021496014669537544","0.021496014669537544","0.021496014669537544"
"143","722","722","722","0.04622235521674156","0.04622235521674156","0.04622235521674156","866","866","866","0.04202364757657051","0.04202364757657051","0.04202364757657051","866","866","866","0.04330085590481758","0.04330085590481758","0.04330085590481758","866","866","866","0.03500102460384369","0.03500102460384369","0.03500102460384369","866","866","866","0.05125807225704193","0.05125807225704193","0.05125807225704193","722","722","722","0.042753513902425766","0.042753513902425766","0.042753513902425766","866","866","866","0.03333260118961334","0.03333260118961334","0.03333260118961334","866","866","866","0.0381510928273201","0.0381510928273201","0.0381510928273201"
"144","727","727","727","0.03670128062367439","0.03670128062367439","0.03670128062367439","872","872","872","0.053702276200056076","0.053702276200056076","0.053702276200056076","872","872","872","0.05337955430150032","0.05337955430150032","0.05337955430150032","872","872","872","0.06067061424255371","0.06067061424255371","0.06067061424255371","872","872","872","0.06997498124837875","0.06997498124837875","0.06997498124837875","727","727","727","0.054045360535383224","0.054045360535383224","0.054045360535383224","872","872","872","0.04855336621403694","0.04855336621403694","0.04855336621403694","872","872","872","0.06025247275829315","0.06025247275829315","0.06025247275829315"
"145","732","732","732","0.03098374791443348","0.03098374791443348","0.03098374791443348","878","878","878","0.023444319143891335","0.023444319143891335","0.023444319143891335","878","878","878","0.037972766906023026","0.037972766906023026","0.037972766906023026","878","878","878","0.036172181367874146","0.036172181367874146","0.036172181367874146","878","878","878","0.045503243803977966","0.045503243803977966","0.045503243803977966","732","732","732","0.04396579787135124","0.04396579787135124","0.04396579787135124","878","878","878","0.046256739646196365","0.046256739646196365","0.046256739646196365","878","878","878","0.04646407812833786","0.04646407812833786","0.04646407812833786"
"146","737","737","737","0.054149139672517776","0.054149139672517776","0.054149139672517776","884","884","884","0.046302903443574905","0.046302903443574905","0.046302903443574905","884","884","884","0.04622705280780792","0.04622705280780792","0.04622705280780792","884","884","884","0.04936254024505615","0.04936254024505615","0.04936254024505615","884","884","884","0.05552733689546585","0.05552733689546585","0.05552733689546585","737","737","737","0.0386798232793808","0.0386798232793808","0.0386798232793808","884","884","884","0.04718243330717087","0.04718243330717087","0.04718243330717087","884","884","884","0.04964051768183708","0.04964051768183708","0.04964051768183708"
"147","742","742","742","0.04003005474805832","0.04003005474805832","0.04003005474805832","890","890","890","0.050034474581480026","0.050034474581480026","0.050034474581480026","890","890","890","0.034707434475421906","0.034707434475421906","0.034707434475421906","890","890","890","0.05466897785663605","0.05466897785663605","0.05466897785663605","890","890","890","0.04507815092802048","0.04507815092802048","0.04507815092802048","742","742","742","0.05592694133520126","0.05592694133520126","0.05592694133520126","890","890","890","0.0403297133743763","0.0403297133743763","0.0403297133743763","890","890","890","0.049825359135866165","0.049825359135866165","0.049825359135866165"
"148","747","747","747","0.034452829509973526","0.034452829509973526","0.034452829509973526","896","896","896","0.05037610977888107","0.05037610977888107","0.05037610977888107","896","896","896","0.05285271629691124","0.05285271629691124","0.05285271629691124","896","896","896","0.04145325720310211","0.04145325720310211","0.04145325720310211","896","896","896","0.06188073009252548","0.06188073009252548","0.06188073009252548","747","747","747","0.04937237128615379","0.04937237128615379","0.04937237128615379","896","896","896","0.03658398613333702","0.03658398613333702","0.03658398613333702","896","896","896","0.06995225697755814","0.06995225697755814","0.06995225697755814"
"149","752","752","752","0.054001472890377045","0.054001472890377045","0.054001472890377045","902","902","902","0.08153816312551498","0.08153816312551498","0.08153816312551498","902","902","902","0.09667867422103882","0.09667867422103882","0.09667867422103882","902","902","902","0.08627348393201828","0.08627348393201828","0.08627348393201828","902","902","902","0.07291751354932785","0.07291751354932785","0.07291751354932785","752","752","752","0.09799594432115555","0.09799594432115555","0.09799594432115555","902","902","902","0.07976442575454712","0.07976442575454712","0.07976442575454712","902","902","902","0.07214038074016571","0.07214038074016571","0.07214038074016571"
"150","757","757","757","0.05839898809790611","0.05839898809790611","0.05839898809790611","908","908","908","0.08745915442705154","0.08745915442705154","0.08745915442705154","908","908","908","0.07481368631124496","0.07481368631124496","0.07481368631124496","908","908","908","0.09848357737064362","0.09848357737064362","0.09848357737064362","908","908","908","0.0710718110203743","0.0710718110203743","0.0710718110203743","757","757","757","0.07879168540239334","0.07879168540239334","0.07879168540239334","908","908","908","0.09054385870695114","0.09054385870695114","0.09054385870695114","908","908","908","0.06821548938751221","0.06821548938751221","0.06821548938751221"
"151","762","762","762","0.07015763968229294","0.07015763968229294","0.07015763968229294","914","914","914","0.0752498060464859","0.0752498060464859","0.0752498060464859","914","914","914","0.08420107513666153","0.08420107513666153","0.08420107513666153","914","914","914","0.08646022528409958","0.08646022528409958","0.08646022528409958","914","914","914","0.09742658585309982","0.09742658585309982","0.09742658585309982","762","762","762","0.07704278826713562","0.07704278826713562","0.07704278826713562","914","914","914","0.08599381893873215","0.08599381893873215","0.08599381893873215","914","914","914","0.09064430743455887","0.09064430743455887","0.09064430743455887"
"152","767","767","767","0.09441131353378296","0.09441131353378296","0.09441131353378296","920","920","920","0.08163788914680481","0.08163788914680481","0.08163788914680481","920","920","920","0.06789093464612961","0.06789093464612961","0.06789093464612961","920","920","920","0.07160406559705734","0.07160406559705734","0.07160406559705734","920","920","920","0.07813041657209396","0.07813041657209396","0.07813041657209396","767","767","767","0.08454354852437973","0.08454354852437973","0.08454354852437973","920","920","920","0.08704448491334915","0.08704448491334915","0.08704448491334915","920","920","920","0.08463956415653229","0.08463956415653229","0.08463956415653229"
"153","772","772","772","0.062480613589286804","0.062480613589286804","0.062480613589286804","926","926","926","0.07508915662765503","0.07508915662765503","0.07508915662765503","926","926","926","0.086857371032238","0.086857371032238","0.086857371032238","926","926","926","0.08669260144233704","0.08669260144233704","0.08669260144233704","926","926","926","0.08575882762670517","0.08575882762670517","0.08575882762670517","772","772","772","0.10628048330545425","0.10628048330545425","0.10628048330545425","926","926","926","0.05748749151825905","0.05748749151825905","0.05748749151825905","926","926","926","0.07840895652770996","0.07840895652770996","0.07840895652770996"
"154","777","777","777","0.06720341742038727","0.06720341742038727","0.06720341742038727","932","932","932","0.07959384471178055","0.07959384471178055","0.07959384471178055","932","932","932","0.08867193013429642","0.08867193013429642","0.08867193013429642","932","932","932","0.06412646919488907","0.06412646919488907","0.06412646919488907","932","932","932","0.09116288274526596","0.09116288274526596","0.09116288274526596","777","777","777","0.06329941004514694","0.06329941004514694","0.06329941004514694","932","932","932","0.06221826747059822","0.06221826747059822","0.06221826747059822","932","932","932","0.07755178213119507","0.07755178213119507","0.07755178213119507"
"155","782","782","782","0.07759327441453934","0.07759327441453934","0.07759327441453934","938","938","938","0.10278107225894928","0.10278107225894928","0.10278107225894928","938","938","938","0.09843537956476212","0.09843537956476212","0.09843537956476212","938","938","938","0.07265980541706085","0.07265980541706085","0.07265980541706085","938","938","938","0.08777143061161041","0.08777143061161041","0.08777143061161041","782","782","782","0.06477758288383484","0.06477758288383484","0.06477758288383484","938","938","938","0.0768694207072258","0.0768694207072258","0.0768694207072258","938","938","938","0.0812309980392456","0.0812309980392456","0.0812309980392456"
"156","787","787","787","0.0801645815372467","0.0801645815372467","0.0801645815372467","944","944","944","0.07751088589429855","0.07751088589429855","0.07751088589429855","944","944","944","0.07711391896009445","0.07711391896009445","0.07711391896009445","944","944","944","0.07296574115753174","0.07296574115753174","0.07296574115753174","944","944","944","0.09064382314682007","0.09064382314682007","0.09064382314682007","787","787","787","0.09063888341188431","0.09063888341188431","0.09063888341188431","944","944","944","0.08587289601564407","0.08587289601564407","0.08587289601564407","944","944","944","0.05935828015208244","0.05935828015208244","0.05935828015208244"
"157","792","792","792","0.07626209408044815","0.07626209408044815","0.07626209408044815","950","950","950","0.09064032137393951","0.09064032137393951","0.09064032137393951","950","950","950","0.08621785789728165","0.08621785789728165","0.08621785789728165","950","950","950","0.07614517211914062","0.07614517211914062","0.07614517211914062","950","950","950","0.06911273300647736","0.06911273300647736","0.06911273300647736","792","792","792","0.08097129315137863","0.08097129315137863","0.08097129315137863","950","950","950","0.08522405475378036","0.08522405475378036","0.08522405475378036","950","950","950","0.06464707851409912","0.06464707851409912","0.06464707851409912"
