"Evaluate/step_episode","rl_filter_mlp_2025-12-07_21-13-48 - Evaluate/EpOverCost","rl_filter_mlp_2025-12-07_21-13-48 - Evaluate/EpOverCost__MIN","rl_filter_mlp_2025-12-07_21-13-48 - Evaluate/EpOverCost__MAX","rl_filter_mlp_2025-12-07_21-13-48 - _step","rl_filter_mlp_2025-12-07_21-13-48 - _step__MIN","rl_filter_mlp_2025-12-07_21-13-48 - _step__MAX","rl_filter_no_dueling_2025-11-29_18-11-35 - Evaluate/EpOverCost","rl_filter_no_dueling_2025-11-29_18-11-35 - Evaluate/EpOverCost__MIN","rl_filter_no_dueling_2025-11-29_18-11-35 - Evaluate/EpOverCost__MAX","rl_filter_no_dueling_2025-11-29_18-11-35 - _step","rl_filter_no_dueling_2025-11-29_18-11-35 - _step__MIN","rl_filter_no_dueling_2025-11-29_18-11-35 - _step__MAX","rl_filter_selfattn_2025-11-26_16-56-20 - Evaluate/EpOverCost","rl_filter_selfattn_2025-11-26_16-56-20 - Evaluate/EpOverCost__MIN","rl_filter_selfattn_2025-11-26_16-56-20 - Evaluate/EpOverCost__MAX","rl_filter_selfattn_2025-11-26_16-56-20 - _step","rl_filter_selfattn_2025-11-26_16-56-20 - _step__MIN","rl_filter_selfattn_2025-11-26_16-56-20 - _step__MAX","rl_filter_no_noisy_2025-11-25_15-04-29 - Evaluate/EpOverCost","rl_filter_no_noisy_2025-11-25_15-04-29 - Evaluate/EpOverCost__MIN","rl_filter_no_noisy_2025-11-25_15-04-29 - Evaluate/EpOverCost__MAX","rl_filter_no_noisy_2025-11-25_15-04-29 - _step","rl_filter_no_noisy_2025-11-25_15-04-29 - _step__MIN","rl_filter_no_noisy_2025-11-25_15-04-29 - _step__MAX","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpOverCost","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpOverCost__MIN","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpOverCost__MAX","4070_rl_filter_2025-07-20_12-17-12 - _step","4070_rl_filter_2025-07-20_12-17-12 - _step__MIN","4070_rl_filter_2025-07-20_12-17-12 - _step__MAX"
"347","0","0","0","7148","7148","7148","0","0","0","41767","41767","41767","0","0","0","41866","41866","41866","0","0","0","41645","41645","41645","0","0","0","41686","41686","41686"
"348","0","0","0","7152","7152","7152","0","0","0","41771","41771","41771","0","0","0","41870","41870","41870","0","0","0","41649","41649","41649","0","0","0","41690","41690","41690"
"349","0","0","0","7156","7156","7156","0","0","0","41775","41775","41775","0","0","0","41874","41874","41874","0","0","0","41653","41653","41653","0","0","0","41694","41694","41694"
"350","0","0","0","7160","7160","7160","0","0","0","41779","41779","41779","0","0","0","41878","41878","41878","0","0","0","41657","41657","41657","0","0","0","41698","41698","41698"
"351","0","0","0","7310","7310","7310","0","0","0","42815","42815","42815","0","0","0","42915","42915","42915","0","0","0","42693","42693","42693","0","0","0","42744","42744","42744"
"352","0","0","0","7314","7314","7314","0","0","0","42819","42819","42819","0","0","0","42919","42919","42919","0","0","0","42697","42697","42697","0","0","0","42748","42748","42748"
"353","0","0","0","7318","7318","7318","0","0","0","42823","42823","42823","0","0","0","42923","42923","42923","0","0","0","42701","42701","42701","0","0","0","42752","42752","42752"
"354","0","0","0","7322","7322","7322","0","0","0","42827","42827","42827","0","0","0","42927","42927","42927","0","0","0","42705","42705","42705","0","0","0","42756","42756","42756"
"355","0","0","0","7326","7326","7326","0","0","0","42831","42831","42831","0","0","0","42931","42931","42931","0","0","0","42709","42709","42709","0","0","0","42760","42760","42760"
"356","0","0","0","7330","7330","7330","0","0","0","42835","42835","42835","0","0","0","42935","42935","42935","0","0","0","42713","42713","42713","0","0","0","42764","42764","42764"
"357","0","0","0","7334","7334","7334","0","0","0","42839","42839","42839","0","0","0","42939","42939","42939","0","0","0","42717","42717","42717","0","0","0","42768","42768","42768"
"358","0","0","0","7338","7338","7338","0","0","0","42843","42843","42843","0","0","0","42943","42943","42943","0","0","0","42721","42721","42721","0","0","0","42772","42772","42772"
"359","0","0","0","7342","7342","7342","0","0","0","42847","42847","42847","0","0","0","42947","42947","42947","0","0","0","42725","42725","42725","0","0","0","42776","42776","42776"
"360","0","0","0","7492","7492","7492","0","0","0","43889","43889","43889","0","0","0","43984","43984","43984","0","0","0","43762","43762","43762","0","0","0","43818","43818","43818"
"361","0","0","0","7496","7496","7496","0","0","0","43893","43893","43893","0","0","0","43988","43988","43988","0","0","0","43766","43766","43766","0","0","0","43822","43822","43822"
"362","0","0","0","7500","7500","7500","0","0","0","43897","43897","43897","0","0","0","43992","43992","43992","0","0","0","43770","43770","43770","0","0","0","43826","43826","43826"
"363","0","0","0","7504","7504","7504","0","0","0","43901","43901","43901","0","0","0","43996","43996","43996","0","0","0","43774","43774","43774","0","0","0","43830","43830","43830"
"364","0","0","0","7508","7508","7508","0","0","0","43905","43905","43905","0","0","0","44000","44000","44000","0","0","0","43778","43778","43778","0","0","0","43834","43834","43834"
"365","0","0","0","7512","7512","7512","0","0","0","43909","43909","43909","0","0","0","44004","44004","44004","0","0","0","43782","43782","43782","0","0","0","43838","43838","43838"
"366","0","0","0","7516","7516","7516","0","0","0","43913","43913","43913","0","0","0","44008","44008","44008","0","0","0","43786","43786","43786","0","0","0","43842","43842","43842"
"367","0","0","0","7520","7520","7520","0","0","0","43917","43917","43917","0","0","0","44012","44012","44012","0","0","0","43790","43790","43790","0","0","0","43846","43846","43846"
"368","0","0","0","7524","7524","7524","0","0","0","43921","43921","43921","0","0","0","44016","44016","44016","0","0","0","43794","43794","43794","0","0","0","43850","43850","43850"
"369","0","0","0","7680","7680","7680","0","0","0","44957","44957","44957","0","0","0","45054","45054","45054","0","0","0","44830","44830","44830","0","0","0","44886","44886","44886"
"370","0","0","0","7684","7684","7684","0","0","0","44961","44961","44961","0","0","0","45058","45058","45058","0","0","0","44834","44834","44834","0","0","0","44890","44890","44890"
"371","0","0","0","7688","7688","7688","0","0","0","44965","44965","44965","0","0","0","45062","45062","45062","0","0","0","44838","44838","44838","0","0","0","44894","44894","44894"
"372","0","0","0","7692","7692","7692","0","0","0","44969","44969","44969","0","0","0","45066","45066","45066","0","0","0","44842","44842","44842","0","0","0","44898","44898","44898"
"373","0","0","0","7696","7696","7696","0","0","0","44973","44973","44973","0","0","0","45070","45070","45070","0","0","0","44846","44846","44846","0","0","0","44902","44902","44902"
"374","0","0","0","7700","7700","7700","0","0","0","44977","44977","44977","0","0","0","45074","45074","45074","0","0","0","44850","44850","44850","0","0","0","44906","44906","44906"
"375","0","0","0","7704","7704","7704","0","0","0","44981","44981","44981","0","0","0","45078","45078","45078","0","0","0","44854","44854","44854","0","0","0","44910","44910","44910"
"376","0","0","0","7708","7708","7708","0","0","0","44985","44985","44985","0","0","0","45082","45082","45082","0","0","0","44858","44858","44858","0","0","0","44914","44914","44914"
"377","0","0","0","7712","7712","7712","0","0","0","44989","44989","44989","0","0","0","45086","45086","45086","0","0","0","44862","44862","44862","0","0","0","44918","44918","44918"
"378","0","0","0","7877","7877","7877","0","0","0","46025","46025","46025","0","0","0","46128","46128","46128","0","0","0","45903","45903","45903","0","0","0","45954","45954","45954"
"379","0","0","0","7881","7881","7881","0","0","0","46029","46029","46029","0","0","0","46132","46132","46132","0","0","0","45907","45907","45907","0","0","0","45958","45958","45958"
"380","0","0","0","7885","7885","7885","0","0","0","46033","46033","46033","0","0","0","46136","46136","46136","0","0","0","45911","45911","45911","0","0","0","45962","45962","45962"
"381","0","0","0","7889","7889","7889","0","0","0","46037","46037","46037","0","0","0","46140","46140","46140","0","0","0","45915","45915","45915","0","0","0","45966","45966","45966"
"382","0","0","0","7893","7893","7893","0","0","0","46041","46041","46041","0","0","0","46144","46144","46144","0","0","0","45919","45919","45919","0","0","0","45970","45970","45970"
"383","0","0","0","7897","7897","7897","0","0","0","46045","46045","46045","0","0","0","46148","46148","46148","0","0","0","45923","45923","45923","0","0","0","45974","45974","45974"
"384","0","0","0","7901","7901","7901","0","0","0","46049","46049","46049","0","0","0","46152","46152","46152","0","0","0","45927","45927","45927","0","0","0","45978","45978","45978"
"385","0","0","0","7905","7905","7905","0","0","0","46053","46053","46053","0","0","0","46156","46156","46156","0","0","0","45931","45931","45931","0","0","0","45982","45982","45982"
"386","0","0","0","7909","7909","7909","0","0","0","46057","46057","46057","0","0","0","46160","46160","46160","0","0","0","45935","45935","45935","0","0","0","45986","45986","45986"
"387","0","0","0","8062","8062","8062","0","0","0","47094","47094","47094","0","0","0","47202","47202","47202","0","0","0","46972","46972","46972","0","0","0","47033","47033","47033"
"388","0","0","0","8066","8066","8066","0","0","0","47098","47098","47098","0","0","0","47206","47206","47206","0","0","0","46976","46976","46976","0","0","0","47037","47037","47037"
"389","0","0","0","8070","8070","8070","0","0","0","47102","47102","47102","0","0","0","47210","47210","47210","0","0","0","46980","46980","46980","0","0","0","47041","47041","47041"
"390","0","0","0","8074","8074","8074","0","0","0","47106","47106","47106","0","0","0","47214","47214","47214","0","0","0","46984","46984","46984","0","0","0","47045","47045","47045"
"391","0","0","0","8078","8078","8078","0","0","0","47110","47110","47110","0","0","0","47218","47218","47218","0","0","0","46988","46988","46988","0","0","0","47049","47049","47049"
"392","0","0","0","8082","8082","8082","0","0","0","47114","47114","47114","0","0","0","47222","47222","47222","0","0","0","46992","46992","46992","0","0","0","47053","47053","47053"
"393","0","0","0","8086","8086","8086","0","0","0","47118","47118","47118","0","0","0","47226","47226","47226","0","0","0","46996","46996","46996","0","0","0","47057","47057","47057"
"394","0","0","0","8090","8090","8090","0","0","0","47122","47122","47122","0","0","0","47230","47230","47230","0","0","0","47000","47000","47000","0","0","0","47061","47061","47061"
"395","0","0","0","8094","8094","8094","0","0","0","47126","47126","47126","0","0","0","47234","47234","47234","0","0","0","47004","47004","47004","0","0","0","47065","47065","47065"
"396","0","0","0","8253","8253","8253","0","0","0","48162","48162","48162","0","0","0","48276","48276","48276","0","0","0","48039","48039","48039","0","0","0","48101","48101","48101"
"397","0","0","0","8257","8257","8257","0","0","0","48166","48166","48166","0","0","0","48280","48280","48280","0","0","0","48043","48043","48043","0","0","0","48105","48105","48105"
"398","0","0","0","8261","8261","8261","0","0","0","48170","48170","48170","0","0","0","48284","48284","48284","0","0","0","48047","48047","48047","0","0","0","48109","48109","48109"
"399","0","0","0","8265","8265","8265","0","0","0","48174","48174","48174","0","0","0","48288","48288","48288","0","0","0","48051","48051","48051","0","0","0","48113","48113","48113"
"400","0","0","0","8269","8269","8269","0","0","0","48178","48178","48178","0","0","0","48292","48292","48292","0","0","0","48055","48055","48055","0","0","0","48117","48117","48117"
"401","0","0","0","8273","8273","8273","0","0","0","48182","48182","48182","0","0","0","48296","48296","48296","0","0","0","48059","48059","48059","0","0","0","48121","48121","48121"
"402","0","0","0","8277","8277","8277","0","0","0","48186","48186","48186","0","0","0","48300","48300","48300","0","0","0","48063","48063","48063","0","0","0","48125","48125","48125"
"403","0","0","0","8281","8281","8281","0","0","0","48190","48190","48190","0","0","0","48304","48304","48304","0","0","0","48067","48067","48067","0","0","0","48129","48129","48129"
"404","0","0","0","8285","8285","8285","0","0","0","48194","48194","48194","0","0","0","48308","48308","48308","0","0","0","48071","48071","48071","0","0","0","48133","48133","48133"
"405","0","0","0","8449","8449","8449","0","0","0","49230","49230","49230","0","0","0","49345","49345","49345","0","0","0","49112","49112","49112","0","0","0","49168","49168","49168"
"406","0","0","0","8453","8453","8453","0","0","0","49234","49234","49234","0","0","0","49349","49349","49349","0","0","0","49116","49116","49116","0","0","0","49172","49172","49172"
"407","0","0","0","8457","8457","8457","0","0","0","49238","49238","49238","0","0","0","49353","49353","49353","0","0","0","49120","49120","49120","0","0","0","49176","49176","49176"
"408","0","0","0","8461","8461","8461","0","0","0","49242","49242","49242","0","0","0","49357","49357","49357","0","0","0","49124","49124","49124","0","0","0","49180","49180","49180"
"409","0","0","0","8465","8465","8465","0","0","0","49246","49246","49246","0","0","0","49361","49361","49361","0","0","0","49128","49128","49128","0","0","0","49184","49184","49184"
"410","0","0","0","8469","8469","8469","0","0","0","49250","49250","49250","0","0","0","49365","49365","49365","0","0","0","49132","49132","49132","0","0","0","49188","49188","49188"
"411","0","0","0","8473","8473","8473","0","0","0","49254","49254","49254","0","0","0","49369","49369","49369","0","0","0","49136","49136","49136","0","0","0","49192","49192","49192"
"412","0","0","0","8477","8477","8477","0","0","0","49258","49258","49258","0","0","0","49373","49373","49373","0","0","0","49140","49140","49140","0","0","0","49196","49196","49196"
"413","0","0","0","8481","8481","8481","0","0","0","49262","49262","49262","0","0","0","49377","49377","49377","0","0","0","49144","49144","49144","0","0","0","49200","49200","49200"
"414","0","0","0","8654","8654","8654","0","0","0","50298","50298","50298","0","0","0","50413","50413","50413","0","0","0","50184","50184","50184","0","0","0","50237","50237","50237"
"415","0","0","0","8658","8658","8658","0","0","0","50302","50302","50302","0","0","0","50417","50417","50417","0","0","0","50188","50188","50188","0","0","0","50241","50241","50241"
"416","0","0","0","8662","8662","8662","0","0","0","50306","50306","50306","0","0","0","50421","50421","50421","0","0","0","50192","50192","50192","0","0","0","50245","50245","50245"
"417","0","0","0","8666","8666","8666","0","0","0","50310","50310","50310","0","0","0","50425","50425","50425","0","0","0","50196","50196","50196","0","0","0","50249","50249","50249"
"418","0","0","0","8670","8670","8670","0","0","0","50314","50314","50314","0","0","0","50429","50429","50429","0","0","0","50200","50200","50200","0","0","0","50253","50253","50253"
"419","0","0","0","8674","8674","8674","0","0","0","50318","50318","50318","0","0","0","50433","50433","50433","0","0","0","50204","50204","50204","0","0","0","50257","50257","50257"
"420","0","0","0","8678","8678","8678","0","0","0","50322","50322","50322","0","0","0","50437","50437","50437","0","0","0","50208","50208","50208","0","0","0","50261","50261","50261"
"421","0","0","0","8682","8682","8682","0","0","0","50326","50326","50326","0","0","0","50441","50441","50441","0","0","0","50212","50212","50212","0","0","0","50265","50265","50265"
"422","0","0","0","8686","8686","8686","0","0","0","50330","50330","50330","0","0","0","50445","50445","50445","0","0","0","50216","50216","50216","0","0","0","50269","50269","50269"
"423","0","0","0","8847","8847","8847","0","0","0","51372","51372","51372","0","0","0","51482","51482","51482","0","0","0","51252","51252","51252","0","0","0","51305","51305","51305"
"424","0","0","0","8851","8851","8851","0","0","0","51376","51376","51376","0","0","0","51486","51486","51486","0","0","0","51256","51256","51256","0","0","0","51309","51309","51309"
"425","0","0","0","8855","8855","8855","0","0","0","51380","51380","51380","0","0","0","51490","51490","51490","0","0","0","51260","51260","51260","0","0","0","51313","51313","51313"
"426","0","0","0","8859","8859","8859","0","0","0","51384","51384","51384","0","0","0","51494","51494","51494","0","0","0","51264","51264","51264","0","0","0","51317","51317","51317"
"427","0","0","0","8863","8863","8863","0","0","0","51388","51388","51388","0","0","0","51498","51498","51498","0","0","0","51268","51268","51268","0","0","0","51321","51321","51321"
"428","0","0","0","8867","8867","8867","0","0","0","51392","51392","51392","0","0","0","51502","51502","51502","0","0","0","51272","51272","51272","0","0","0","51325","51325","51325"
"429","0","0","0","8871","8871","8871","0","0","0","51396","51396","51396","0","0","0","51506","51506","51506","0","0","0","51276","51276","51276","0","0","0","51329","51329","51329"
"430","0","0","0","8875","8875","8875","0","0","0","51400","51400","51400","0","0","0","51510","51510","51510","0","0","0","51280","51280","51280","0","0","0","51333","51333","51333"
"431","0","0","0","8879","8879","8879","0","0","0","51404","51404","51404","0","0","0","51514","51514","51514","0","0","0","51284","51284","51284","0","0","0","51337","51337","51337"
"432","0","0","0","9028","9028","9028","0","0","0","52441","52441","52441","0","0","0","52551","52551","52551","0","0","0","52321","52321","52321","0","0","0","52374","52374","52374"
"433","0","0","0","9032","9032","9032","0","0","0","52445","52445","52445","0","0","0","52555","52555","52555","0","0","0","52325","52325","52325","0","0","0","52378","52378","52378"
"434","0","0","0","9036","9036","9036","0","0","0","52449","52449","52449","0","0","0","52559","52559","52559","0","0","0","52329","52329","52329","0","0","0","52382","52382","52382"
"435","0","0","0","9040","9040","9040","0","0","0","52453","52453","52453","0","0","0","52563","52563","52563","0","0","0","52333","52333","52333","0","0","0","52386","52386","52386"
"436","0","0","0","9044","9044","9044","0","0","0","52457","52457","52457","0","0","0","52567","52567","52567","0","0","0","52337","52337","52337","0","0","0","52390","52390","52390"
"437","0","0","0","9048","9048","9048","0","0","0","52461","52461","52461","0","0","0","52571","52571","52571","0","0","0","52341","52341","52341","0","0","0","52394","52394","52394"
"438","0","0","0","9052","9052","9052","0","0","0","52465","52465","52465","0","0","0","52575","52575","52575","0","0","0","52345","52345","52345","0","0","0","52398","52398","52398"
"439","0","0","0","9056","9056","9056","0","0","0","52469","52469","52469","0","0","0","52579","52579","52579","0","0","0","52349","52349","52349","0","0","0","52402","52402","52402"
"440","0","0","0","9060","9060","9060","0","0","0","52473","52473","52473","0","0","0","52583","52583","52583","0","0","0","52353","52353","52353","0","0","0","52406","52406","52406"
"441","0","0","0","9210","9210","9210","0","0","0","53509","53509","53509","0","0","0","53620","53620","53620","0","0","0","53389","53389","53389","0","0","0","53442","53442","53442"
"442","0","0","0","9214","9214","9214","0","0","0","53513","53513","53513","0","0","0","53624","53624","53624","0","0","0","53393","53393","53393","0","0","0","53446","53446","53446"
"443","0","0","0","9218","9218","9218","0","0","0","53517","53517","53517","0","0","0","53628","53628","53628","0","0","0","53397","53397","53397","0","0","0","53450","53450","53450"
"444","0","0","0","9222","9222","9222","0","0","0","53521","53521","53521","0","0","0","53632","53632","53632","0","0","0","53401","53401","53401","0","0","0","53454","53454","53454"
"445","0","0","0","9226","9226","9226","0","0","0","53525","53525","53525","0","0","0","53636","53636","53636","0","0","0","53405","53405","53405","0","0","0","53458","53458","53458"
"446","0","0","0","9230","9230","9230","0","0","0","53529","53529","53529","0","0","0","53640","53640","53640","0","0","0","53409","53409","53409","0","0","0","53462","53462","53462"
"447","0","0","0","9234","9234","9234","0","0","0","53533","53533","53533","0","0","0","53644","53644","53644","0","0","0","53413","53413","53413","0","0","0","53466","53466","53466"
"448","0","0","0","9238","9238","9238","0","0","0","53537","53537","53537","0","0","0","53648","53648","53648","0","0","0","53417","53417","53417","0","0","0","53470","53470","53470"
"449","0","0","0","9242","9242","9242","0","0","0","53541","53541","53541","0","0","0","53652","53652","53652","0","0","0","53421","53421","53421","0","0","0","53474","53474","53474"
"450","0","0","0","9404","9404","9404","0","0","0","54577","54577","54577","0","0","0","54694","54694","54694","0","0","0","54457","54457","54457","0","0","0","54510","54510","54510"
"451","0","0","0","9408","9408","9408","0","0","0","54581","54581","54581","0","0","0","54698","54698","54698","0","0","0","54461","54461","54461","0","0","0","54514","54514","54514"
"452","0","0","0","9412","9412","9412","0","0","0","54585","54585","54585","0","0","0","54702","54702","54702","0","0","0","54465","54465","54465","0","0","0","54518","54518","54518"
"453","0","0","0","9416","9416","9416","0","0","0","54589","54589","54589","0","0","0","54706","54706","54706","0","0","0","54469","54469","54469","0","0","0","54522","54522","54522"
"454","0","0","0","9420","9420","9420","0","0","0","54593","54593","54593","0","0","0","54710","54710","54710","0","0","0","54473","54473","54473","0","0","0","54526","54526","54526"
"455","0","0","0","9424","9424","9424","0","0","0","54597","54597","54597","0","0","0","54714","54714","54714","0","0","0","54477","54477","54477","0","0","0","54530","54530","54530"
"456","0","0","0","9428","9428","9428","0","0","0","54601","54601","54601","0","0","0","54718","54718","54718","0","0","0","54481","54481","54481","0","0","0","54534","54534","54534"
"457","0","0","0","9432","9432","9432","0","0","0","54605","54605","54605","0","0","0","54722","54722","54722","0","0","0","54485","54485","54485","0","0","0","54538","54538","54538"
"458","0","0","0","9436","9436","9436","0","0","0","54609","54609","54609","0","0","0","54726","54726","54726","0","0","0","54489","54489","54489","0","0","0","54542","54542","54542"
"459","0","0","0","9602","9602","9602","0","0","0","55650","55650","55650","0","0","0","55762","55762","55762","0","0","0","55525","55525","55525","0","0","0","55578","55578","55578"
"460","0","0","0","9606","9606","9606","0","0","0","55654","55654","55654","0","0","0","55766","55766","55766","0","0","0","55529","55529","55529","0","0","0","55582","55582","55582"
"461","0","0","0","9610","9610","9610","0","0","0","55658","55658","55658","0","0","0","55770","55770","55770","0","0","0","55533","55533","55533","0","0","0","55586","55586","55586"
"462","0","0","0","9614","9614","9614","0","0","0","55662","55662","55662","0","0","0","55774","55774","55774","0","0","0","55537","55537","55537","0","0","0","55590","55590","55590"
"463","0","0","0","9618","9618","9618","0","0","0","55666","55666","55666","0","0","0","55778","55778","55778","0","0","0","55541","55541","55541","0","0","0","55594","55594","55594"
"464","0","0","0","9622","9622","9622","0","0","0","55670","55670","55670","0","0","0","55782","55782","55782","0","0","0","55545","55545","55545","0","0","0","55598","55598","55598"
"465","0","0","0","9626","9626","9626","0","0","0","55674","55674","55674","0","0","0","55786","55786","55786","0","0","0","55549","55549","55549","0","0","0","55602","55602","55602"
"466","0","0","0","9630","9630","9630","0","0","0","55678","55678","55678","0","0","0","55790","55790","55790","0","0","0","55553","55553","55553","0","0","0","55606","55606","55606"
"467","0","0","0","9634","9634","9634","0","0","0","55682","55682","55682","0","0","0","55794","55794","55794","0","0","0","55557","55557","55557","0","0","0","55610","55610","55610"
"468","0","0","0","9781","9781","9781","0","0","0","56719","56719","56719","0","0","0","56831","56831","56831","0","0","0","56593","56593","56593","0","0","0","56647","56647","56647"
"469","0","0","0","9785","9785","9785","0","0","0","56723","56723","56723","0","0","0","56835","56835","56835","0","0","0","56597","56597","56597","0","0","0","56651","56651","56651"
"470","0","0","0","9789","9789","9789","0","0","0","56727","56727","56727","0","0","0","56839","56839","56839","0","0","0","56601","56601","56601","0","0","0","56655","56655","56655"
"471","0","0","0","9793","9793","9793","0","0","0","56731","56731","56731","0","0","0","56843","56843","56843","0","0","0","56605","56605","56605","0","0","0","56659","56659","56659"
"472","0","0","0","9797","9797","9797","0","0","0","56735","56735","56735","0","0","0","56847","56847","56847","0","0","0","56609","56609","56609","0","0","0","56663","56663","56663"
"473","0","0","0","9801","9801","9801","0","0","0","56739","56739","56739","0","0","0","56851","56851","56851","0","0","0","56613","56613","56613","0","0","0","56667","56667","56667"
"474","0","0","0","9805","9805","9805","0","0","0","56743","56743","56743","0","0","0","56855","56855","56855","0","0","0","56617","56617","56617","0","0","0","56671","56671","56671"
"475","0","0","0","9809","9809","9809","0","0","0","56747","56747","56747","0","0","0","56859","56859","56859","0","0","0","56621","56621","56621","0","0","0","56675","56675","56675"
"476","0","0","0","9813","9813","9813","0","0","0","56751","56751","56751","0","0","0","56863","56863","56863","0","0","0","56625","56625","56625","0","0","0","56679","56679","56679"
"477","0","0","0","9963","9963","9963","0","0","0","57792","57792","57792","0","0","0","57899","57899","57899","0","0","0","57667","57667","57667","0","0","0","57715","57715","57715"
"478","0","0","0","9967","9967","9967","0","0","0","57796","57796","57796","0","0","0","57903","57903","57903","0","0","0","57671","57671","57671","0","0","0","57719","57719","57719"
"479","0","0","0","9971","9971","9971","0","0","0","57800","57800","57800","0","0","0","57907","57907","57907","0","0","0","57675","57675","57675","0","0","0","57723","57723","57723"
"480","0","0","0","9975","9975","9975","5","5","5","57809","57809","57809","0","0","0","57911","57911","57911","0","0","0","57679","57679","57679","0","0","0","57727","57727","57727"
"481","0","0","0","9979","9979","9979","0","0","0","57813","57813","57813","0","0","0","57915","57915","57915","0","0","0","57683","57683","57683","0","0","0","57731","57731","57731"
"482","0","0","0","9983","9983","9983","0","0","0","57817","57817","57817","0","0","0","57919","57919","57919","0","0","0","57687","57687","57687","0","0","0","57735","57735","57735"
"483","0","0","0","9987","9987","9987","0","0","0","57821","57821","57821","0","0","0","57923","57923","57923","0","0","0","57691","57691","57691","0","0","0","57739","57739","57739"
"484","0","0","0","9991","9991","9991","0","0","0","57825","57825","57825","0","0","0","57927","57927","57927","0","0","0","57695","57695","57695","0","0","0","57743","57743","57743"
"485","0","0","0","9995","9995","9995","0","0","0","57829","57829","57829","0","0","0","57931","57931","57931","0","0","0","57699","57699","57699","0","0","0","57747","57747","57747"
"486","0","0","0","10151","10151","10151","0","0","0","58866","58866","58866","0","0","0","58968","58968","58968","0","0","0","58735","58735","58735","0","0","0","58783","58783","58783"
"487","0","0","0","10155","10155","10155","0","0","0","58870","58870","58870","0","0","0","58972","58972","58972","0","0","0","58739","58739","58739","0","0","0","58787","58787","58787"
"488","0","0","0","10159","10159","10159","0","0","0","58874","58874","58874","0","0","0","58976","58976","58976","0","0","0","58743","58743","58743","0","0","0","58791","58791","58791"
"489","0","0","0","10163","10163","10163","0","0","0","58878","58878","58878","0","0","0","58980","58980","58980","0","0","0","58747","58747","58747","0","0","0","58795","58795","58795"
"490","0","0","0","10167","10167","10167","0","0","0","58882","58882","58882","0","0","0","58984","58984","58984","0","0","0","58751","58751","58751","0","0","0","58799","58799","58799"
"491","0","0","0","10171","10171","10171","0","0","0","58886","58886","58886","0","0","0","58988","58988","58988","0","0","0","58755","58755","58755","0","0","0","58803","58803","58803"
"492","0","0","0","10175","10175","10175","0","0","0","58890","58890","58890","0","0","0","58992","58992","58992","0","0","0","58759","58759","58759","0","0","0","58807","58807","58807"
"493","0","0","0","10179","10179","10179","0","0","0","58894","58894","58894","0","0","0","58996","58996","58996","0","0","0","58763","58763","58763","0","0","0","58811","58811","58811"
"494","0","0","0","10183","10183","10183","0","0","0","58898","58898","58898","0","0","0","59000","59000","59000","0","0","0","58767","58767","58767","0","0","0","58815","58815","58815"
"495","0","0","0","10345","10345","10345","0","0","0","59934","59934","59934","0","0","0","60036","60036","60036","0","0","0","59802","59802","59802","0","0","0","59852","59852","59852"
"496","0","0","0","10349","10349","10349","0","0","0","59938","59938","59938","0","0","0","60040","60040","60040","0","0","0","59806","59806","59806","0","0","0","59856","59856","59856"
"497","0","0","0","10353","10353","10353","0","0","0","59942","59942","59942","0","0","0","60044","60044","60044","0","0","0","59810","59810","59810","0","0","0","59860","59860","59860"
"498","0","0","0","10357","10357","10357","0","0","0","59946","59946","59946","0","0","0","60048","60048","60048","0","0","0","59814","59814","59814","0","0","0","59864","59864","59864"
"499","0","0","0","10361","10361","10361","0","0","0","59950","59950","59950","0","0","0","60052","60052","60052","0","0","0","59818","59818","59818","4","4","4","59868","59868","59868"
"500","0","0","0","10365","10365","10365","0","0","0","59954","59954","59954","0","0","0","60056","60056","60056","0","0","0","59822","59822","59822","0","0","0","59872","59872","59872"
"501","0","0","0","10369","10369","10369","0","0","0","59958","59958","59958","0","0","0","60060","60060","60060","0","0","0","59826","59826","59826","0","0","0","59876","59876","59876"
"502","0","0","0","10373","10373","10373","0","0","0","59962","59962","59962","0","0","0","60064","60064","60064","0","0","0","59830","59830","59830","0","0","0","59880","59880","59880"
"503","0","0","0","10377","10377","10377","0","0","0","59966","59966","59966","0","0","0","60068","60068","60068","0","0","0","59834","59834","59834","0","0","0","59884","59884","59884"
"504","0","0","0","10533","10533","10533","0","0","0","61006","61006","61006","0","0","0","61104","61104","61104","0","0","0","60881","60881","60881","0","0","0","60920","60920","60920"
"505","0","0","0","10537","10537","10537","0","0","0","61010","61010","61010","0","0","0","61108","61108","61108","0","0","0","60885","60885","60885","0","0","0","60924","60924","60924"
"506","0","0","0","10541","10541","10541","0","0","0","61014","61014","61014","0","0","0","61112","61112","61112","0","0","0","60889","60889","60889","0","0","0","60928","60928","60928"
"507","0","0","0","10545","10545","10545","0","0","0","61018","61018","61018","0","0","0","61116","61116","61116","0","0","0","60893","60893","60893","0","0","0","60932","60932","60932"
"508","0","0","0","10549","10549","10549","0","0","0","61022","61022","61022","0","0","0","61120","61120","61120","0","0","0","60897","60897","60897","0","0","0","60936","60936","60936"
"509","0","0","0","10553","10553","10553","0","0","0","61026","61026","61026","0","0","0","61124","61124","61124","0","0","0","60901","60901","60901","0","0","0","60940","60940","60940"
