"Evaluate/step_episode","rl_filter_mlp_2025-12-07_21-13-48 - Evaluate/EpEnvLen","rl_filter_mlp_2025-12-07_21-13-48 - Evaluate/EpEnvLen__MIN","rl_filter_mlp_2025-12-07_21-13-48 - Evaluate/EpEnvLen__MAX","rl_filter_mlp_2025-12-07_21-13-48 - _step","rl_filter_mlp_2025-12-07_21-13-48 - _step__MIN","rl_filter_mlp_2025-12-07_21-13-48 - _step__MAX","rl_filter_no_dueling_2025-11-29_18-11-35 - Evaluate/EpEnvLen","rl_filter_no_dueling_2025-11-29_18-11-35 - Evaluate/EpEnvLen__MIN","rl_filter_no_dueling_2025-11-29_18-11-35 - Evaluate/EpEnvLen__MAX","rl_filter_no_dueling_2025-11-29_18-11-35 - _step","rl_filter_no_dueling_2025-11-29_18-11-35 - _step__MIN","rl_filter_no_dueling_2025-11-29_18-11-35 - _step__MAX","rl_filter_selfattn_2025-11-26_16-56-20 - Evaluate/EpEnvLen","rl_filter_selfattn_2025-11-26_16-56-20 - Evaluate/EpEnvLen__MIN","rl_filter_selfattn_2025-11-26_16-56-20 - Evaluate/EpEnvLen__MAX","rl_filter_selfattn_2025-11-26_16-56-20 - _step","rl_filter_selfattn_2025-11-26_16-56-20 - _step__MIN","rl_filter_selfattn_2025-11-26_16-56-20 - _step__MAX","rl_filter_no_noisy_2025-11-25_15-04-29 - Evaluate/EpEnvLen","rl_filter_no_noisy_2025-11-25_15-04-29 - Evaluate/EpEnvLen__MIN","rl_filter_no_noisy_2025-11-25_15-04-29 - Evaluate/EpEnvLen__MAX","rl_filter_no_noisy_2025-11-25_15-04-29 - _step","rl_filter_no_noisy_2025-11-25_15-04-29 - _step__MIN","rl_filter_no_noisy_2025-11-25_15-04-29 - _step__MAX","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpEnvLen","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpEnvLen__MIN","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpEnvLen__MAX","4070_rl_filter_2025-07-20_12-17-12 - _step","4070_rl_filter_2025-07-20_12-17-12 - _step__MIN","4070_rl_filter_2025-07-20_12-17-12 - _step__MAX"
"507","1477","1477","1477","10545","10545","10545","1030","1030","1030","61018","61018","61018","1398","1398","1398","61116","61116","61116","1088","1088","1088","60893","60893","60893","1456","1456","1456","60932","60932","60932"
"508","1256","1256","1256","10549","10549","10549","1077","1077","1077","61022","61022","61022","1197","1197","1197","61120","61120","61120","1171","1171","1171","60897","60897","60897","1185","1185","1185","60936","60936","60936"
"509","1215","1215","1215","10553","10553","10553","1167","1167","1167","61026","61026","61026","1179","1179","1179","61124","61124","61124","1188","1188","1188","60901","60901","60901","1024","1024","1024","60940","60940","60940"
"510","1457","1457","1457","10557","10557","10557","1264","1264","1264","61030","61030","61030","1260","1260","1260","61128","61128","61128","1023","1023","1023","60905","60905","60905","1224","1224","1224","60944","60944","60944"
"511","1218","1218","1218","10561","10561","10561","1100","1100","1100","61034","61034","61034","1144","1144","1144","61132","61132","61132","1114","1114","1114","60909","60909","60909","1130","1130","1130","60948","60948","60948"
"512","1189","1189","1189","10565","10565","10565","1153","1153","1153","61038","61038","61038","1155","1155","1155","61136","61136","61136","1150","1150","1150","60913","60913","60913","1104","1104","1104","60952","60952","60952"
"513","1584","1584","1584","10719","10719","10719","1749","1749","1749","62074","62074","62074","1864","1864","1864","62173","62173","62173","1743","1743","1743","61949","61949","61949","1783","1783","1783","61988","61988","61988"
"514","1589","1589","1589","10723","10723","10723","1690","1690","1690","62078","62078","62078","1475","1475","1475","62177","62177","62177","1717","1717","1717","61953","61953","61953","1542","1542","1542","61992","61992","61992"
"515","1596","1596","1596","10727","10727","10727","1576","1576","1576","62082","62082","62082","1560","1560","1560","62181","62181","62181","1606","1606","1606","61957","61957","61957","1616","1616","1616","61996","61996","61996"
"516","1348","1348","1348","10731","10731","10731","1024","1024","1024","62086","62086","62086","1390","1390","1390","62185","62185","62185","1098","1098","1098","61961","61961","61961","1458","1458","1458","62000","62000","62000"
"517","1219","1219","1219","10735","10735","10735","1211","1211","1211","62090","62090","62090","1214","1214","1214","62189","62189","62189","1120","1120","1120","61965","61965","61965","1101","1101","1101","62004","62004","62004"
"518","1252","1252","1252","10739","10739","10739","1173","1173","1173","62094","62094","62094","1156","1156","1156","62193","62193","62193","1238","1238","1238","61969","61969","61969","1168","1168","1168","62008","62008","62008"
"519","1295","1295","1295","10743","10743","10743","984","984","984","62098","62098","62098","1141","1141","1141","62197","62197","62197","1046","1046","1046","61973","61973","61973","1400","1400","1400","62012","62012","62012"
"520","1138","1138","1138","10747","10747","10747","1121","1121","1121","62102","62102","62102","1109","1109","1109","62201","62201","62201","1133","1133","1133","61977","61977","61977","1129","1129","1129","62016","62016","62016"
"521","1193","1193","1193","10751","10751","10751","1164","1164","1164","62106","62106","62106","1137","1137","1137","62205","62205","62205","1131","1131","1131","61981","61981","61981","1122","1122","1122","62020","62020","62020"
"522","1766","1766","1766","10903","10903","10903","1838","1838","1838","63143","63143","63143","1660","1660","1660","63241","63241","63241","1599","1599","1599","63017","63017","63017","1791","1791","1791","63056","63056","63056"
"523","1556","1556","1556","10907","10907","10907","1629","1629","1629","63147","63147","63147","1568","1568","1568","63245","63245","63245","1581","1581","1581","63021","63021","63021","1521","1521","1521","63060","63060","63060"
"524","1601","1601","1601","10911","10911","10911","1564","1564","1564","63151","63151","63151","1585","1585","1585","63249","63249","63249","1499","1499","1499","63025","63025","63025","1551","1551","1551","63064","63064","63064"
"525","1215","1215","1215","10915","10915","10915","1146","1146","1146","63155","63155","63155","1145","1145","1145","63253","63253","63253","1232","1232","1232","63029","63029","63029","1104","1104","1104","63068","63068","63068"
"526","1240","1240","1240","10919","10919","10919","1196","1196","1196","63159","63159","63159","1188","1188","1188","63257","63257","63257","1187","1187","1187","63033","63033","63033","1158","1158","1158","63072","63072","63072"
"527","1210","1210","1210","10923","10923","10923","1197","1197","1197","63163","63163","63163","1175","1175","1175","63261","63261","63261","1167","1167","1167","63037","63037","63037","1154","1154","1154","63076","63076","63076"
"528","1276","1276","1276","10927","10927","10927","994","994","994","63167","63167","63167","1325","1325","1325","63265","63265","63265","1057","1057","1057","63041","63041","63041","1187","1187","1187","63080","63080","63080"
"529","1143","1143","1143","10931","10931","10931","1120","1120","1120","63171","63171","63171","955","955","955","63269","63269","63269","1140","1140","1140","63045","63045","63045","1140","1140","1140","63084","63084","63084"
"530","1163","1163","1163","10935","10935","10935","1163","1163","1163","63175","63175","63175","1158","1158","1158","63273","63273","63273","1147","1147","1147","63049","63049","63049","1134","1134","1134","63088","63088","63088"
"531","1890","1890","1890","11089","11089","11089","1815","1815","1815","64211","64211","64211","1706","1706","1706","64310","64310","64310","1690","1690","1690","64085","64085","64085","1942","1942","1942","64124","64124","64124"
"532","1748","1748","1748","11093","11093","11093","1610","1610","1610","64215","64215","64215","1561","1561","1561","64314","64314","64314","1617","1617","1617","64089","64089","64089","1516","1516","1516","64128","64128","64128"
"533","1579","1579","1579","11097","11097","11097","1493","1493","1493","64219","64219","64219","1668","1668","1668","64318","64318","64318","1463","1463","1463","64093","64093","64093","1628","1628","1628","64132","64132","64132"
"534","1187","1187","1187","11101","11101","11101","1257","1257","1257","64223","64223","64223","1200","1200","1200","64322","64322","64322","1239","1239","1239","64097","64097","64097","1248","1248","1248","64136","64136","64136"
"535","1274","1274","1274","11105","11105","11105","1175","1175","1175","64227","64227","64227","1175","1175","1175","64326","64326","64326","1191","1191","1191","64101","64101","64101","1162","1162","1162","64140","64140","64140"
"536","1239","1239","1239","11109","11109","11109","1177","1177","1177","64231","64231","64231","1176","1176","1176","64330","64330","64330","1167","1167","1167","64105","64105","64105","1155","1155","1155","64144","64144","64144"
"537","1204","1204","1204","11113","11113","11113","1171","1171","1171","64235","64235","64235","1183","1183","1183","64334","64334","64334","1041","1041","1041","64109","64109","64109","1463","1463","1463","64148","64148","64148"
"538","1109","1109","1109","11117","11117","11117","946","946","946","64239","64239","64239","1147","1147","1147","64338","64338","64338","1132","1132","1132","64113","64113","64113","1117","1117","1117","64152","64152","64152"
"539","1208","1208","1208","11121","11121","11121","1139","1139","1139","64243","64243","64243","1130","1130","1130","64342","64342","64342","1160","1160","1160","64117","64117","64117","1137","1137","1137","64156","64156","64156"
"540","1791","1791","1791","11284","11284","11284","1927","1927","1927","65279","65279","65279","1832","1832","1832","65378","65378","65378","1650","1650","1650","65154","65154","65154","1867","1867","1867","65193","65193","65193"
"541","1594","1594","1594","11288","11288","11288","1772","1772","1772","65283","65283","65283","1615","1615","1615","65382","65382","65382","1609","1609","1609","65158","65158","65158","1634","1634","1634","65197","65197","65197"
"542","1673","1673","1673","11292","11292","11292","1517","1517","1517","65287","65287","65287","1623","1623","1623","65386","65386","65386","1588","1588","1588","65162","65162","65162","1627","1627","1627","65201","65201","65201"
"543","1397","1397","1397","11296","11296","11296","1214","1214","1214","65291","65291","65291","1488","1488","1488","65390","65390","65390","1799","1799","1799","65166","65166","65166","1465","1465","1465","65205","65205","65205"
"544","1210","1210","1210","11300","11300","11300","1167","1167","1167","65295","65295","65295","1190","1190","1190","65394","65394","65394","1163","1163","1163","65170","65170","65170","1136","1136","1136","65209","65209","65209"
"545","1238","1238","1238","11304","11304","11304","1163","1163","1163","65299","65299","65299","1180","1180","1180","65398","65398","65398","1163","1163","1163","65174","65174","65174","1153","1153","1153","65213","65213","65213"
"546","1101","1101","1101","11308","11308","11308","1164","1164","1164","65303","65303","65303","1289","1289","1289","65402","65402","65402","1061","1061","1061","65178","65178","65178","1064","1064","1064","65217","65217","65217"
"547","1136","1136","1136","11312","11312","11312","988","988","988","65307","65307","65307","1140","1140","1140","65406","65406","65406","1142","1142","1142","65182","65182","65182","1124","1124","1124","65221","65221","65221"
"548","1187","1187","1187","11316","11316","11316","1104","1104","1104","65311","65311","65311","1129","1129","1129","65410","65410","65410","1135","1135","1135","65186","65186","65186","1137","1137","1137","65225","65225","65225"
"549","1751","1751","1751","11471","11471","11471","1829","1829","1829","66347","66347","66347","1656","1656","1656","66452","66452","66452","1880","1880","1880","66221","66221","66221","1892","1892","1892","66261","66261","66261"
"550","1708","1708","1708","11475","11475","11475","1528","1528","1528","66351","66351","66351","1490","1490","1490","66456","66456","66456","1448","1448","1448","66225","66225","66225","1742","1742","1742","66265","66265","66265"
"551","1640","1640","1640","11479","11479","11479","1601","1601","1601","66355","66355","66355","1592","1592","1592","66460","66460","66460","1614","1614","1614","66229","66229","66229","1609","1609","1609","66269","66269","66269"
"552","1407","1407","1407","11483","11483","11483","1081","1081","1081","66364","66364","66364","1331","1331","1331","66464","66464","66464","1148","1148","1148","66233","66233","66233","1361","1361","1361","66273","66273","66273"
"553","1236","1236","1236","11487","11487","11487","1215","1215","1215","66368","66368","66368","1173","1173","1173","66468","66468","66468","1220","1220","1220","66237","66237","66237","1208","1208","1208","66277","66277","66277"
"554","1216","1216","1216","11491","11491","11491","1193","1193","1193","66372","66372","66372","1161","1161","1161","66472","66472","66472","1155","1155","1155","66241","66241","66241","1178","1178","1178","66281","66281","66281"
"555","1267","1267","1267","11495","11495","11495","1014","1014","1014","66376","66376","66376","1201","1201","1201","66476","66476","66476","1030","1030","1030","66245","66245","66245","1099","1099","1099","66285","66285","66285"
"556","1173","1173","1173","11499","11499","11499","1138","1138","1138","66380","66380","66380","1122","1122","1122","66480","66480","66480","1143","1143","1143","66249","66249","66249","1150","1150","1150","66289","66289","66289"
"557","1191","1191","1191","11503","11503","11503","1161","1161","1161","66384","66384","66384","1115","1115","1115","66484","66484","66484","1151","1151","1151","66253","66253","66253","1143","1143","1143","66293","66293","66293"
"558","1800","1800","1800","11659","11659","11659","1750","1750","1750","67420","67420","67420","1647","1647","1647","67521","67521","67521","1549","1549","1549","67289","67289","67289","1890","1890","1890","67329","67329","67329"
"559","1715","1715","1715","11663","11663","11663","1481","1481","1481","67424","67424","67424","1664","1664","1664","67525","67525","67525","1482","1482","1482","67293","67293","67293","1731","1731","1731","67333","67333","67333"
"560","1713","1713","1713","11667","11667","11667","1535","1535","1535","67428","67428","67428","1572","1572","1572","67529","67529","67529","1621","1621","1621","67297","67297","67297","1636","1636","1636","67337","67337","67337"
"561","1511","1511","1511","11671","11671","11671","1179","1179","1179","67432","67432","67432","1225","1225","1225","67533","67533","67533","1201","1201","1201","67301","67301","67301","1230","1230","1230","67341","67341","67341"
"562","1204","1204","1204","11675","11675","11675","1161","1161","1161","67436","67436","67436","1160","1160","1160","67537","67537","67537","1201","1201","1201","67305","67305","67305","1155","1155","1155","67345","67345","67345"
"563","1254","1254","1254","11679","11679","11679","1206","1206","1206","67440","67440","67440","1199","1199","1199","67541","67541","67541","1167","1167","1167","67309","67309","67309","1142","1142","1142","67349","67349","67349"
"564","1484","1484","1484","11683","11683","11683","1028","1028","1028","67444","67444","67444","1136","1136","1136","67545","67545","67545","1047","1047","1047","67313","67313","67313","1143","1143","1143","67353","67353","67353"
"565","1143","1143","1143","11687","11687","11687","1138","1138","1138","67448","67448","67448","1163","1163","1163","67549","67549","67549","1151","1151","1151","67317","67317","67317","1139","1139","1139","67357","67357","67357"
"566","1121","1121","1121","11691","11691","11691","1164","1164","1164","67452","67452","67452","1150","1150","1150","67553","67553","67553","1143","1143","1143","67321","67321","67321","1127","1127","1127","67361","67361","67361"
"567","1949","1949","1949","11842","11842","11842","1863","1863","1863","68488","68488","68488","1746","1746","1746","68594","68594","68594","1817","1817","1817","68362","68362","68362","1757","1757","1757","68397","68397","68397"
"568","1586","1586","1586","11846","11846","11846","1647","1647","1647","68492","68492","68492","1438","1438","1438","68598","68598","68598","1612","1612","1612","68366","68366","68366","1534","1534","1534","68401","68401","68401"
"569","1549","1549","1549","11850","11850","11850","1510","1510","1510","68496","68496","68496","1555","1555","1555","68602","68602","68602","1421","1421","1421","68370","68370","68370","1622","1622","1622","68405","68405","68405"
"570","1211","1211","1211","11854","11854","11854","1019","1019","1019","68500","68500","68500","1234","1234","1234","68606","68606","68606","1183","1183","1183","68374","68374","68374","1449","1449","1449","68409","68409","68409"
"571","1232","1232","1232","11858","11858","11858","1155","1155","1155","68504","68504","68504","1175","1175","1175","68610","68610","68610","1143","1143","1143","68378","68378","68378","1193","1193","1193","68413","68413","68413"
"572","1206","1206","1206","11862","11862","11862","1157","1157","1157","68508","68508","68508","1161","1161","1161","68614","68614","68614","1164","1164","1164","68382","68382","68382","1167","1167","1167","68417","68417","68417"
"573","1250","1250","1250","11866","11866","11866","1025","1025","1025","68512","68512","68512","1132","1132","1132","68618","68618","68618","1179","1179","1179","68386","68386","68386","1046","1046","1046","68421","68421","68421"
"574","1176","1176","1176","11870","11870","11870","1110","1110","1110","68516","68516","68516","1144","1144","1144","68622","68622","68622","1144","1144","1144","68390","68390","68390","1141","1141","1141","68425","68425","68425"
"575","1179","1179","1179","11874","11874","11874","1123","1123","1123","68520","68520","68520","1121","1121","1121","68626","68626","68626","1161","1161","1161","68394","68394","68394","1145","1145","1145","68429","68429","68429"
"576","1812","1812","1812","12025","12025","12025","1795","1795","1795","69556","69556","69556","1673","1673","1673","69662","69662","69662","1910","1910","1910","69430","69430","69430","1799","1799","1799","69466","69466","69466"
"577","1589","1589","1589","12029","12029","12029","1612","1612","1612","69560","69560","69560","1744","1744","1744","69666","69666","69666","1598","1598","1598","69434","69434","69434","1740","1740","1740","69470","69470","69470"
"578","1598","1598","1598","12033","12033","12033","1588","1588","1588","69564","69564","69564","1543","1543","1543","69670","69670","69670","1522","1522","1522","69438","69438","69438","1616","1616","1616","69474","69474","69474"
"579","1315","1315","1315","12037","12037","12037","1201","1201","1201","69568","69568","69568","1149","1149","1149","69674","69674","69674","1214","1214","1214","69442","69442","69442","1241","1241","1241","69478","69478","69478"
"580","1206","1206","1206","12041","12041","12041","1190","1190","1190","69572","69572","69572","1183","1183","1183","69678","69678","69678","1198","1198","1198","69446","69446","69446","1156","1156","1156","69482","69482","69482"
"581","1219","1219","1219","12045","12045","12045","1150","1150","1150","69576","69576","69576","1159","1159","1159","69682","69682","69682","1166","1166","1166","69450","69450","69450","1145","1145","1145","69486","69486","69486"
"582","1169","1169","1169","12049","12049","12049","984","984","984","69580","69580","69580","1174","1174","1174","69686","69686","69686","1160","1160","1160","69454","69454","69454","1015","1015","1015","69490","69490","69490"
"583","1158","1158","1158","12053","12053","12053","1118","1118","1118","69584","69584","69584","1144","1144","1144","69690","69690","69690","1135","1135","1135","69458","69458","69458","1123","1123","1123","69494","69494","69494"
"584","1187","1187","1187","12057","12057","12057","1136","1136","1136","69588","69588","69588","1134","1134","1134","69694","69694","69694","1151","1151","1151","69462","69462","69462","1132","1132","1132","69498","69498","69498"
"585","1774","1774","1774","12209","12209","12209","1911","1911","1911","70624","70624","70624","1689","1689","1689","70731","70731","70731","1869","1869","1869","70504","70504","70504","1919","1919","1919","70544","70544","70544"
"586","1673","1673","1673","12213","12213","12213","1634","1634","1634","70628","70628","70628","1459","1459","1459","70735","70735","70735","1629","1629","1629","70508","70508","70508","1557","1557","1557","70548","70548","70548"
"587","1588","1588","1588","12217","12217","12217","1425","1425","1425","70632","70632","70632","1584","1584","1584","70739","70739","70739","1598","1598","1598","70512","70512","70512","1460","1460","1460","70552","70552","70552"
"588","1306","1306","1306","12221","12221","12221","1098","1098","1098","70636","70636","70636","1155","1155","1155","70743","70743","70743","1161","1161","1161","70516","70516","70516","1480","1480","1480","70556","70556","70556"
"589","1202","1202","1202","12225","12225","12225","1154","1154","1154","70640","70640","70640","1499","1499","1499","70747","70747","70747","1142","1142","1142","70520","70520","70520","1175","1175","1175","70560","70560","70560"
"590","1210","1210","1210","12229","12229","12229","1170","1170","1170","70644","70644","70644","1181","1181","1181","70751","70751","70751","1173","1173","1173","70524","70524","70524","1154","1154","1154","70564","70564","70564"
"591","1243","1243","1243","12233","12233","12233","1144","1144","1144","70648","70648","70648","1176","1176","1176","70755","70755","70755","1148","1148","1148","70528","70528","70528","1194","1194","1194","70568","70568","70568"
"592","1192","1192","1192","12237","12237","12237","1119","1119","1119","70652","70652","70652","1138","1138","1138","70759","70759","70759","1158","1158","1158","70532","70532","70532","929","929","929","70572","70572","70572"
"593","1161","1161","1161","12241","12241","12241","1140","1140","1140","70656","70656","70656","1141","1141","1141","70763","70763","70763","1136","1136","1136","70536","70536","70536","1166","1166","1166","70576","70576","70576"
"594","1706","1706","1706","12396","12396","12396","1760","1760","1760","71693","71693","71693","1684","1684","1684","71803","71803","71803","1871","1871","1871","71577","71577","71577","1899","1899","1899","71612","71612","71612"
"595","1597","1597","1597","12400","12400","12400","1495","1495","1495","71697","71697","71697","1607","1607","1607","71807","71807","71807","1552","1552","1552","71581","71581","71581","1631","1631","1631","71616","71616","71616"
"596","1692","1692","1692","12404","12404","12404","1486","1486","1486","71701","71701","71701","1434","1434","1434","71811","71811","71811","1595","1595","1595","71585","71585","71585","1637","1637","1637","71620","71620","71620"
"597","1345","1345","1345","12408","12408","12408","1319","1319","1319","71705","71705","71705","1279","1279","1279","71815","71815","71815","1284","1284","1284","71589","71589","71589","1454","1454","1454","71624","71624","71624"
"598","1204","1204","1204","12412","12412","12412","1145","1145","1145","71709","71709","71709","1183","1183","1183","71819","71819","71819","1151","1151","1151","71593","71593","71593","1142","1142","1142","71628","71628","71628"
"599","1222","1222","1222","12416","12416","12416","1177","1177","1177","71713","71713","71713","1169","1169","1169","71823","71823","71823","1187","1187","1187","71597","71597","71597","1162","1162","1162","71632","71632","71632"
"600","1143","1143","1143","12420","12420","12420","1010","1010","1010","71717","71717","71717","1181","1181","1181","71827","71827","71827","1195","1195","1195","71601","71601","71601","1145","1145","1145","71636","71636","71636"
"601","1174","1174","1174","12424","12424","12424","1104","1104","1104","71721","71721","71721","1116","1116","1116","71831","71831","71831","1146","1146","1146","71605","71605","71605","1154","1154","1154","71640","71640","71640"
"602","1184","1184","1184","12428","12428","12428","1110","1110","1110","71725","71725","71725","1003","1003","1003","71835","71835","71835","1136","1136","1136","71609","71609","71609","1130","1130","1130","71644","71644","71644"
"603","1799","1799","1799","12578","12578","12578","1787","1787","1787","72761","72761","72761","1579","1579","1579","72871","72871","72871","1678","1678","1678","72645","72645","72645","1845","1845","1845","72681","72681","72681"
"604","1462","1462","1462","12582","12582","12582","1630","1630","1630","72765","72765","72765","1464","1464","1464","72875","72875","72875","1518","1518","1518","72649","72649","72649","1734","1734","1734","72685","72685","72685"
"605","1491","1491","1491","12586","12586","12586","1514","1514","1514","72769","72769","72769","1648","1648","1648","72879","72879","72879","1395","1395","1395","72653","72653","72653","1654","1654","1654","72689","72689","72689"
"606","1456","1456","1456","12590","12590","12590","1268","1268","1268","72773","72773","72773","1167","1167","1167","72883","72883","72883","1217","1217","1217","72657","72657","72657","1263","1263","1263","72693","72693","72693"
"607","1232","1232","1232","12594","12594","12594","1166","1166","1166","72777","72777","72777","1179","1179","1179","72887","72887","72887","1171","1171","1171","72661","72661","72661","1080","1080","1080","72697","72697","72697"
"608","1223","1223","1223","12598","12598","12598","1177","1177","1177","72781","72781","72781","1168","1168","1168","72891","72891","72891","1167","1167","1167","72665","72665","72665","1140","1140","1140","72701","72701","72701"
"609","1495","1495","1495","12602","12602","12602","1138","1138","1138","72785","72785","72785","1393","1393","1393","72895","72895","72895","1183","1183","1183","72669","72669","72669","1042","1042","1042","72705","72705","72705"
"610","1173","1173","1173","12606","12606","12606","971","971","971","72789","72789","72789","1150","1150","1150","72899","72899","72899","1132","1132","1132","72673","72673","72673","967","967","967","72709","72709","72709"
"611","1134","1134","1134","12610","12610","12610","1141","1141","1141","72793","72793","72793","1148","1148","1148","72903","72903","72903","1143","1143","1143","72677","72677","72677","1151","1151","1151","72713","72713","72713"
"612","1742","1742","1742","12769","12769","12769","2033","2033","2033","73829","73829","73829","1567","1567","1567","73940","73940","73940","1811","1811","1811","73713","73713","73713","1754","1754","1754","73760","73760","73760"
"613","1607","1607","1607","12773","12773","12773","1441","1441","1441","73833","73833","73833","1506","1506","1506","73944","73944","73944","1603","1603","1603","73717","73717","73717","1510","1510","1510","73764","73764","73764"
"614","1701","1701","1701","12777","12777","12777","1528","1528","1528","73837","73837","73837","1474","1474","1474","73948","73948","73948","1484","1484","1484","73721","73721","73721","1757","1757","1757","73768","73768","73768"
"615","1331","1331","1331","12781","12781","12781","1312","1312","1312","73841","73841","73841","1171","1171","1171","73952","73952","73952","1037","1037","1037","73725","73725","73725","1072","1072","1072","73772","73772","73772"
"616","1252","1252","1252","12785","12785","12785","1167","1167","1167","73845","73845","73845","1164","1164","1164","73956","73956","73956","1014","1014","1014","73735","73735","73735","1065","1065","1065","73776","73776","73776"
"617","1229","1229","1229","12789","12789","12789","1169","1169","1169","73849","73849","73849","1171","1171","1171","73960","73960","73960","1142","1142","1142","73739","73739","73739","1182","1182","1182","73780","73780","73780"
"618","1241","1241","1241","12793","12793","12793","1009","1009","1009","73853","73853","73853","1280","1280","1280","73964","73964","73964","1068","1068","1068","73743","73743","73743","1006","1006","1006","73784","73784","73784"
"619","1183","1183","1183","12797","12797","12797","1115","1115","1115","73857","73857","73857","1145","1145","1145","73968","73968","73968","1113","1113","1113","73747","73747","73747","896","896","896","73788","73788","73788"
"620","1199","1199","1199","12801","12801","12801","994","994","994","73861","73861","73861","1142","1142","1142","73972","73972","73972","1139","1139","1139","73751","73751","73751","1137","1137","1137","73792","73792","73792"
"621","1816","1816","1816","12956","12956","12956","1796","1796","1796","74897","74897","74897","1673","1673","1673","75009","75009","75009","1821","1821","1821","74787","74787","74787","2021","2021","2021","74828","74828","74828"
"622","1614","1614","1614","12960","12960","12960","1508","1508","1508","74901","74901","74901","1539","1539","1539","75013","75013","75013","1588","1588","1588","74791","74791","74791","1740","1740","1740","74832","74832","74832"
"623","1547","1547","1547","12964","12964","12964","1582","1582","1582","74905","74905","74905","1644","1644","1644","75017","75017","75017","1616","1616","1616","74795","74795","74795","1679","1679","1679","74836","74836","74836"
"624","1351","1351","1351","12968","12968","12968","1321","1321","1321","74909","74909","74909","1416","1416","1416","75021","75021","75021","1092","1092","1092","74799","74799","74799","1169","1169","1169","74840","74840","74840"
"625","1223","1223","1223","12972","12972","12972","1220","1220","1220","74913","74913","74913","1187","1187","1187","75025","75025","75025","1147","1147","1147","74803","74803","74803","1186","1186","1186","74844","74844","74844"
"626","1211","1211","1211","12976","12976","12976","1220","1220","1220","74917","74917","74917","1170","1170","1170","75029","75029","75029","1187","1187","1187","74807","74807","74807","1164","1164","1164","74848","74848","74848"
"627","1137","1137","1137","12980","12980","12980","1013","1013","1013","74921","74921","74921","1097","1097","1097","75033","75033","75033","1061","1061","1061","74811","74811","74811","1041","1041","1041","74852","74852","74852"
"628","967","967","967","12984","12984","12984","1136","1136","1136","74925","74925","74925","1124","1124","1124","75037","75037","75037","985","985","985","74815","74815","74815","1142","1142","1142","74856","74856","74856"
"629","1160","1160","1160","12988","12988","12988","1132","1132","1132","74929","74929","74929","1132","1132","1132","75041","75041","75041","1101","1101","1101","74819","74819","74819","1129","1129","1129","74860","74860","74860"
"630","1693","1693","1693","13140","13140","13140","1968","1968","1968","75970","75970","75970","1706","1706","1706","76078","76078","76078","1650","1650","1650","75856","75856","75856","1781","1781","1781","75896","75896","75896"
"631","1544","1544","1544","13144","13144","13144","1641","1641","1641","75974","75974","75974","1661","1661","1661","76082","76082","76082","1610","1610","1610","75860","75860","75860","1733","1733","1733","75900","75900","75900"
"632","1588","1588","1588","13148","13148","13148","1590","1590","1590","75978","75978","75978","1574","1574","1574","76086","76086","76086","1565","1565","1565","75864","75864","75864","1629","1629","1629","75904","75904","75904"
"633","1258","1258","1258","13152","13152","13152","1187","1187","1187","75982","75982","75982","1197","1197","1197","76090","76090","76090","1069","1069","1069","75868","75868","75868","1799","1799","1799","75908","75908","75908"
"634","1210","1210","1210","13156","13156","13156","1162","1162","1162","75986","75986","75986","1162","1162","1162","76094","76094","76094","1117","1117","1117","75872","75872","75872","1194","1194","1194","75912","75912","75912"
"635","1203","1203","1203","13160","13160","13160","1158","1158","1158","75990","75990","75990","1179","1179","1179","76098","76098","76098","1172","1172","1172","75876","75876","75876","1178","1178","1178","75916","75916","75916"
"636","1217","1217","1217","13164","13164","13164","1168","1168","1168","75994","75994","75994","1095","1095","1095","76102","76102","76102","1072","1072","1072","75880","75880","75880","1096","1096","1096","75920","75920","75920"
"637","1127","1127","1127","13168","13168","13168","1106","1106","1106","75998","75998","75998","951","951","951","76106","76106","76106","1143","1143","1143","75884","75884","75884","1110","1110","1110","75924","75924","75924"
"638","1212","1212","1212","13172","13172","13172","1122","1122","1122","76002","76002","76002","1152","1152","1152","76110","76110","76110","1151","1151","1151","75888","75888","75888","1157","1157","1157","75928","75928","75928"
"639","1675","1675","1675","13327","13327","13327","1800","1800","1800","77038","77038","77038","1696","1696","1696","77152","77152","77152","1656","1656","1656","76924","76924","76924","1961","1961","1961","76963","76963","76963"
"640","1600","1600","1600","13331","13331","13331","1592","1592","1592","77042","77042","77042","1562","1562","1562","77156","77156","77156","1615","1615","1615","76928","76928","76928","1611","1611","1611","76967","76967","76967"
"641","1658","1658","1658","13335","13335","13335","1538","1538","1538","77046","77046","77046","1514","1514","1514","77160","77160","77160","1533","1533","1533","76932","76932","76932","1647","1647","1647","76971","76971","76971"
"642","1272","1272","1272","13339","13339","13339","1281","1281","1281","77050","77050","77050","1174","1174","1174","77164","77164","77164","1267","1267","1267","76936","76936","76936","1093","1093","1093","76975","76975","76975"
"643","1263","1263","1263","13343","13343","13343","1190","1190","1190","77054","77054","77054","1168","1168","1168","77168","77168","77168","1088","1088","1088","76940","76940","76940","1156","1156","1156","76979","76979","76979"
