"Train/step","rl_filter_mlp_2025-12-07_21-13-48 - Train/Mrewards","rl_filter_mlp_2025-12-07_21-13-48 - Train/Mrewards__MIN","rl_filter_mlp_2025-12-07_21-13-48 - Train/Mrewards__MAX","rl_filter_mlp_2025-12-07_21-13-48 - _step","rl_filter_mlp_2025-12-07_21-13-48 - _step__MIN","rl_filter_mlp_2025-12-07_21-13-48 - _step__MAX","rl_filter_no_dueling_2025-11-29_18-11-35 - Train/Mrewards","rl_filter_no_dueling_2025-11-29_18-11-35 - Train/Mrewards__MIN","rl_filter_no_dueling_2025-11-29_18-11-35 - Train/Mrewards__MAX","rl_filter_no_dueling_2025-11-29_18-11-35 - _step","rl_filter_no_dueling_2025-11-29_18-11-35 - _step__MIN","rl_filter_no_dueling_2025-11-29_18-11-35 - _step__MAX","rl_filter_selfattn_2025-11-26_16-56-20 - Train/Mrewards","rl_filter_selfattn_2025-11-26_16-56-20 - Train/Mrewards__MIN","rl_filter_selfattn_2025-11-26_16-56-20 - Train/Mrewards__MAX","rl_filter_selfattn_2025-11-26_16-56-20 - _step","rl_filter_selfattn_2025-11-26_16-56-20 - _step__MIN","rl_filter_selfattn_2025-11-26_16-56-20 - _step__MAX","rl_filter_no_noisy_2025-11-25_15-04-29 - Train/Mrewards","rl_filter_no_noisy_2025-11-25_15-04-29 - Train/Mrewards__MIN","rl_filter_no_noisy_2025-11-25_15-04-29 - Train/Mrewards__MAX","rl_filter_no_noisy_2025-11-25_15-04-29 - _step","rl_filter_no_noisy_2025-11-25_15-04-29 - _step__MIN","rl_filter_no_noisy_2025-11-25_15-04-29 - _step__MAX","4070_rl_filter_2025-07-20_12-17-12 - Train/Mrewards","4070_rl_filter_2025-07-20_12-17-12 - Train/Mrewards__MIN","4070_rl_filter_2025-07-20_12-17-12 - Train/Mrewards__MAX","4070_rl_filter_2025-07-20_12-17-12 - _step","4070_rl_filter_2025-07-20_12-17-12 - _step__MIN","4070_rl_filter_2025-07-20_12-17-12 - _step__MAX"
"226949","","","","","","","0.5803862810134888","0.5803862810134888","0.5803862810134888","13866","13866","13866","","","","","","","","","","","","","","","","","",""
"226973","","","","","","","","","","","","","0.5249518156051636","0.5249518156051636","0.5249518156051636","13240","13240","13240","","","","","","","","","","","",""
"227058","","","","","","","","","","","","","","","","","","","","","","","","","0.7751813530921936","0.7751813530921936","0.7751813530921936","15756","15756","15756"
"227111","","","","","","","","","","","","","","","","","","","1.1083444356918335","1.1083444356918335","1.1083444356918335","16502","16502","16502","","","","","",""
"227259","","","","","","","0.5679365992546082","0.5679365992546082","0.5679365992546082","13892","13892","13892","","","","","","","","","","","","","","","","","",""
"227368","","","","","","","","","","","","","","","","","","","","","","","","","0.8551368713378906","0.8551368713378906","0.8551368713378906","15782","15782","15782"
"227383","","","","","","","","","","","","","0.5289967656135559","0.5289967656135559","0.5289967656135559","13266","13266","13266","","","","","","","","","","","",""
"227431","","","","","","","","","","","","","","","","","","","1.1630243062973022","1.1630243062973022","1.1630243062973022","16528","16528","16528","","","","","",""
"227569","","","","","","","0.6722034215927124","0.6722034215927124","0.6722034215927124","13954","13954","13954","","","","","","","","","","","","","","","","","",""
"227678","","","","","","","","","","","","","","","","","","","","","","","","","0.7989175319671631","0.7989175319671631","0.7989175319671631","15808","15808","15808"
"227741","","","","","","","","","","","","","","","","","","","1.127334475517273","1.127334475517273","1.127334475517273","16554","16554","16554","","","","","",""
"227803","","","","","","","","","","","","","0.5978754758834839","0.5978754758834839","0.5978754758834839","13292","13292","13292","","","","","","","","","","","",""
"227889","","","","","","","0.8087595701217651","0.8087595701217651","0.8087595701217651","13980","13980","13980","","","","","","","","","","","","","","","","","",""
"227988","","","","","","","","","","","","","","","","","","","","","","","","","0.8815016150474548","0.8815016150474548","0.8815016150474548","15833","15833","15833"
"228051","","","","","","","","","","","","","","","","","","","1.1877028942108154","1.1877028942108154","1.1877028942108154","16580","16580","16580","","","","","",""
"228163","","","","","","","","","","","","","0.5097554922103882","0.5097554922103882","0.5097554922103882","13318","13318","13318","","","","","","","","","","","",""
"228209","","","","","","","0.8828577995300293","0.8828577995300293","0.8828577995300293","14006","14006","14006","","","","","","","","","","","","","","","","","",""
"228298","","","","","","","","","","","","","","","","","","","","","","","","","1.005523920059204","1.005523920059204","1.005523920059204","15859","15859","15859"
"228361","","","","","","","","","","","","","","","","","","","1.2806472778320312","1.2806472778320312","1.2806472778320312","16605","16605","16605","","","","","",""
"228483","","","","","","","","","","","","","0.5203552842140198","0.5203552842140198","0.5203552842140198","13344","13344","13344","","","","","","","","","","","",""
"228519","","","","","","","0.9616626501083374","0.9616626501083374","0.9616626501083374","14032","14032","14032","","","","","","","","","","","","","","","","","",""
"228608","","","","","","","","","","","","","","","","","","","","","","","","","0.9595297574996948","0.9595297574996948","0.9595297574996948","15885","15885","15885"
"228671","","","","","","","","","","","","","","","","","","","1.1649671792984009","1.1649671792984009","1.1649671792984009","16631","16631","16631","","","","","",""
"228813","","","","","","","","","","","","","0.4630439579486847","0.4630439579486847","0.4630439579486847","13370","13370","13370","","","","","","","","","","","",""
"228829","","","","","","","1.086051344871521","1.086051344871521","1.086051344871521","14058","14058","14058","","","","","","","","","","","","","","","","","",""
"228918","","","","","","","","","","","","","","","","","","","","","","","","","0.9397223591804504","0.9397223591804504","0.9397223591804504","15911","15911","15911"
"228981","","","","","","","","","","","","","","","","","","","1.1342105865478516","1.1342105865478516","1.1342105865478516","16657","16657","16657","","","","","",""
"229139","","","","","","","1.006466269493103","1.006466269493103","1.006466269493103","14083","14083","14083","","","","","","","","","","","","","","","","","",""
"229143","","","","","","","","","","","","","0.48084884881973267","0.48084884881973267","0.48084884881973267","13395","13395","13395","","","","","","","","","","","",""
"229228","","","","","","","","","","","","","","","","","","","","","","","","","0.9302164316177368","0.9302164316177368","0.9302164316177368","15937","15937","15937"
"229291","","","","","","","","","","","","","","","","","","","1.0706557035446167","1.0706557035446167","1.0706557035446167","16683","16683","16683","","","","","",""
"229449","","","","","","","1.0128509998321533","1.0128509998321533","1.0128509998321533","14109","14109","14109","","","","","","","","","","","","","","","","","",""
"229453","","","","","","","","","","","","","0.5825289487838745","0.5825289487838745","0.5825289487838745","13421","13421","13421","","","","","","","","","","","",""
"229538","","","","","","","","","","","","","","","","","","","","","","","","","0.8639147877693176","0.8639147877693176","0.8639147877693176","15962","15962","15962"
"229601","","","","","","","","","","","","","","","","","","","1.0624781847000122","1.0624781847000122","1.0624781847000122","16709","16709","16709","","","","","",""
"229759","","","","","","","0.9972435832023621","0.9972435832023621","0.9972435832023621","14135","14135","14135","","","","","","","","","","","","","","","","","",""
"229773","","","","","","","","","","","","","0.6696944832801819","0.6696944832801819","0.6696944832801819","13447","13447","13447","","","","","","","","","","","",""
"229858","","","","","","","","","","","","","","","","","","","","","","","","","0.9180669784545898","0.9180669784545898","0.9180669784545898","15988","15988","15988"
"229911","","","","","","","","","","","","","","","","","","","1.1265333890914917","1.1265333890914917","1.1265333890914917","16734","16734","16734","","","","","",""
"230069","","","","","","","1.0408885478973389","1.0408885478973389","1.0408885478973389","14161","14161","14161","","","","","","","","","","","","","","","","","",""
"230113","","","","","","","","","","","","","0.7209442853927612","0.7209442853927612","0.7209442853927612","13473","13473","13473","","","","","","","","","","","",""
"230221","","","","","","","","","","","","","","","","","","","1.1817655563354492","1.1817655563354492","1.1817655563354492","16760","16760","16760","","","","","",""
"230248","","","","","","","","","","","","","","","","","","","","","","","","","0.8615148663520813","0.8615148663520813","0.8615148663520813","16050","16050","16050"
"230379","","","","","","","1.1064560413360596","1.1064560413360596","1.1064560413360596","14186","14186","14186","","","","","","","","","","","","","","","","","",""
"230503","","","","","","","","","","","","","0.7277105450630188","0.7277105450630188","0.7277105450630188","13499","13499","13499","","","","","","","","","","","",""
"230531","","","","","","","","","","","","","","","","","","","1.1339205503463745","1.1339205503463745","1.1339205503463745","16786","16786","16786","","","","","",""
"230558","","","","","","","","","","","","","","","","","","","","","","","","","0.8259596228599548","0.8259596228599548","0.8259596228599548","16076","16076","16076"
"230699","","","","","","","1.1576699018478394","1.1576699018478394","1.1576699018478394","14212","14212","14212","","","","","","","","","","","","","","","","","",""
"230823","","","","","","","","","","","","","0.8628860116004944","0.8628860116004944","0.8628860116004944","13525","13525","13525","","","","","","","","","","","",""
"230841","","","","","","","","","","","","","","","","","","","1.248045563697815","1.248045563697815","1.248045563697815","16812","16812","16812","","","","","",""
"230868","","","","","","","","","","","","","","","","","","","","","","","","","0.9188845753669739","0.9188845753669739","0.9188845753669739","16102","16102","16102"
"231019","","","","","","","1.1974716186523438","1.1974716186523438","1.1974716186523438","14238","14238","14238","","","","","","","","","","","","","","","","","",""
"231143","","","","","","","","","","","","","0.7848999500274658","0.7848999500274658","0.7848999500274658","13550","13550","13550","","","","","","","","","","","",""
"231151","","","","","","","","","","","","","","","","","","","1.3744879961013794","1.3744879961013794","1.3744879961013794","16837","16837","16837","","","","","",""
"231178","","","","","","","","","","","","","","","","","","","","","","","","","1.0475599765777588","1.0475599765777588","1.0475599765777588","16127","16127","16127"
"231461","","","","","","","","","","","","","","","","","","","1.30269193649292","1.30269193649292","1.30269193649292","16863","16863","16863","","","","","",""
"231473","","","","","","","","","","","","","0.7709665298461914","0.7709665298461914","0.7709665298461914","13576","13576","13576","","","","","","","","","","","",""
"231488","","","","","","","","","","","","","","","","","","","","","","","","","0.95769864320755","0.95769864320755","0.95769864320755","16153","16153","16153"
"231609","","","","","","","1.030037760734558","1.030037760734558","1.030037760734558","14265","14265","14265","","","","","","","","","","","","","","","","","",""
"231771","","","","","","","","","","","","","","","","","","","1.2582660913467407","1.2582660913467407","1.2582660913467407","16889","16889","16889","","","","","",""
"231783","","","","","","","","","","","","","0.7495149970054626","0.7495149970054626","0.7495149970054626","13602","13602","13602","","","","","","","","","","","",""
"231798","","","","","","","","","","","","","","","","","","","","","","","","","0.9308011531829834","0.9308011531829834","0.9308011531829834","16179","16179","16179"
"231929","","","","","","","1.1354753971099854","1.1354753971099854","1.1354753971099854","14290","14290","14290","","","","","","","","","","","","","","","","","",""
"232081","","","","","","","","","","","","","","","","","","","1.1984013319015503","1.1984013319015503","1.1984013319015503","16915","16915","16915","","","","","",""
"232093","","","","","","","","","","","","","0.8114067912101746","0.8114067912101746","0.8114067912101746","13628","13628","13628","","","","","","","","","","","",""
"232239","","","","","","","1.0836137533187866","1.0836137533187866","1.0836137533187866","14316","14316","14316","","","","","","","","","","","","","","","","","",""
"232391","","","","","","","","","","","","","","","","","","","1.175403356552124","1.175403356552124","1.175403356552124","16940","16940","16940","","","","","",""
"232433","","","","","","","","","","","","","0.8595908284187317","0.8595908284187317","0.8595908284187317","13654","13654","13654","","","","","","","","","","","",""
"232442","-30.95107650756836","-30.95107650756836","-30.95107650756836","5714","5714","5714","","","","","","","","","","","","","","","","","","","","","","","",""
"232549","","","","","","","1.069053292274475","1.069053292274475","1.069053292274475","14342","14342","14342","","","","","","","","","","","","","","","","","",""
"232701","","","","","","","","","","","","","","","","","","","1.226444959640503","1.226444959640503","1.226444959640503","16966","16966","16966","","","","","",""
"232743","","","","","","","","","","","","","0.9384515285491943","0.9384515285491943","0.9384515285491943","13679","13679","13679","","","","","","","","","","","",""
"232879","","","","","","","1.0118247270584106","1.0118247270584106","1.0118247270584106","14368","14368","14368","","","","","","","","","","","","","","","","","",""
"233011","","","","","","","","","","","","","","","","","","","1.2723603248596191","1.2723603248596191","1.2723603248596191","16992","16992","16992","","","","","",""
"233053","","","","","","","","","","","","","1.015232801437378","1.015232801437378","1.015232801437378","13705","13705","13705","","","","","","","","","","","",""
"233189","","","","","","","1.0031580924987793","1.0031580924987793","1.0031580924987793","14393","14393","14393","","","","","","","","","","","","","","","","","",""
"233321","","","","","","","","","","","","","","","","","","","1.2401150465011597","1.2401150465011597","1.2401150465011597","17018","17018","17018","","","","","",""
"233393","","","","","","","","","","","","","1.049653172492981","1.049653172492981","1.049653172492981","13731","13731","13731","","","","","","","","","","","",""
"233499","","","","","","","1.072560429573059","1.072560429573059","1.072560429573059","14419","14419","14419","","","","","","","","","","","","","","","","","",""
"233631","","","","","","","","","","","","","","","","","","","1.2908313274383545","1.2908313274383545","1.2908313274383545","17081","17081","17081","","","","","",""
"233723","","","","","","","","","","","","","1.1505788564682007","1.1505788564682007","1.1505788564682007","13757","13757","13757","","","","","","","","","","","",""
"233732","-32.09531021118164","-32.09531021118164","-32.09531021118164","5724","5724","5724","","","","","","","","","","","","","","","","","","","","","","","",""
"233839","","","","","","","1.0967435836791992","1.0967435836791992","1.0967435836791992","14445","14445","14445","","","","","","","","","","","","","","","","","",""
"233941","","","","","","","","","","","","","","","","","","","1.300958275794983","1.300958275794983","1.300958275794983","17106","17106","17106","","","","","",""
"234053","","","","","","","","","","","","","1.0344685316085815","1.0344685316085815","1.0344685316085815","13783","13783","13783","","","","","","","","","","","",""
"234149","","","","","","","1.129210352897644","1.129210352897644","1.129210352897644","14471","14471","14471","","","","","","","","","","","","","","","","","",""
"234251","","","","","","","","","","","","","","","","","","","1.1945745944976807","1.1945745944976807","1.1945745944976807","17132","17132","17132","","","","","",""
"234373","","","","","","","","","","","","","0.9906951189041138","0.9906951189041138","0.9906951189041138","13808","13808","13808","","","","","","","","","","","",""
"234459","","","","","","","1.1854661703109741","1.1854661703109741","1.1854661703109741","14497","14497","14497","","","","","","","","","","","","","","","","","",""
"234561","","","","","","","","","","","","","","","","","","","1.1573270559310913","1.1573270559310913","1.1573270559310913","17158","17158","17158","","","","","",""
"234683","","","","","","","","","","","","","0.9876124858856201","0.9876124858856201","0.9876124858856201","13834","13834","13834","","","","","","","","","","","",""
"234769","","","","","","","1.283113718032837","1.283113718032837","1.283113718032837","14522","14522","14522","","","","","","","","","","","","","","","","","",""
"234871","","","","","","","","","","","","","","","","","","","1.1119391918182373","1.1119391918182373","1.1119391918182373","17184","17184","17184","","","","","",""
"235013","","","","","","","","","","","","","0.936458170413971","0.936458170413971","0.936458170413971","13860","13860","13860","","","","","","","","","","","",""
"235079","","","","","","","1.1764628887176514","1.1764628887176514","1.1764628887176514","14548","14548","14548","","","","","","","","","","","","","","","","","",""
"235181","","","","","","","","","","","","","","","","","","","1.096518874168396","1.096518874168396","1.096518874168396","17209","17209","17209","","","","","",""
"235208","","","","","","","","","","","","","","","","","","","","","","","","","-2.9504470825195312","-2.9504470825195312","-2.9504470825195312","16213","16213","16213"
"235389","","","","","","","1.1168601512908936","1.1168601512908936","1.1168601512908936","14574","14574","14574","","","","","","","","","","","","","","","","","",""
"235423","","","","","","","","","","","","","0.9079272747039795","0.9079272747039795","0.9079272747039795","13886","13886","13886","","","","","","","","","","","",""
"235491","","","","","","","","","","","","","","","","","","","1.156994104385376","1.156994104385376","1.156994104385376","17235","17235","17235","","","","","",""
"235598","","","","","","","","","","","","","","","","","","","","","","","","","-2.603996753692627","-2.603996753692627","-2.603996753692627","16238","16238","16238"
"235699","","","","","","","1.0919655561447144","1.0919655561447144","1.0919655561447144","14600","14600","14600","","","","","","","","","","","","","","","","","",""
"235743","","","","","","","","","","","","","0.9722340703010559","0.9722340703010559","0.9722340703010559","13912","13912","13912","","","","","","","","","","","",""
"235801","","","","","","","","","","","","","","","","","","","1.220428466796875","1.220428466796875","1.220428466796875","17261","17261","17261","","","","","",""
"235832","-30.27176284790039","-30.27176284790039","-30.27176284790039","5754","5754","5754","","","","","","","","","","","","","","","","","","","","","","","",""
"235928","","","","","","","","","","","","","","","","","","","","","","","","","-2.241795301437378","-2.241795301437378","-2.241795301437378","16264","16264","16264"
"236009","","","","","","","1.0603930950164795","1.0603930950164795","1.0603930950164795","14626","14626","14626","","","","","","","","","","","","","","","","","",""
"236073","","","","","","","","","","","","","0.9904819130897522","0.9904819130897522","0.9904819130897522","13938","13938","13938","","","","","","","","","","","",""
"236111","","","","","","","","","","","","","","","","","","","1.2995551824569702","1.2995551824569702","1.2995551824569702","17287","17287","17287","","","","","",""
"236238","","","","","","","","","","","","","","","","","","","","","","","","","-1.8780637979507446","-1.8780637979507446","-1.8780637979507446","16290","16290","16290"
"236319","","","","","","","1.1233546733856201","1.1233546733856201","1.1233546733856201","14651","14651","14651","","","","","","","","","","","","","","","","","",""
"236403","","","","","","","","","","","","","1.043701171875","1.043701171875","1.043701171875","14001","14001","14001","","","","","","","","","","","",""
"236431","","","","","","","","","","","","","","","","","","","1.3647953271865845","1.3647953271865845","1.3647953271865845","17313","17313","17313","","","","","",""
"236548","","","","","","","","","","","","","","","","","","","","","","","","","-1.5812405347824097","-1.5812405347824097","-1.5812405347824097","16316","16316","16316"
"236629","","","","","","","1.1853399276733398","1.1853399276733398","1.1853399276733398","14677","14677","14677","","","","","","","","","","","","","","","","","",""
"236733","","","","","","","","","","","","","1.1488761901855469","1.1488761901855469","1.1488761901855469","14026","14026","14026","","","","","","","","","","","",""
"236741","","","","","","","","","","","","","","","","","","","1.4474273920059204","1.4474273920059204","1.4474273920059204","17338","17338","17338","","","","","",""
"236858","","","","","","","","","","","","","","","","","","","","","","","","","-1.1992337703704834","-1.1992337703704834","-1.1992337703704834","16342","16342","16342"
"236939","","","","","","","1.1417927742004395","1.1417927742004395","1.1417927742004395","14703","14703","14703","","","","","","","","","","","","","","","","","",""
"237051","","","","","","","","","","","","","","","","","","","1.3224804401397705","1.3224804401397705","1.3224804401397705","17364","17364","17364","","","","","",""
"237168","","","","","","","","","","","","","","","","","","","","","","","","","-0.8787561058998108","-0.8787561058998108","-0.8787561058998108","16367","16367","16367"
"237249","","","","","","","1.1991454362869263","1.1991454362869263","1.1991454362869263","14729","14729","14729","","","","","","","","","","","","","","","","","",""
"237361","","","","","","","","","","","","","","","","","","","1.315530776977539","1.315530776977539","1.315530776977539","17390","17390","17390","","","","","",""
"237508","","","","","","","","","","","","","","","","","","","","","","","","","-0.8514445424079895","-0.8514445424079895","-0.8514445424079895","16393","16393","16393"
"237559","","","","","","","1.2960517406463623","1.2960517406463623","1.2960517406463623","14754","14754","14754","","","","","","","","","","","","","","","","","",""
"237671","","","","","","","","","","","","","","","","","","","1.2051187753677368","1.2051187753677368","1.2051187753677368","17416","17416","17416","","","","","",""
"237869","","","","","","","1.2197823524475098","1.2197823524475098","1.2197823524475098","14780","14780","14780","","","","","","","","","","","","","","","","","",""
"237948","","","","","","","","","","","","","","","","","","","","","","","","","-0.8047430515289307","-0.8047430515289307","-0.8047430515289307","16419","16419","16419"
"237981","","","","","","","","","","","","","","","","","","","1.1883249282836914","1.1883249282836914","1.1883249282836914","17441","17441","17441","","","","","",""
"238082","-29.542482376098633","-29.542482376098633","-29.542482376098633","5822","5822","5822","","","","","","","","","","","","","","","","","","","","","","","",""
"238179","","","","","","","1.1860735416412354","1.1860735416412354","1.1860735416412354","14806","14806","14806","","","","","","","","","","","","","","","","","",""
"238278","","","","","","","","","","","","","","","","","","","","","","","","","-0.6711263656616211","-0.6711263656616211","-0.6711263656616211","16445","16445","16445"
"238291","","","","","","","","","","","","","","","","","","","1.2257393598556519","1.2257393598556519","1.2257393598556519","17467","17467","17467","","","","","",""
"238499","","","","","","","1.0844566822052002","1.0844566822052002","1.0844566822052002","14832","14832","14832","","","","","","","","","","","","","","","","","",""
"238588","","","","","","","","","","","","","","","","","","","","","","","","","-0.5293350219726562","-0.5293350219726562","-0.5293350219726562","16471","16471","16471"
"238601","","","","","","","","","","","","","","","","","","","1.2650063037872314","1.2650063037872314","1.2650063037872314","17493","17493","17493","","","","","",""
"238839","","","","","","","1.1346807479858398","1.1346807479858398","1.1346807479858398","14858","14858","14858","","","","","","","","","","","","","","","","","",""
"238898","","","","","","","","","","","","","","","","","","","","","","","","","-0.3284152150154114","-0.3284152150154114","-0.3284152150154114","16497","16497","16497"
"238911","","","","","","","","","","","","","","","","","","","1.2475477457046509","1.2475477457046509","1.2475477457046509","17519","17519","17519","","","","","",""
"239149","","","","","","","1.1863569021224976","1.1863569021224976","1.1863569021224976","14883","14883","14883","","","","","","","","","","","","","","","","","",""
"239208","","","","","","","","","","","","","","","","","","","","","","","","","-0.16977420449256897","-0.16977420449256897","-0.16977420449256897","16523","16523","16523"
"239221","","","","","","","","","","","","","","","","","","","1.2856571674346924","1.2856571674346924","1.2856571674346924","17545","17545","17545","","","","","",""
"239222","-27.645292282104492","-27.645292282104492","-27.645292282104492","5850","5850","5850","","","","","","","","","","","","","","","","","","","","","","","",""
"239459","","","","","","","1.2466297149658203","1.2466297149658203","1.2466297149658203","14909","14909","14909","","","","","","","","","","","","","","","","","",""
"239518","","","","","","","","","","","","","","","","","","","","","","","","","0.016105998307466507","0.016105998307466507","0.016105998307466507","16548","16548","16548"
"239531","","","","","","","","","","","","","","","","","","","1.3838999271392822","1.3838999271392822","1.3838999271392822","17570","17570","17570","","","","","",""
"239769","","","","","","","1.2918193340301514","1.2918193340301514","1.2918193340301514","14935","14935","14935","","","","","","","","","","","","","","","","","",""
"239828","","","","","","","","","","","","","","","","","","","","","","","","","0.1787905991077423","0.1787905991077423","0.1787905991077423","16574","16574","16574"
"239841","","","","","","","","","","","","","","","","","","","1.259090781211853","1.259090781211853","1.259090781211853","17596","17596","17596","","","","","",""
"240079","","","","","","","1.3355096578598022","1.3355096578598022","1.3355096578598022","14961","14961","14961","","","","","","","","","","","","","","","","","",""
"240138","","","","","","","","","","","","","","","","","","","","","","","","","0.3817293047904968","0.3817293047904968","0.3817293047904968","16600","16600","16600"
"240151","","","","","","","","","","","","","","","","","","","1.2405716180801392","1.2405716180801392","1.2405716180801392","17622","17622","17622","","","","","",""
"240399","","","","","","","1.4221165180206299","1.4221165180206299","1.4221165180206299","15023","15023","15023","","","","","","","","","","","","","","","","","",""
"240461","","","","","","","","","","","","","","","","","","","1.2073603868484497","1.2073603868484497","1.2073603868484497","17648","17648","17648","","","","","",""
"240468","","","","","","","","","","","","","","","","","","","","","","","","","0.3429001271724701","0.3429001271724701","0.3429001271724701","16626","16626","16626"
"240482","-25.995941162109375","-25.995941162109375","-25.995941162109375","5878","5878","5878","","","","","","","","","","","","","","","","","","","","","","","",""
"240709","","","","","","","1.5104756355285645","1.5104756355285645","1.5104756355285645","15049","15049","15049","","","","","","","","","","","","","","","","","",""
"240771","","","","","","","","","","","","","","","","","","","1.175171971321106","1.175171971321106","1.175171971321106","17673","17673","17673","","","","","",""
"240778","","","","","","","","","","","","","","","","","","","","","","","","","0.4072483479976654","0.4072483479976654","0.4072483479976654","16651","16651","16651"
"241019","","","","","","","1.4365580081939697","1.4365580081939697","1.4365580081939697","15075","15075","15075","","","","","","","","","","","","","","","","","",""
"241081","","","","","","","","","","","","","","","","","","","1.215772271156311","1.215772271156311","1.215772271156311","17699","17699","17699","","","","","",""
"241088","","","","","","","","","","","","","","","","","","","","","","","","","0.39479246735572815","0.39479246735572815","0.39479246735572815","16677","16677","16677"
"241329","","","","","","","1.356477975845337","1.356477975845337","1.356477975845337","15101","15101","15101","","","","","","","","","","","","","","","","","",""
"241408","","","","","","","","","","","","","","","","","","","","","","","","","0.4528908431529999","0.4528908431529999","0.4528908431529999","16703","16703","16703"
"241441","","","","","","","","","","","","","","","","","","","1.291802167892456","1.291802167892456","1.291802167892456","17725","17725","17725","","","","","",""
"241639","","","","","","","1.266322135925293","1.266322135925293","1.266322135925293","15127","15127","15127","","","","","","","","","","","","","","","","","",""
"241718","","","","","","","","","","","","","","","","","","","","","","","","","0.54965740442276","0.54965740442276","0.54965740442276","16729","16729","16729"
"241751","","","","","","","","","","","","","","","","","","","1.3004196882247925","1.3004196882247925","1.3004196882247925","17751","17751","17751","","","","","",""
"241959","","","","","","","1.2968157529830933","1.2968157529830933","1.2968157529830933","15152","15152","15152","","","","","","","","","","","","","","","","","",""
"242028","","","","","","","","","","","","","","","","","","","","","","","","","0.6144334077835083","0.6144334077835083","0.6144334077835083","16755","16755","16755"
"242061","","","","","","","","","","","","","","","","","","","1.3459779024124146","1.3459779024124146","1.3459779024124146","17777","17777","17777","","","","","",""
"242143","","","","","","","","","","","","","-5.615544319152832","-5.615544319152832","-5.615544319152832","14065","14065","14065","","","","","","","","","","","",""
"242262","-24.9354190826416","-24.9354190826416","-24.9354190826416","5907","5907","5907","","","","","","","","","","","","","","","","","","","","","","","",""
"242269","","","","","","","1.3391766548156738","1.3391766548156738","1.3391766548156738","15178","15178","15178","","","","","","","","","","","","","","","","","",""
"242338","","","","","","","","","","","","","","","","","","","","","","","","","0.5693512558937073","0.5693512558937073","0.5693512558937073","16780","16780","16780"
"242371","","","","","","","","","","","","","","","","","","","1.4329769611358643","1.4329769611358643","1.4329769611358643","17802","17802","17802","","","","","",""
"242473","","","","","","","","","","","","","-4.984094142913818","-4.984094142913818","-4.984094142913818","14091","14091","14091","","","","","","","","","","","",""
"242589","","","","","","","1.3569732904434204","1.3569732904434204","1.3569732904434204","15204","15204","15204","","","","","","","","","","","","","","","","","",""
"242678","","","","","","","","","","","","","","","","","","","","","","","","","0.637554407119751","0.637554407119751","0.637554407119751","16806","16806","16806"
"242691","","","","","","","","","","","","","","","","","","","1.3091622591018677","1.3091622591018677","1.3091622591018677","17828","17828","17828","","","","","",""
"242853","","","","","","","","","","","","","-4.5241780281066895","-4.5241780281066895","-4.5241780281066895","14117","14117","14117","","","","","","","","","","","",""
"242919","","","","","","","1.3641942739486694","1.3641942739486694","1.3641942739486694","15230","15230","15230","","","","","","","","","","","","","","","","","",""
"242988","","","","","","","","","","","","","","","","","","","","","","","","","0.7864266633987427","0.7864266633987427","0.7864266633987427","16832","16832","16832"
"243001","","","","","","","","","","","","","","","","","","","1.2811553478240967","1.2811553478240967","1.2811553478240967","17854","17854","17854","","","","","",""
"243173","","","","","","","","","","","","","-4.026223182678223","-4.026223182678223","-4.026223182678223","14142","14142","14142","","","","","","","","","","","",""
"243229","","","","","","","1.4551419019699097","1.4551419019699097","1.4551419019699097","15256","15256","15256","","","","","","","","","","","","","","","","","",""
"243308","","","","","","","","","","","","","","","","","","","","","","","","","0.7429701089859009","0.7429701089859009","0.7429701089859009","16858","16858","16858"
"243311","","","","","","","","","","","","","","","","","","","1.209055781364441","1.209055781364441","1.209055781364441","17880","17880","17880","","","","","",""
"243539","","","","","","","1.2973562479019165","1.2973562479019165","1.2973562479019165","15281","15281","15281","","","","","","","","","","","","","","","","","",""
"243553","","","","","","","","","","","","","-3.581899404525757","-3.581899404525757","-3.581899404525757","14168","14168","14168","","","","","","","","","","","",""
"243618","","","","","","","","","","","","","","","","","","","","","","","","","0.7798337340354919","0.7798337340354919","0.7798337340354919","16884","16884","16884"
"243621","","","","","","","","","","","","","","","","","","","1.1279370784759521","1.1279370784759521","1.1279370784759521","17906","17906","17906","","","","","",""
"243849","","","","","","","1.2536027431488037","1.2536027431488037","1.2536027431488037","15307","15307","15307","","","","","","","","","","","","","","","","","",""
"243883","","","","","","","","","","","","","-3.1053712368011475","-3.1053712368011475","-3.1053712368011475","14194","14194","14194","","","","","","","","","","","",""
"243928","","","","","","","","","","","","","","","","","","","","","","","","","0.7747763395309448","0.7747763395309448","0.7747763395309448","16909","16909","16909"
"243971","","","","","","","","","","","","","","","","","","","1.2115669250488281","1.2115669250488281","1.2115669250488281","17931","17931","17931","","","","","",""
"244159","","","","","","","1.2033145427703857","1.2033145427703857","1.2033145427703857","15333","15333","15333","","","","","","","","","","","","","","","","","",""
"244238","","","","","","","","","","","","","","","","","","","","","","","","","0.7305407524108887","0.7305407524108887","0.7305407524108887","16935","16935","16935"
"244281","","","","","","","","","","","","","","","","","","","1.2657123804092407","1.2657123804092407","1.2657123804092407","17957","17957","17957","","","","","",""
"244303","","","","","","","","","","","","","-2.759871244430542","-2.759871244430542","-2.759871244430542","14220","14220","14220","","","","","","","","","","","",""
