"Evaluate/step_episode","rl_filter_mlp_2025-12-07_21-13-48 - Evaluate/EpProgress","rl_filter_mlp_2025-12-07_21-13-48 - Evaluate/EpProgress__MIN","rl_filter_mlp_2025-12-07_21-13-48 - Evaluate/EpProgress__MAX","rl_filter_mlp_2025-12-07_21-13-48 - _step","rl_filter_mlp_2025-12-07_21-13-48 - _step__MIN","rl_filter_mlp_2025-12-07_21-13-48 - _step__MAX","rl_filter_no_dueling_2025-11-29_18-11-35 - Evaluate/EpProgress","rl_filter_no_dueling_2025-11-29_18-11-35 - Evaluate/EpProgress__MIN","rl_filter_no_dueling_2025-11-29_18-11-35 - Evaluate/EpProgress__MAX","rl_filter_no_dueling_2025-11-29_18-11-35 - _step","rl_filter_no_dueling_2025-11-29_18-11-35 - _step__MIN","rl_filter_no_dueling_2025-11-29_18-11-35 - _step__MAX","rl_filter_selfattn_2025-11-26_16-56-20 - Evaluate/EpProgress","rl_filter_selfattn_2025-11-26_16-56-20 - Evaluate/EpProgress__MIN","rl_filter_selfattn_2025-11-26_16-56-20 - Evaluate/EpProgress__MAX","rl_filter_selfattn_2025-11-26_16-56-20 - _step","rl_filter_selfattn_2025-11-26_16-56-20 - _step__MIN","rl_filter_selfattn_2025-11-26_16-56-20 - _step__MAX","rl_filter_no_noisy_2025-11-25_15-04-29 - Evaluate/EpProgress","rl_filter_no_noisy_2025-11-25_15-04-29 - Evaluate/EpProgress__MIN","rl_filter_no_noisy_2025-11-25_15-04-29 - Evaluate/EpProgress__MAX","rl_filter_no_noisy_2025-11-25_15-04-29 - _step","rl_filter_no_noisy_2025-11-25_15-04-29 - _step__MIN","rl_filter_no_noisy_2025-11-25_15-04-29 - _step__MAX","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpProgress","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpProgress__MIN","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpProgress__MAX","4070_rl_filter_2025-07-20_12-17-12 - _step","4070_rl_filter_2025-07-20_12-17-12 - _step__MIN","4070_rl_filter_2025-07-20_12-17-12 - _step__MAX"
"646","1","1","1","13355","13355","13355","1","1","1","77066","77066","77066","1","1","1","77180","77180","77180","1","1","1","76952","76952","76952","1","1","1","76991","76991","76991"
"647","1","1","1","13359","13359","13359","1","1","1","77070","77070","77070","1","1","1","77184","77184","77184","1","1","1","76956","76956","76956","1","1","1","76995","76995","76995"
"648","1","1","1","13526","13526","13526","1","1","1","78112","78112","78112","1","1","1","78220","78220","78220","1","1","1","77993","77993","77993","1","1","1","78031","78031","78031"
"649","1","1","1","13530","13530","13530","1","1","1","78116","78116","78116","1","1","1","78224","78224","78224","1","1","1","77997","77997","77997","1","1","1","78035","78035","78035"
"650","1","1","1","13534","13534","13534","1","1","1","78120","78120","78120","1","1","1","78228","78228","78228","1","1","1","78001","78001","78001","1","1","1","78039","78039","78039"
"651","1","1","1","13538","13538","13538","1","1","1","78124","78124","78124","1","1","1","78232","78232","78232","1","1","1","78005","78005","78005","1","1","1","78043","78043","78043"
"652","1","1","1","13542","13542","13542","1","1","1","78128","78128","78128","1","1","1","78236","78236","78236","1","1","1","78009","78009","78009","1","1","1","78047","78047","78047"
"653","1","1","1","13546","13546","13546","1","1","1","78132","78132","78132","1","1","1","78240","78240","78240","1","1","1","78013","78013","78013","1","1","1","78051","78051","78051"
"654","1","1","1","13550","13550","13550","1","1","1","78136","78136","78136","1","1","1","78244","78244","78244","1","1","1","78017","78017","78017","1","1","1","78055","78055","78055"
"655","1","1","1","13554","13554","13554","1","1","1","78140","78140","78140","1","1","1","78248","78248","78248","1","1","1","78021","78021","78021","1","1","1","78059","78059","78059"
"656","1","1","1","13558","13558","13558","1","1","1","78144","78144","78144","1","1","1","78252","78252","78252","1","1","1","78025","78025","78025","1","1","1","78063","78063","78063"
"657","1","1","1","13707","13707","13707","1","1","1","79180","79180","79180","1","1","1","79288","79288","79288","1","1","1","79061","79061","79061","1","1","1","79099","79099","79099"
"658","1","1","1","13711","13711","13711","1","1","1","79184","79184","79184","1","1","1","79292","79292","79292","1","1","1","79065","79065","79065","1","1","1","79103","79103","79103"
"659","1","1","1","13715","13715","13715","1","1","1","79188","79188","79188","1","1","1","79296","79296","79296","1","1","1","79069","79069","79069","1","1","1","79107","79107","79107"
"660","1","1","1","13719","13719","13719","1","1","1","79192","79192","79192","1","1","1","79300","79300","79300","1","1","1","79073","79073","79073","1","1","1","79111","79111","79111"
"661","1","1","1","13723","13723","13723","1","1","1","79196","79196","79196","1","1","1","79304","79304","79304","1","1","1","79077","79077","79077","1","1","1","79115","79115","79115"
"662","1","1","1","13727","13727","13727","1","1","1","79200","79200","79200","1","1","1","79308","79308","79308","1","1","1","79081","79081","79081","1","1","1","79119","79119","79119"
"663","1","1","1","13731","13731","13731","1","1","1","79204","79204","79204","1","1","1","79312","79312","79312","1","1","1","79085","79085","79085","1","1","1","79123","79123","79123"
"664","1","1","1","13735","13735","13735","1","1","1","79208","79208","79208","1","1","1","79316","79316","79316","1","1","1","79089","79089","79089","1","1","1","79127","79127","79127"
"665","1","1","1","13739","13739","13739","1","1","1","79212","79212","79212","1","1","1","79320","79320","79320","1","1","1","79093","79093","79093","1","1","1","79131","79131","79131"
"666","1","1","1","13893","13893","13893","1","1","1","80248","80248","80248","1","1","1","80356","80356","80356","1","1","1","80130","80130","80130","1","1","1","80173","80173","80173"
"667","1","1","1","13897","13897","13897","1","1","1","80252","80252","80252","1","1","1","80360","80360","80360","1","1","1","80134","80134","80134","1","1","1","80177","80177","80177"
"668","1","1","1","13901","13901","13901","1","1","1","80256","80256","80256","1","1","1","80364","80364","80364","1","1","1","80138","80138","80138","1","1","1","80181","80181","80181"
"669","1","1","1","13905","13905","13905","1","1","1","80260","80260","80260","1","1","1","80368","80368","80368","1","1","1","80142","80142","80142","1","1","1","80185","80185","80185"
"670","1","1","1","13909","13909","13909","1","1","1","80264","80264","80264","1","1","1","80372","80372","80372","1","1","1","80146","80146","80146","1","1","1","80189","80189","80189"
"671","1","1","1","13913","13913","13913","1","1","1","80268","80268","80268","1","1","1","80376","80376","80376","1","1","1","80150","80150","80150","1","1","1","80193","80193","80193"
"672","1","1","1","13917","13917","13917","1","1","1","80272","80272","80272","1","1","1","80380","80380","80380","1","1","1","80154","80154","80154","1","1","1","80197","80197","80197"
"673","1","1","1","13921","13921","13921","1","1","1","80276","80276","80276","1","1","1","80384","80384","80384","1","1","1","80158","80158","80158","1","1","1","80201","80201","80201"
"674","1","1","1","13925","13925","13925","1","1","1","80280","80280","80280","1","1","1","80388","80388","80388","1","1","1","80162","80162","80162","1","1","1","80205","80205","80205"
"675","1","1","1","14090","14090","14090","1","1","1","81317","81317","81317","1","1","1","81430","81430","81430","1","1","1","81199","81199","81199","1","1","1","81252","81252","81252"
"676","1","1","1","14094","14094","14094","1","1","1","81321","81321","81321","1","1","1","81434","81434","81434","1","1","1","81203","81203","81203","1","1","1","81256","81256","81256"
"677","1","1","1","14098","14098","14098","1","1","1","81325","81325","81325","1","1","1","81438","81438","81438","1","1","1","81207","81207","81207","1","1","1","81260","81260","81260"
"678","1","1","1","14102","14102","14102","1","1","1","81329","81329","81329","1","1","1","81442","81442","81442","1","1","1","81211","81211","81211","1","1","1","81264","81264","81264"
"679","1","1","1","14106","14106","14106","1","1","1","81333","81333","81333","1","1","1","81446","81446","81446","1","1","1","81215","81215","81215","1","1","1","81268","81268","81268"
"680","1","1","1","14110","14110","14110","1","1","1","81337","81337","81337","1","1","1","81450","81450","81450","1","1","1","81219","81219","81219","1","1","1","81272","81272","81272"
"681","1","1","1","14114","14114","14114","1","1","1","81341","81341","81341","1","1","1","81454","81454","81454","1","1","1","81223","81223","81223","1","1","1","81276","81276","81276"
"682","1","1","1","14118","14118","14118","1","1","1","81345","81345","81345","1","1","1","81458","81458","81458","1","1","1","81227","81227","81227","1","1","1","81280","81280","81280"
"683","1","1","1","14122","14122","14122","1","1","1","81349","81349","81349","1","1","1","81462","81462","81462","1","1","1","81231","81231","81231","1","1","1","81284","81284","81284"
"684","1","1","1","14277","14277","14277","1","1","1","82385","82385","82385","1","1","1","82504","82504","82504","1","1","1","82268","82268","82268","1","1","1","82325","82325","82325"
"685","1","1","1","14281","14281","14281","1","1","1","82389","82389","82389","1","1","1","82508","82508","82508","1","1","1","82272","82272","82272","1","1","1","82329","82329","82329"
"686","1","1","1","14285","14285","14285","1","1","1","82393","82393","82393","1","1","1","82512","82512","82512","1","1","1","82276","82276","82276","1","1","1","82333","82333","82333"
"687","1","1","1","14289","14289","14289","1","1","1","82397","82397","82397","1","1","1","82516","82516","82516","1","1","1","82280","82280","82280","1","1","1","82337","82337","82337"
"688","1","1","1","14293","14293","14293","1","1","1","82401","82401","82401","1","1","1","82520","82520","82520","1","1","1","82284","82284","82284","1","1","1","82341","82341","82341"
"689","1","1","1","14297","14297","14297","1","1","1","82405","82405","82405","1","1","1","82524","82524","82524","1","1","1","82288","82288","82288","1","1","1","82345","82345","82345"
"690","1","1","1","14301","14301","14301","1","1","1","82409","82409","82409","1","1","1","82528","82528","82528","1","1","1","82292","82292","82292","1","1","1","82349","82349","82349"
"691","1","1","1","14305","14305","14305","1","1","1","82413","82413","82413","1","1","1","82532","82532","82532","1","1","1","82296","82296","82296","1","1","1","82353","82353","82353"
"692","1","1","1","14309","14309","14309","1","1","1","82417","82417","82417","1","1","1","82536","82536","82536","1","1","1","82300","82300","82300","1","1","1","82357","82357","82357"
"693","1","1","1","14468","14468","14468","1","1","1","83453","83453","83453","1","1","1","83573","83573","83573","1","1","1","83337","83337","83337","1","1","1","83398","83398","83398"
"694","1","1","1","14472","14472","14472","1","1","1","83457","83457","83457","1","1","1","83577","83577","83577","1","1","1","83341","83341","83341","1","1","1","83402","83402","83402"
"695","1","1","1","14476","14476","14476","1","1","1","83461","83461","83461","1","1","1","83581","83581","83581","1","1","1","83345","83345","83345","1","1","1","83406","83406","83406"
"696","1","1","1","14480","14480","14480","1","1","1","83465","83465","83465","1","1","1","83585","83585","83585","1","1","1","83349","83349","83349","1","1","1","83410","83410","83410"
"697","1","1","1","14484","14484","14484","1","1","1","83469","83469","83469","1","1","1","83589","83589","83589","1","1","1","83353","83353","83353","1","1","1","83414","83414","83414"
"698","1","1","1","14488","14488","14488","1","1","1","83473","83473","83473","1","1","1","83593","83593","83593","1","1","1","83357","83357","83357","1","1","1","83418","83418","83418"
"699","1","1","1","14492","14492","14492","1","1","1","83477","83477","83477","1","1","1","83597","83597","83597","1","1","1","83361","83361","83361","1","1","1","83422","83422","83422"
"700","1","1","1","14496","14496","14496","1","1","1","83481","83481","83481","1","1","1","83601","83601","83601","1","1","1","83365","83365","83365","1","1","1","83426","83426","83426"
"701","1","1","1","14500","14500","14500","1","1","1","83485","83485","83485","1","1","1","83605","83605","83605","1","1","1","83369","83369","83369","1","1","1","83430","83430","83430"
"702","1","1","1","14659","14659","14659","1","1","1","84522","84522","84522","1","1","1","84651","84651","84651","1","1","1","84405","84405","84405","1","1","1","84467","84467","84467"
"703","1","1","1","14663","14663","14663","1","1","1","84526","84526","84526","1","1","1","84655","84655","84655","1","1","1","84409","84409","84409","1","1","1","84471","84471","84471"
"704","1","1","1","14667","14667","14667","1","1","1","84530","84530","84530","1","1","1","84659","84659","84659","1","1","1","84413","84413","84413","1","1","1","84475","84475","84475"
"705","1","1","1","14671","14671","14671","1","1","1","84534","84534","84534","1","1","1","84663","84663","84663","1","1","1","84417","84417","84417","1","1","1","84479","84479","84479"
"706","1","1","1","14675","14675","14675","1","1","1","84538","84538","84538","1","1","1","84667","84667","84667","1","1","1","84421","84421","84421","1","1","1","84483","84483","84483"
"707","1","1","1","14679","14679","14679","1","1","1","84542","84542","84542","1","1","1","84671","84671","84671","1","1","1","84425","84425","84425","1","1","1","84487","84487","84487"
"708","1","1","1","14683","14683","14683","1","1","1","84546","84546","84546","1","1","1","84675","84675","84675","1","1","1","84429","84429","84429","1","1","1","84491","84491","84491"
"709","1","1","1","14687","14687","14687","1","1","1","84550","84550","84550","1","1","1","84679","84679","84679","1","1","1","84433","84433","84433","1","1","1","84495","84495","84495"
"710","1","1","1","14691","14691","14691","1","1","1","84554","84554","84554","1","1","1","84683","84683","84683","1","1","1","84437","84437","84437","1","1","1","84499","84499","84499"
"711","1","1","1","14844","14844","14844","1","1","1","85595","85595","85595","1","1","1","85719","85719","85719","1","1","1","85479","85479","85479","1","1","1","85535","85535","85535"
"712","1","1","1","14848","14848","14848","1","1","1","85599","85599","85599","1","1","1","85723","85723","85723","1","1","1","85483","85483","85483","1","1","1","85539","85539","85539"
"713","1","1","1","14852","14852","14852","1","1","1","85603","85603","85603","1","1","1","85727","85727","85727","1","1","1","85487","85487","85487","1","1","1","85543","85543","85543"
"714","1","1","1","14856","14856","14856","1","1","1","85607","85607","85607","1","1","1","85731","85731","85731","1","1","1","85496","85496","85496","1","1","1","85547","85547","85547"
"715","1","1","1","14860","14860","14860","0.9","0.9","0.9","85612","85612","85612","1","1","1","85735","85735","85735","1","1","1","85500","85500","85500","1","1","1","85551","85551","85551"
"716","1","1","1","14864","14864","14864","1","1","1","85616","85616","85616","1","1","1","85739","85739","85739","1","1","1","85504","85504","85504","1","1","1","85555","85555","85555"
"717","1","1","1","14868","14868","14868","1","1","1","85620","85620","85620","1","1","1","85743","85743","85743","1","1","1","85508","85508","85508","1","1","1","85559","85559","85559"
"718","1","1","1","14872","14872","14872","1","1","1","85624","85624","85624","1","1","1","85747","85747","85747","1","1","1","85512","85512","85512","1","1","1","85563","85563","85563"
"719","1","1","1","14876","14876","14876","1","1","1","85628","85628","85628","1","1","1","85751","85751","85751","1","1","1","85516","85516","85516","1","1","1","85567","85567","85567"
"720","1","1","1","15033","15033","15033","1","1","1","86663","86663","86663","1","1","1","86793","86793","86793","1","1","1","86552","86552","86552","1","1","1","86604","86604","86604"
"721","1","1","1","15037","15037","15037","1","1","1","86667","86667","86667","1","1","1","86797","86797","86797","1","1","1","86556","86556","86556","1","1","1","86608","86608","86608"
"722","1","1","1","15041","15041","15041","1","1","1","86671","86671","86671","1","1","1","86801","86801","86801","1","1","1","86560","86560","86560","1","1","1","86612","86612","86612"
"723","1","1","1","15045","15045","15045","1","1","1","86675","86675","86675","1","1","1","86805","86805","86805","1","1","1","86564","86564","86564","1","1","1","86616","86616","86616"
"724","1","1","1","15049","15049","15049","1","1","1","86679","86679","86679","1","1","1","86809","86809","86809","1","1","1","86568","86568","86568","1","1","1","86620","86620","86620"
"725","1","1","1","15053","15053","15053","1","1","1","86683","86683","86683","1","1","1","86813","86813","86813","1","1","1","86572","86572","86572","1","1","1","86624","86624","86624"
"726","1","1","1","15057","15057","15057","1","1","1","86687","86687","86687","1","1","1","86817","86817","86817","1","1","1","86576","86576","86576","1","1","1","86628","86628","86628"
"727","1","1","1","15061","15061","15061","1","1","1","86691","86691","86691","1","1","1","86821","86821","86821","1","1","1","86580","86580","86580","1","1","1","86632","86632","86632"
"728","1","1","1","15065","15065","15065","1","1","1","86695","86695","86695","1","1","1","86825","86825","86825","1","1","1","86584","86584","86584","1","1","1","86636","86636","86636"
"729","1","1","1","15218","15218","15218","1","1","1","87731","87731","87731","1","1","1","87861","87861","87861","1","1","1","87621","87621","87621","1","1","1","87672","87672","87672"
"730","1","1","1","15222","15222","15222","1","1","1","87735","87735","87735","1","1","1","87865","87865","87865","1","1","1","87625","87625","87625","1","1","1","87676","87676","87676"
"731","1","1","1","15226","15226","15226","1","1","1","87739","87739","87739","1","1","1","87869","87869","87869","1","1","1","87629","87629","87629","1","1","1","87680","87680","87680"
"732","1","1","1","15230","15230","15230","1","1","1","87743","87743","87743","1","1","1","87873","87873","87873","0.9","0.9","0.9","87633","87633","87633","1","1","1","87684","87684","87684"
"733","1","1","1","15234","15234","15234","1","1","1","87747","87747","87747","1","1","1","87877","87877","87877","1","1","1","87637","87637","87637","1","1","1","87688","87688","87688"
"734","1","1","1","15238","15238","15238","1","1","1","87751","87751","87751","1","1","1","87881","87881","87881","1","1","1","87641","87641","87641","1","1","1","87692","87692","87692"
"735","1","1","1","15242","15242","15242","1","1","1","87755","87755","87755","1","1","1","87885","87885","87885","1","1","1","87645","87645","87645","1","1","1","87696","87696","87696"
"736","1","1","1","15246","15246","15246","1","1","1","87759","87759","87759","1","1","1","87889","87889","87889","1","1","1","87649","87649","87649","1","1","1","87700","87700","87700"
"737","1","1","1","15250","15250","15250","1","1","1","87763","87763","87763","1","1","1","87893","87893","87893","1","1","1","87653","87653","87653","1","1","1","87704","87704","87704"
"738","1","1","1","15410","15410","15410","1","1","1","88800","88800","88800","1","1","1","88929","88929","88929","1","1","1","88688","88688","88688","1","1","1","88740","88740","88740"
"739","1","1","1","15414","15414","15414","1","1","1","88804","88804","88804","1","1","1","88933","88933","88933","1","1","1","88692","88692","88692","1","1","1","88744","88744","88744"
"740","1","1","1","15418","15418","15418","1","1","1","88808","88808","88808","1","1","1","88937","88937","88937","1","1","1","88696","88696","88696","1","1","1","88748","88748","88748"
"741","1","1","1","15422","15422","15422","1","1","1","88812","88812","88812","1","1","1","88941","88941","88941","1","1","1","88700","88700","88700","1","1","1","88752","88752","88752"
"742","1","1","1","15426","15426","15426","1","1","1","88816","88816","88816","1","1","1","88945","88945","88945","1","1","1","88704","88704","88704","1","1","1","88756","88756","88756"
"743","1","1","1","15430","15430","15430","1","1","1","88820","88820","88820","1","1","1","88949","88949","88949","1","1","1","88708","88708","88708","1","1","1","88760","88760","88760"
"744","1","1","1","15434","15434","15434","1","1","1","88824","88824","88824","1","1","1","88953","88953","88953","1","1","1","88712","88712","88712","1","1","1","88764","88764","88764"
"745","1","1","1","15438","15438","15438","1","1","1","88828","88828","88828","1","1","1","88957","88957","88957","1","1","1","88716","88716","88716","1","1","1","88768","88768","88768"
"746","1","1","1","15442","15442","15442","1","1","1","88832","88832","88832","1","1","1","88961","88961","88961","1","1","1","88720","88720","88720","1","1","1","88772","88772","88772"
"747","1","1","1","15596","15596","15596","1","1","1","89868","89868","89868","1","1","1","89998","89998","89998","1","1","1","89761","89761","89761","1","1","1","89808","89808","89808"
"748","1","1","1","15600","15600","15600","1","1","1","89872","89872","89872","1","1","1","90002","90002","90002","1","1","1","89765","89765","89765","1","1","1","89812","89812","89812"
"749","1","1","1","15604","15604","15604","1","1","1","89876","89876","89876","1","1","1","90006","90006","90006","1","1","1","89769","89769","89769","1","1","1","89816","89816","89816"
"750","1","1","1","15608","15608","15608","1","1","1","89880","89880","89880","1","1","1","90010","90010","90010","1","1","1","89773","89773","89773","1","1","1","89820","89820","89820"
"751","1","1","1","15612","15612","15612","1","1","1","89884","89884","89884","1","1","1","90014","90014","90014","1","1","1","89777","89777","89777","1","1","1","89824","89824","89824"
"752","1","1","1","15616","15616","15616","1","1","1","89888","89888","89888","1","1","1","90018","90018","90018","1","1","1","89781","89781","89781","1","1","1","89828","89828","89828"
"753","1","1","1","15620","15620","15620","1","1","1","89892","89892","89892","1","1","1","90022","90022","90022","1","1","1","89785","89785","89785","1","1","1","89832","89832","89832"
"754","1","1","1","15624","15624","15624","1","1","1","89896","89896","89896","1","1","1","90026","90026","90026","1","1","1","89789","89789","89789","1","1","1","89836","89836","89836"
"755","1","1","1","15628","15628","15628","1","1","1","89900","89900","89900","1","1","1","90030","90030","90030","1","1","1","89793","89793","89793","1","1","1","89840","89840","89840"
"756","1","1","1","15794","15794","15794","1","1","1","90936","90936","90936","1","1","1","91071","91071","91071","1","1","1","90830","90830","90830","1","1","1","90881","90881","90881"
"757","1","1","1","15798","15798","15798","1","1","1","90940","90940","90940","1","1","1","91075","91075","91075","1","1","1","90834","90834","90834","1","1","1","90885","90885","90885"
"758","1","1","1","15802","15802","15802","1","1","1","90944","90944","90944","1","1","1","91079","91079","91079","1","1","1","90838","90838","90838","1","1","1","90889","90889","90889"
"759","1","1","1","15806","15806","15806","1","1","1","90948","90948","90948","1","1","1","91083","91083","91083","1","1","1","90842","90842","90842","1","1","1","90893","90893","90893"
"760","1","1","1","15810","15810","15810","1","1","1","90952","90952","90952","1","1","1","91087","91087","91087","1","1","1","90846","90846","90846","0.9","0.9","0.9","90897","90897","90897"
"761","1","1","1","15814","15814","15814","1","1","1","90956","90956","90956","1","1","1","91091","91091","91091","1","1","1","90850","90850","90850","1","1","1","90901","90901","90901"
"762","1","1","1","15818","15818","15818","1","1","1","90960","90960","90960","1","1","1","91095","91095","91095","1","1","1","90854","90854","90854","1","1","1","90905","90905","90905"
"763","1","1","1","15822","15822","15822","1","1","1","90964","90964","90964","1","1","1","91099","91099","91099","1","1","1","90858","90858","90858","1","1","1","90909","90909","90909"
"764","1","1","1","15826","15826","15826","1","1","1","90968","90968","90968","1","1","1","91103","91103","91103","1","1","1","90862","90862","90862","1","1","1","90913","90913","90913"
"765","1","1","1","15984","15984","15984","1","1","1","92004","92004","92004","1","1","1","92139","92139","92139","1","1","1","91898","91898","91898","1","1","1","91954","91954","91954"
"766","1","1","1","15988","15988","15988","1","1","1","92008","92008","92008","1","1","1","92143","92143","92143","1","1","1","91902","91902","91902","1","1","1","91958","91958","91958"
"767","1","1","1","15992","15992","15992","1","1","1","92012","92012","92012","1","1","1","92147","92147","92147","1","1","1","91906","91906","91906","1","1","1","91962","91962","91962"
"768","1","1","1","15996","15996","15996","1","1","1","92016","92016","92016","1","1","1","92151","92151","92151","1","1","1","91910","91910","91910","1","1","1","91966","91966","91966"
"769","1","1","1","16000","16000","16000","1","1","1","92020","92020","92020","1","1","1","92155","92155","92155","1","1","1","91914","91914","91914","1","1","1","91970","91970","91970"
"770","1","1","1","16004","16004","16004","1","1","1","92024","92024","92024","1","1","1","92159","92159","92159","1","1","1","91918","91918","91918","1","1","1","91974","91974","91974"
"771","1","1","1","16008","16008","16008","1","1","1","92028","92028","92028","1","1","1","92163","92163","92163","1","1","1","91922","91922","91922","1","1","1","91978","91978","91978"
"772","1","1","1","16012","16012","16012","1","1","1","92032","92032","92032","1","1","1","92167","92167","92167","1","1","1","91926","91926","91926","1","1","1","91982","91982","91982"
"773","1","1","1","16016","16016","16016","1","1","1","92036","92036","92036","1","1","1","92171","92171","92171","1","1","1","91930","91930","91930","1","1","1","91986","91986","91986"
"774","1","1","1","16173","16173","16173","1","1","1","93077","93077","93077","1","1","1","93208","93208","93208","1","1","1","92971","92971","92971","1","1","1","93027","93027","93027"
"775","1","1","1","16177","16177","16177","1","1","1","93081","93081","93081","1","1","1","93212","93212","93212","1","1","1","92975","92975","92975","1","1","1","93031","93031","93031"
"776","1","1","1","16181","16181","16181","1","1","1","93085","93085","93085","1","1","1","93216","93216","93216","1","1","1","92979","92979","92979","1","1","1","93035","93035","93035"
"777","1","1","1","16185","16185","16185","1","1","1","93089","93089","93089","1","1","1","93220","93220","93220","1","1","1","92984","92984","92984","1","1","1","93039","93039","93039"
"778","1","1","1","16189","16189","16189","1","1","1","93093","93093","93093","1","1","1","93224","93224","93224","1","1","1","92988","92988","92988","1","1","1","93043","93043","93043"
"779","1","1","1","16193","16193","16193","1","1","1","93097","93097","93097","1","1","1","93228","93228","93228","1","1","1","92992","92992","92992","1","1","1","93047","93047","93047"
"780","1","1","1","16197","16197","16197","1","1","1","93101","93101","93101","1","1","1","93232","93232","93232","1","1","1","92996","92996","92996","1","1","1","93051","93051","93051"
"781","1","1","1","16201","16201","16201","1","1","1","93105","93105","93105","1","1","1","93236","93236","93236","1","1","1","93000","93000","93000","1","1","1","93055","93055","93055"
"782","1","1","1","16205","16205","16205","1","1","1","93109","93109","93109","1","1","1","93240","93240","93240","1","1","1","93004","93004","93004","1","1","1","93059","93059","93059"
"783","1","1","1","16359","16359","16359","1","1","1","94146","94146","94146","1","1","1","94276","94276","94276","1","1","1","94041","94041","94041","1","1","1","94095","94095","94095"
"784","1","1","1","16363","16363","16363","1","1","1","94150","94150","94150","1","1","1","94280","94280","94280","1","1","1","94045","94045","94045","1","1","1","94099","94099","94099"
"785","1","1","1","16367","16367","16367","1","1","1","94154","94154","94154","1","1","1","94284","94284","94284","1","1","1","94049","94049","94049","1","1","1","94103","94103","94103"
"786","1","1","1","16371","16371","16371","1","1","1","94158","94158","94158","1","1","1","94288","94288","94288","1","1","1","94053","94053","94053","1","1","1","94107","94107","94107"
"787","1","1","1","16375","16375","16375","1","1","1","94162","94162","94162","1","1","1","94292","94292","94292","1","1","1","94057","94057","94057","1","1","1","94111","94111","94111"
"788","1","1","1","16379","16379","16379","1","1","1","94166","94166","94166","1","1","1","94296","94296","94296","1","1","1","94061","94061","94061","1","1","1","94115","94115","94115"
"789","1","1","1","16383","16383","16383","1","1","1","94170","94170","94170","1","1","1","94300","94300","94300","1","1","1","94065","94065","94065","1","1","1","94119","94119","94119"
"790","1","1","1","16387","16387","16387","1","1","1","94174","94174","94174","1","1","1","94304","94304","94304","1","1","1","94069","94069","94069","1","1","1","94123","94123","94123"
"791","1","1","1","16391","16391","16391","1","1","1","94178","94178","94178","1","1","1","94308","94308","94308","1","1","1","94073","94073","94073","1","1","1","94127","94127","94127"
"792","1","1","1","16547","16547","16547","1","1","1","95214","95214","95214","1","1","1","95354","95354","95354","1","1","1","95114","95114","95114","1","1","1","95164","95164","95164"
"793","1","1","1","16551","16551","16551","1","1","1","95218","95218","95218","1","1","1","95358","95358","95358","1","1","1","95118","95118","95118","1","1","1","95168","95168","95168"
"794","1","1","1","16555","16555","16555","1","1","1","95222","95222","95222","1","1","1","95362","95362","95362","1","1","1","95122","95122","95122","1","1","1","95172","95172","95172"
"795","1","1","1","16559","16559","16559","1","1","1","95226","95226","95226","1","1","1","95366","95366","95366","1","1","1","95128","95128","95128","0.9","0.9","0.9","95176","95176","95176"
"796","1","1","1","16563","16563","16563","1","1","1","95230","95230","95230","1","1","1","95370","95370","95370","1","1","1","95132","95132","95132","1","1","1","95180","95180","95180"
"797","1","1","1","16567","16567","16567","1","1","1","95234","95234","95234","1","1","1","95374","95374","95374","1","1","1","95136","95136","95136","1","1","1","95184","95184","95184"
"798","1","1","1","16571","16571","16571","1","1","1","95238","95238","95238","1","1","1","95378","95378","95378","1","1","1","95140","95140","95140","1","1","1","95188","95188","95188"
"799","1","1","1","16575","16575","16575","1","1","1","95242","95242","95242","1","1","1","95382","95382","95382","1","1","1","95144","95144","95144","1","1","1","95192","95192","95192"
"800","1","1","1","16579","16579","16579","1","1","1","95246","95246","95246","1","1","1","95386","95386","95386","1","1","1","95148","95148","95148","1","1","1","95196","95196","95196"
"801","1","1","1","16739","16739","16739","1","1","1","96287","96287","96287","1","1","1","96428","96428","96428","1","1","1","96184","96184","96184","1","1","1","96231","96231","96231"
"802","1","1","1","16743","16743","16743","1","1","1","96291","96291","96291","1","1","1","96432","96432","96432","1","1","1","96188","96188","96188","1","1","1","96235","96235","96235"
"803","1","1","1","16747","16747","16747","1","1","1","96295","96295","96295","1","1","1","96436","96436","96436","1","1","1","96192","96192","96192","1","1","1","96239","96239","96239"
"804","1","1","1","16751","16751","16751","1","1","1","96299","96299","96299","1","1","1","96440","96440","96440","1","1","1","96196","96196","96196","1","1","1","96243","96243","96243"
"805","1","1","1","16755","16755","16755","1","1","1","96303","96303","96303","1","1","1","96444","96444","96444","1","1","1","96200","96200","96200","1","1","1","96247","96247","96247"
"806","1","1","1","16759","16759","16759","1","1","1","96307","96307","96307","1","1","1","96448","96448","96448","1","1","1","96204","96204","96204","1","1","1","96251","96251","96251"
"807","1","1","1","16763","16763","16763","1","1","1","96311","96311","96311","1","1","1","96452","96452","96452","1","1","1","96208","96208","96208","1","1","1","96255","96255","96255"
"808","1","1","1","16767","16767","16767","1","1","1","96315","96315","96315","1","1","1","96456","96456","96456","1","1","1","96212","96212","96212","1","1","1","96259","96259","96259"
